Reference:	"Hudson et al. (2018)"
DOI:	"doi:doi:10.1016/j.saa.2017.11.055"
Sample Type:	"Ice"
Composition:	"CH3COCH3 (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/156"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
508.038831	1.488325352			508.038831	-0.022419092			508.038831	0.002536		
508.1593621	1.494507724			508.1593621	-0.026324251			508.1593621	0.003063		
508.2798933	1.502009353			508.2798933	-0.02759672			508.2798933	0.003269		
508.4004245	1.50945503			508.4004245	-0.025878176			508.4004245	0.003115		
508.5209556	1.515545128			508.5209556	-0.02154714			508.5209556	0.002637		
508.6414868	1.519292496			508.6414868	-0.015543622			508.6414868	0.001951		
508.762018	1.520352383			508.762018	-0.009144955			508.762018	0.001219		
508.8825491	1.519012752			508.8825491	-0.003596621			508.8825491	0.000597		
509.0030803	1.516180464			509.0030803	0.000232972			509.0030803	0.00019		
509.1236114	1.512966967			509.1236114	0.002116381			509.1236114	2.0E-5		
509.2441426	1.510383727			509.2441426	0.002467481			509.2441426	3.4E-5		
509.3646738	1.508893042			509.3646738	0.002131524			509.3646738	0.000142		
509.4852049	1.508383616			509.4852049	0.001945632			509.4852049	0.00026		
509.6057361	1.508266171			509.6057361	0.00239573			509.6057361	0.000349		
509.7262673	1.507906696			509.7262673	0.003445441			509.7262673	0.000418		
509.8467984	1.506888355			509.8467984	0.004672779			509.8467984	0.000503		
509.9673296	1.505237566			509.9673296	0.005534188			509.9673296	0.000624		
510.0878608	1.503312253			510.0878608	0.005666067			510.0878608	0.000765		
510.2083919	1.501633389			510.2083919	0.005082688			510.2083919	0.00087		
510.3289231	1.500512962			510.3289231	0.004126841			510.3289231	0.000875		
510.4494543	1.499973737			510.4494543	0.003267382			510.4494543	0.000744		
510.5699854	1.499658194			510.5699854	0.002842458			510.5699854	0.000499		
510.6905166	1.499097713			510.6905166	0.0028464			510.6905166	0.000208		
510.8110477	1.49790153			510.8110477	0.002935814			510.8110477	-5.3E-5		
510.9315789	1.496005518			510.9315789	0.002563618			510.9315789	-0.000249		
511.0521101	1.493688785			511.0521101	0.001190204			511.0521101	-0.000427		
511.1726412	1.491569682			511.1726412	-0.001472341			511.1726412	-0.0007		
511.2931724	1.490332241			511.2931724	-0.005343438			511.2931724	-0.001196		
511.4137036	1.490587991			511.4137036	-0.009972722			511.4137036	-0.001981		
511.5342347	1.492631207			511.5342347	-0.014664106			511.5342347	-0.003001		
511.6547659	1.496446904			511.6547659	-0.018634053			511.6547659	-0.004069		
511.7752971	1.501634622			511.7752971	-0.021181048			511.7752971	-0.004924		
511.8958282	1.507565983			511.8958282	-0.021822085			511.8958282	-0.005324		
512.0163594	1.513420685			512.0163594	-0.020376659			512.0163594	-0.005141		
512.1368905	1.518390134			512.1368905	-0.017005256			512.1368905	-0.004415		
512.2574217	1.521740589			512.2574217	-0.012216426			512.2574217	-0.003342		
512.3779529	1.523053334			512.3779529	-0.006806			512.3779529	-0.002211		
512.498484	1.522276241			512.498484	-0.001707251			512.498484	-0.00129		
512.6190152	1.519850985			512.6190152	0.002228896			512.6190152	-0.000743		
512.7395464	1.516540586			512.7395464	0.004476197			512.7395464	-0.000583		
512.8600775	1.513286764			512.8600775	0.004990312			512.8600775	-0.000697		
512.9806087	1.510820135			512.9806087	0.004213396			512.9806087	-0.000917		
