Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"50K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/88"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.3905		0.10185			500.08	99.800003052		
501.1	1.363		0.051872			501.05	99.900001526		
502	1.3665		0.000165			501.53	99.800003052		
503	1.3698		0.051438			502.49	100		
503.9	1.3377		0.052528			503.46	99.699996948		
504.9	1.3589		-0.051233			504.42	99.900001526		
505.9	1.3766		0.050886			505.39	99.900001526		
506.8	1.3692		0.000175			506.35	100		
507.8	1.3706		0.050915			507.31	99.800003052		
508.8	1.3425		0.051867			508.28	99.900001526		
509.7	1.3374		0.000156			509.24	99.800003052		
510.7	1.3512		0.00016			510.21	99.900001526		
511.7	1.358		0.000169			511.17	99.800003052		
512.6	1.363		0.000165			512.14	99.900001526		
513.6	1.3671		0.000167			513.1	99.900001526		
514.5	1.3688		0.000166			514.07	99.900001526		
515.5	1.405		-0.048517			515.03	100.099998474		
516.5	1.3968		0.098173			516	99.800003052		
517.4	1.3737		0.000185			516.96	99.900001526		
518.4	1.391		0.049151			517.92	99.900001526		
519.4	1.3572		0.10045			518.89	99.800003052		
520.3	1.3237		0.051404			519.85	99.800003052		
521.3	1.3001		0.052253			520.82	99.900001526		
522.3	1.3074		-0.051538			521.78	99.800003052		
523.2	1.353		-0.049669			522.75	100		
524.2	1.3595		0.000166			523.71	100		
525.2	1.3642		-0.04905			524.68	100		
526.1	1.399		-0.047745			525.64	100		
527.1	1.4178		0.000205			526.6	100		
528	1.4018		0.047896			527.57	99.900001526		
529	1.3692		0.048925			528.53	99.900001526		
530	1.3613		0.000197			529.5	99.800003052		
531	1.3728		0.000192			530.46	100		
531.9	1.3787		0.000179			531.43	99.900001526		
532.9	1.384		0.000185			532.39	99.900001526		
533.8	1.3911		0.000193			533.36	100		
534.8	1.4078		0.000189			534.32	100		
535.8	1.3775		0.095973			535.29	99.900001526		
536.7	1.3426		0.000159			536.25	99.800003052		
537.7	1.3769		-0.047459			537.21	100		
538.7	1.4026		0.000202			538.18	100		
539.6	1.4089		0.000189			539.14	100		
540.6	1.3989		0.046896			540.11	99.800003052		
541.5	1.3963		0.000204			541.07	99.900001526		
542.5	1.4003		0.046692			542.04	99.900001526		
543.5	1.3818		0.047203			543	99.900001526		
544.5	1.3613		0.047838			543.97	99.900001526		
545.4	1.3568		0.000175			544.93	99.800003052		
546.4	1.3642		0.000186			545.89	100		
547.3	1.3878		-0.046252			546.86	100		
548.3	1.4114		0.000191			547.82	99.900001526		
549.3	1.4211		0.000206			548.79	100		
550.2	1.3873		0.09281			549.75	99.900001526		
551.2	1.3814		-0.046128			550.72	99.900001526		
552.2	1.3976		0.045959			551.68	99.900001526		
553.1	1.379		0.000195			552.65	99.800003052		
554.1	1.4124		-0.044881			553.61	100.099998474		
555.1	1.4247		0.044876			554.57	100		
556	1.3926		0.045808			555.54	99.900001526		
557	1.3864		0.000188			556.5	99.900001526		
558	1.3983		0.000217			557.47	100		
558.9	1.4049		0.000201			558.43	99.900001526		
559.9	1.4104		0.000202			559.4	99.900001526		
560.8	1.4162		0.000202			560.36	100		
561.8	1.4234		0.000203			561.33	99.900001526		
562.8	1.4361		0.000196			562.29	99.900001526		
563.7	1.4299		0.044005			563.26	100		
564.7	1.4305		0.000202			564.22	99.900001526		
565.7	1.4379		0.043621			565.18	99.900001526		
566.6	1.4265		0.043917			566.15	99.900001526		
567.6	1.4201		0.044034			567.11	99.900001526		
568.6	1.4147		0.044106			568.08	99.900001526		
569.5	1.4083		0.044247			569.04	99.900001526		
570.5	1.396		0.044553			570.01	99.900001526		
571.5	1.3998		0.000193			570.97	99.800003052		
572.4	1.4233		0.000206			571.94	100		
573.4	1.4207		0.043552			572.9	99.900001526		
574.4	1.4211		0.000187			573.86	99.900001526		
575.3	1.4214		0.0434			574.83	99.900001526		
576.3	1.4183		0.000223			575.79	99.800003052		
577.2	1.4399		0.00022			576.76	100		
578.2	1.438		0.042672			577.72	99.900001526		
579.2	1.4413		0.000185			578.69	99.900001526		
580.1	1.4507		0.042165			579.65	100		
581.1	1.4417		0.042355			580.62	99.900001526		
582.1	1.4378		0.042404			581.58	99.900001526		
583	1.4352		0.042407			582.54	99.900001526		
584	1.4332		0.042413			583.51	99.900001526		
585	1.431		0.042397			584.47	99.900001526		
585.9	1.4282		0.042414			585.44	99.800003052		
586.9	1.4237		0.042483			586.4	99.900001526		
587.9	1.4129		0.042738			587.37	99.900001526		
588.8	1.4162		0.000212			588.33	99.900001526		
589.8	1.4346		0.000204			589.3	100		
590.7	1.4511		0.000207			590.26	99.900001526		
591.7	1.4462		0.041482			591.22	100		
592.7	1.4411		0.000201			592.19	99.900001526		
593.6	1.4568		0.000196			593.15	99.900001526		
594.6	1.4729		0.000175			594.12	99.900001526		
595.6	1.4705		0.040524			595.08	99.900001526		
596.5	1.4737		0.000207			596.05	100		
597.5	1.4828		0.040043			597.01	99.900001526		
598.5	1.4742		0.040228			597.98	99.900001526		
599.4	1.4695		0.040294			598.94	99.900001526		
600.4	1.4618		0.040442			599.91	99.900001526		
601.4	1.4738		0.000201			600.87	99.900001526		
602.3	1.486		0.039658			601.83	100		
603.3	1.4788		0.039781			602.8	99.900001526		
604.2	1.4742		0.039859			603.76	99.900001526		
605.2	1.465		0.040044			604.73	99.900001526		
606.2	1.4702		0.000193			605.69	100		
607.1	1.4929		0.000171			606.66	100		
608.1	1.4912		0.039136			607.62	99.900001526		
609.1	1.488		0.000194			608.59	99.900001526		
610	1.5034		0.000154			609.55	99.900001526		
611	1.5155		0.000158			610.51	99.900001526		
612	1.5312		0.000129			611.48	99.900001526		
612.9	1.53		0.037795			612.44	99.900001526		
613.9	1.5337		0.000129			613.41	100		
614.9	1.5419		0.037385			614.37	100		
615.8	1.5287		0.037661			615.34	100		
616.8	1.5336		0.000128			616.3	99.900001526		
617.8	1.5565		8.6E-5			617.27	99.900001526		
618.7	1.5574		0.036756			618.23	100		
619.7	1.5578		8.3E-5			619.19	99.900001526		
620.6	1.5771		5.8E-5			620.16	100		
621.6	1.5979		1.8E-5			621.12	99.900001526		
622.6	1.6065		0.035313			622.09	99.900001526		
623.5	1.6032		0.035337			623.05	99.900001526		
624.5	1.6051		0.035234			624.02	100		
625.5	1.6078		0.035114			624.98	99.900001526		
626.4	1.6075		0.035059			625.95	99.900001526		
627.4	1.6234		0			626.91	100		
628.4	1.6356		0.034286			627.87	99.900001526		
629.3	1.6445		0			628.84	99.900001526		
630.3	1.6732		0			629.8	100		
631.2	1.6841		0.03299			630.77	99.900001526		
632.2	1.6994		0			631.73	99.900001526		
633.2	1.72		0.03206			632.7	100		
634.1	1.7246		0.031897			633.66	99.900001526		
635.1	1.7508		0			634.63	100		
636.1	1.782		0.030514			635.59	99.900001526		
637	1.8073		0.029905			636.55	99.900001526		
638	1.8381		0.059364			637.52	99.900001526		
639	1.8174		0.15175			638.48	99.599998474		
639.9	1.802		0.060571			639.45	99.599998474		
640.9	1.8301		0.059386			640.41	99.800003052		
641.9	1.8628		0.028461			641.38	99.800003052		
642.8	1.9073		0.027445			642.34	99.900001526		
643.8	1.9514		0.026449			643.31	99.900001526		
644.8	2		0.025346			644.27	99.900001526		
645.7	2.056		0.02409			645.24	99.900001526		
646.7	2.1242		0.022554			646.2	99.900001526		
647.6	2.1938		0.045877			647.16	99.900001526		
648.6	2.2831		0.018913			648.13	99.800003052		
649.6	2.4183		0.015702			649.09	99.900001526		
650.5	2.5865		0.053575			650.06	99.800003052		
651.5	2.8024		0.10281			651.02	99.599998474		
652.5	3.1501		0.16809			651.99	99.300003052		
653.4	3.6375		0.62401			652.95	97.900001526		
654.4	3.2886		2.672			653.92	91.800003052		
655.4	2.0259		2.8851			654.88	84		
656.3	1.5654		1.1621			655.84	94.699996948		
657.3	2.0953		0.62449			656.81	97.400001526		
658.3	2.8577		0.72173			657.77	97.199996948		
659.2	3.168		2.249			658.74	93.300003052		
660.2	2.2584		3.9321			659.7	83.5		
661.1	1.1237		3.2253			660.67	89.599998474		
662.1	0.67161		2.5709			661.63	95.400001526		
663.1	0.49869		2.1763			662.6	97.400001526		
664	0.40413		1.9084			663.56	98.300003052		
665	0.33282		1.6911			664.53	98.699996948		
666	0.32516		1.4207			665.49	99		
666.9	0.34929		1.3273			666.45	99.099998474		
667.9	0.33245		1.2382			667.42	99.199996948		
668.9	0.33079		1.0895			668.38	99.300003052		
669.8	0.36479		0.99042			669.35	99.300003052		
670.8	0.36191		0.99621			670.31	99.300003052		
671.8	0.36034		0.85661			671.28	99.400001526		
672.7	0.35314		0.87249			672.24	99.400001526		
673.7	0.37589		0.68307			673.21	99.400001526		
674.6	0.39878		0.77327			674.17	99.400001526		
675.6	0.37801		0.67646			675.13	99.5		
676.6	0.3938		0.65022			676.1	99.5		
677.5	0.35528		0.71711			677.06	99.5		
678.5	0.19879		0.74762			678.03	99.5		
679.5	0.13523		0.34798			678.99	99.900001526		
680.4	0.23711		0.19976			679.96	100		
681.4	0.33154		0.14363			680.92	100		
682.4	0.38565		0.12381			681.89	99.900001526		
683.3	0.46386		0			682.85	99.900001526		
684.3	0.57781		0			683.81	99.900001526		
685.3	0.63103		0.077057			684.78	99.900001526		
686.2	0.63524		0.076468			685.74	99.900001526		
687.2	0.68024		0			686.71	99.900001526		
688.1	0.72375		0.067523			687.67	99.900001526		
689.1	0.71977		0.067781			688.64	99.900001526		
690.1	0.74649		0			689.6	99.900001526		
691	0.80497		0			690.57	100		
692	0.83098		0.059179			691.53	100		
693	0.83212		0.059014			692.49	99.900001526		
693.9	0.83961		0.058436			693.46	99.900001526		
