Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:OCS (2:1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/132"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.4764		0.016241			500.08	99.699996948		
501.1	1.4742		0.010934			501.05	99.800003052		
502	1.4714		0.010949			501.53	99.800003052		
503	1.474		0.00034			502.49	100		
503.9	1.4798		0.005556			503.46	99.900001526		
504.9	1.4807		0.010778			504.42	99.900001526		
505.9	1.4836		0.005501			505.39	99.900001526		
506.8	1.4891		0.01063			506.35	99.699996948		
507.8	1.4928		0.015737			507.31	99.800003052		
508.8	1.4966		0.020806			508.28	99.699996948		
509.7	1.4993		0.031021			509.24	99.599998474		
510.7	1.4993		0.041282			510.21	99.400001526		
511.7	1.4983		0.051577			511.17	99.300003052		
512.6	1.4906		0.072638			512.14	98.900001526		
513.6	1.4776		0.07847			513.1	98.599998474		
514.5	1.4613		0.089901			514.07	98.5		
515.5	1.4419		0.085574			515.03	98.300003052		
516.5	1.4257		0.075536			516	98.5		
517.4	1.4172		0.054143			516.96	98.800003052		
518.4	1.4148		0.043338			517.92	99.099998474		
519.4	1.416		0.027134			518.89	99.300003052		
520.3	1.4199		0.021691			519.85	99.599998474		
521.3	1.4217		0.016328			520.82	99.699996948		
522.3	1.4258		0.005729			521.78	99.800003052		
523.2	1.4338		0.000475			522.75	99.900001526		
524.2	1.4387		0.005653			523.71	100		
525.2	1.4425		0.000464			524.68	99.900001526		
526.1	1.4462		0.005593			525.64	100		
527.1	1.4471		0.005581			526.6	99.900001526		
528	1.4481		0.005566			527.57	100		
529	1.4486		0.005555			528.53	100		
530	1.4513		0.000446			529.5	99.900001526		
531	1.4539		0.005503			530.46	100		
531.9	1.4537		0.005495			531.43	99.900001526		
532.9	1.4533		0.005489			532.39	100		
533.8	1.4547		0.000439			533.36	99.900001526		
534.8	1.4578		0.000429			534.32	100		
535.8	1.4609		0.000417			535.29	100		
536.7	1.4615		0.005402			536.25	99.900001526		
537.7	1.4628		0.000412			537.21	100.099998474		
538.7	1.4648		0.005361			538.18	100		
539.6	1.4645		0.005356			539.14	100		
540.6	1.4648		0.005343			540.11	100		
541.5	1.4647		0.005336			541.07	99.900001526		
542.5	1.467		0.000396			542.04	100		
543.5	1.4695		0.005285			543	100		
544.5	1.4697		0.005276			543.97	100		
545.4	1.4704		0.00526			544.93	99.900001526		
546.4	1.4716		0.005242			545.89	100		
547.3	1.4733		0.005219			546.86	99.900001526		
548.3	1.4729		0.010066			547.82	99.900001526		
549.3	1.4728		0.005209			548.79	99.900001526		
550.2	1.4757		0.005175			549.75	100		
551.2	1.4764		0.009978			550.72	99.800003052		
552.2	1.4749		0.009977			551.68	99.900001526		
553.1	1.4763		0.005149			552.65	99.900001526		
554.1	1.4775		0.009912			553.61	99.800003052		
555.1	1.4789		0.00511			554.57	100		
556	1.4808		0.009841			555.54	99.900001526		
557	1.4808		0.009827			556.5	99.800003052		
558	1.4813		0.009804			557.47	99.800003052		
558.9	1.4822		0.009779			558.43	99.800003052		
559.9	1.4833		0.009748			559.4	99.800003052		
560.8	1.4848		0.009715			560.36	99.800003052		
561.8	1.4871		0.009667			561.33	99.800003052		
562.8	1.4885		0.01432			562.29	99.699996948		
563.7	1.4857		0.019032			563.26	99.699996948		
564.7	1.486		0.009638			564.22	99.699996948		
565.7	1.489		0.01424			565.18	99.699996948		
566.6	1.4901		0.0142			566.15	99.699996948		
567.6	1.4896		0.01883			567.11	99.699996948		
568.6	1.49		0.014154			568.08	99.699996948		
569.5	1.4909		0.018744			569.04	99.699996948		
570.5	1.4925		0.014066			570.01	99.699996948		
571.5	1.4927		0.023262			570.97	99.599998474		
572.4	1.491		0.018651			571.94	99.599998474		
573.4	1.4922		0.018596			572.9	99.599998474		
574.4	1.4932		0.018546			573.86	99.599998474		
575.3	1.4946		0.018491			574.83	99.599998474		
