Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/53"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
405.3200459	1.356962051			405.3200459	0.010378054			405.3200459	0.002884879		
405.4000466	1.35214423			405.4000466	0.008100122			405.4000466	0.00227762		
405.4800473	1.348214805			405.4800473	0.00494608			405.4800473	0.00146377		
405.560048	1.34550642			405.560048	0.000841189			405.560048	0.000425694		
405.6400487	1.344164149			405.6400487	-0.003523316			405.6400487	-0.000666876		
405.7200494	1.343990969			405.7200494	-0.007884209			405.7200494	-0.001752808		
405.8000501	1.344928146			405.8000501	-0.01196011			405.8000501	-0.00276475		
405.8800508	1.34668285			405.8800508	-0.015450021			405.8800508	-0.003630118		
405.9600515	1.348999879			405.9600515	-0.018513678			405.9600515	-0.004389879		
406.0400522	1.352028065			406.0400522	-0.020897231			406.0400522	-0.004979485		
406.1200529	1.355162273			406.1200529	-0.022509529			406.1200529	-0.005376689		
406.2000536	1.358538151			406.2000536	-0.023767964			406.2000536	-0.005684982		
406.2800543	1.362208329			406.2800543	-0.024340943			406.2800543	-0.005819316		
406.360055	1.365868674			406.360055	-0.024318564			406.360055	-0.005802068		
406.4400557	1.369696242			406.4400557	-0.023816416			406.4400557	-0.005660807		
406.5200563	1.373612571			406.5200563	-0.022415606			406.5200563	-0.005287737		
406.600057	1.377104681			406.600057	-0.020329157			406.600057	-0.0047383		
406.6800577	1.380475842			406.6800577	-0.017711			406.6800577	-0.004050011		
406.7600584	1.383400576			406.7600584	-0.014191462			406.7600584	-0.003129803		
406.8400591	1.385519876			406.8400591	-0.01017042			406.8400591	-0.002083446		
406.9200598	1.386969988			406.9200598	-0.005797212			406.9200598	-0.000950025		
407.0000605	1.387529043			407.0000605	-0.001081811			407.0000605	0.000264119		
407.0800612	1.387145391			407.0800612	0.003575343			407.0800612	0.001453566		
407.1600619	1.385910739			407.1600619	0.008135244			407.1600619	0.002607322		
407.2400626	1.383728863			407.2400626	0.012177308			407.2400626	0.003615664		
407.3200633	1.38112647			407.3200633	0.015627962			407.3200633	0.004465472		
407.400064	1.3778918			407.400064	0.018603407			407.400064	0.005184433		
407.4800647	1.374311164			407.4800647	0.020614843			407.4800647	0.005652904		
407.5600654	1.370855157			407.5600654	0.021975845			407.5600654	0.005957327		
407.6400661	1.367327812			407.6400661	0.022852317			407.6400661	0.006138371		
407.7200668	1.363919176			407.7200668	0.023023768			407.7200668	0.006143704		
407.8000675	1.360882183			407.8000675	0.022846665			407.8000675	0.006066468		
407.8800682	1.357955862			407.8800682	0.02242188			407.8800682	0.00592927		
407.9600689	1.355222904			407.9600689	0.021690559			407.9600689	0.005718469		
408.0400696	1.35265438			408.0400696	0.020760327			408.0400696	0.005460768		
408.1200703	1.350151511			408.1200703	0.019657893			408.1200703	0.005161882		
408.200071	1.347643303			408.200071	0.018184318			408.200071	0.004771679		
408.2800717	1.345376001			408.2800717	0.016320842			408.2800717	0.004287967		
408.3600723	1.34327688			408.3600723	0.014158395			408.3600723	0.003732645		
408.440073	1.341411159			408.440073	0.01154457			408.440073	0.003068209		
408.5200737	1.339950605			408.5200737	0.008476509			408.5200737	0.002294887		
408.6000744	1.339036846			408.6000744	0.004954914			408.6000744	0.001413002		
408.6800751	1.339009007			408.6800751	0.001079307			408.6800751	0.00044806		
408.7600758	1.339894885			408.7600758	-0.002709791			408.7600758	-0.000491901		
408.8400765	1.34173529			408.8400765	-0.006406977			408.8400765	-0.001406781		
408.9200772	1.344596732			408.9200772	-0.00930099			408.9200772	-0.002118987		
409.0000779	1.347728171			409.0000779	-0.011521145			409.0000779	-0.002663468		
409.0800786	1.351728331			409.0800786	-0.013084412			409.0800786	-0.003040476		
409.1600793	1.355881619			409.1600793	-0.013062812			409.1600793	-0.003016476		
409.24008	1.359466383			409.24008	-0.012272559			409.24008	-0.002798823		
409.3200807	1.363021257			409.3200807	-0.010730181			409.3200807	-0.002387995		
409.4000814	1.365848099			409.4000814	-0.00805086			409.4000814	-0.001689256		
409.4800821	1.36764633			409.4800821	-0.005080015			409.4800821	-0.000920573		
409.5600828	1.368725295			409.5600828	-0.001820796			409.5600828	-8.2257E-5		
409.6400835	1.368769761			409.6400835	0.001375775			409.6400835	0.00073235		
409.7200842	1.368239275			409.7200842	0.004296753			409.7200842	0.001471432		
409.8000849	1.366869709			409.8000849	0.006953895			409.8000849	0.002135069		
409.8800856	1.365053004			409.8800856	0.008757252			409.8800856	0.002576739		
409.9600863	1.363232913			409.9600863	0.010113672			409.9600863	0.002904297		
410.040087	1.361109651			410.040087	0.011033268			410.040087	0.003118022		
410.1200877	1.359041055			410.1200877	0.011184576			410.1200877	0.003137955		
410.2000883	1.357329234			410.2000883	0.011039142			410.2000883	0.003086431		
410.280089	1.355629872			410.280089	0.010609509			410.280089	0.002963649		
410.3600897	1.354218616			410.3600897	0.009761025			410.3600897	0.00273818		
410.4400904	1.353117371			410.4400904	0.008745635			410.4400904	0.002473624		
410.5200911	1.352242095			410.5200911	0.007567204			410.5200911	0.002170084		
410.6000918	1.351671311			410.6000918	0.006133997			410.6000918	0.001804881		
410.6800925	1.351572898			410.6800925	0.004677385			410.6800925	0.001437288		
410.7600932	1.351705501			410.7600932	0.003205731			410.7600932	0.001067315		
410.8400939	1.352327411			410.8400939	0.001666838			410.8400939	0.000683414		
410.9200946	1.353375505			410.9200946	0.00024609			410.9200946	0.000331676		
411.0000953	1.355124592			411.0000953	-0.000967009			411.0000953	3.654E-5		
411.080096	1.357262365			411.080096	-0.001356483			411.080096	-4.7665E-5		
411.1600967	1.359359342			411.1600967	-0.001277858			411.1600967	-1.3155E-5		
411.2400974	1.361716725			411.2400974	-0.000629049			411.2400974	0.00016878		
411.3200981	1.363858589			411.3200981	0.000899359			411.3200981	0.000574211		
411.4000988	1.365543782			411.4000988	0.002877457			411.4000988	0.001092005		
411.4800995	1.366903264			411.4800995	0.005386948			411.4800995	0.001743744		
411.5601002	1.36751649			411.5601002	0.008345498			411.5601002	0.002504138		
411.6401009	1.367444621			411.6401009	0.011397628			411.6401009	0.00328191		
411.7201016	1.366609004			411.7201016	0.014495682			411.7201016	0.00406305		
411.8001023	1.365068465			411.8001023	0.017257656			411.8001023	0.004750078		
411.880103	1.363065297			411.880103	0.019716326			411.880103	0.005353627		
411.9601037	1.360454501			411.9601037	0.021747783			411.9601037	0.005840831		
412.0401043	1.357579906			412.0401043	0.023035877			412.0401043	0.006136066		
412.120105	1.354691919			412.120105	0.023906869			412.120105	0.006325427		
412.2001057	1.351572856			412.2001057	0.024269443			412.2001057	0.006384228		
412.2801064	1.348582113			412.2801064	0.023996272			412.2801064	0.006285113		
412.3601071	1.345765068			412.3601071	0.023397476			412.3601071	0.006107011		
412.4401078	1.342981415			412.4401078	0.022417887			412.4401078	0.005834942		
412.5201085	1.340382597			412.5201085	0.020947019			412.5201085	0.005443045		
412.6001092	1.338084485			412.6001092	0.019185385			412.6001092	0.00498263		
412.6801099	1.335896014			412.6801099	0.017072226			412.6801099	0.004436692		
412.7601106	1.334103106			412.7601106	0.014463688			412.7601106	0.003771565		
412.8401113	1.332770893			412.8401113	0.011596904			412.8401113	0.003046366		
412.920112	1.331973229			412.920112	0.008426731			412.920112	0.002249493		
413.0001127	1.331811635			413.0001127	0.005250016			413.0001127	0.001454727		
413.0801134	1.332039063			413.0801134	0.002022837			413.0801134	0.000648642		
413.1601141	1.333011008			413.1601141	-0.001352088			413.1601141	-0.000192032		
413.2401148	1.334756383			413.2401148	-0.004376432			413.2401148	-0.000943185		
413.3201155	1.337072166			413.3201155	-0.007070166			413.3201155	-0.00161105		
413.4001162	1.340098539			413.4001162	-0.009133554			413.4001162	-0.002119121		
413.4801169	1.343339593			413.4801169	-0.010361822			413.4801169	-0.002416533		
413.5601176	1.346769007			413.5601176	-0.011012323			413.5601176	-0.00256705		
413.6401183	1.350362115			413.6401183	-0.010764005			413.6401183	-0.002487716		
