Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:OCS (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/137"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
500.1	1.5948		0.0287			500.08	99.400001526		
501.5	1.5929		0.023708			501.05	99.599998474		
503	1.594		0.018683			501.53	99.5		
504.4	1.5974		0.028317			502.49	99.5		
505.9	1.5976		0.033113			503.46	99.599998474		
507.3	1.5978		0.037889			504.42	99.400001526		
508.8	1.5977		0.042661			505.39	99.400001526		
510.2	1.601		0.04239			506.35	99.400001526		
511.7	1.601		0.061699			507.31	99.199996948		
513.1	1.5922		0.071793			508.28	99.199996948		
514.5	1.5831		0.072139			509.24	99		
516	1.576		0.072357			510.21	99.099998474		
517.4	1.5684		0.072605			511.17	98.800003052		
518.9	1.56		0.06796			512.14	98.599998474		
520.3	1.5604		0.048115			513.1	98.5		
521.8	1.565		0.052645			514.07	98.5		
523.2	1.5641		0.05254			515.03	98.400001526		
524.7	1.5637		0.047565			516	98.5		
526.1	1.566		0.042515			516.96	98.400001526		
527.6	1.5716		0.037386			517.92	98.5		
529	1.5771		0.041821			518.89	98.599998474		
530.5	1.5786		0.046382			519.85	98.900001526		
531.9	1.579		0.046235			520.82	98.900001526		
533.4	1.5805		0.04604			521.78	98.900001526		
534.8	1.5826		0.045817			522.75	98.800003052		
536.2	1.5859		0.045541			523.71	98.900001526		
537.7	1.5886		0.049949			524.68	99		
539.1	1.5881		0.054489			525.64	99.099998474		
540.6	1.5892		0.049644			526.6	99		
542	1.5918		0.054001			527.57	99.199996948		
543.5	1.5936		0.05376			528.53	99		
544.9	1.5951		0.058132			529.5	99		
546.4	1.5961		0.057916			530.46	99		
547.8	1.5965		0.062306			531.43	99		
549.3	1.5989		0.057453			532.39	99		
550.7	1.6011		0.066253			533.36	99		
552.2	1.6004		0.066114			534.32	99		
553.6	1.6017		0.065858			535.29	98.900001526		
555.1	1.6054		0.06546			536.25	99		
556.5	1.6075		0.074137			537.21	99.099998474		
558	1.6051		0.078579			538.18	98.900001526		
559.4	1.6058		0.073852			539.14	98.800003052		
560.8	1.6059		0.082583			540.11	98.800003052		
562.3	1.6051		0.077961			541.07	98.900001526		
563.7	1.6088		0.077504			542.04	98.800003052		
565.2	1.6101		0.086076			543	98.800003052		
566.6	1.6094		0.0859			543.97	98.699996948		
568.1	1.6085		0.090164			544.93	98.699996948		
569.5	1.6093		0.085461			545.89	98.699996948		
571	1.6122		0.089421			546.86	98.599998474		
572.4	1.6124		0.093555			547.82	98.599998474		
573.9	1.613		0.093267			548.79	98.599998474		
575.3	1.6136		0.097353			549.75	98.699996948		
576.8	1.6137		0.097088			550.72	98.5		
578.2	1.6166		0.096614			551.68	98.5		
579.6	1.6174		0.10497			552.65	98.5		
581.1	1.6163		0.1048			553.61	98.5		
582.5	1.6177		0.10441			554.57	98.400001526		
584	1.6195		0.1083			555.54	98.5		
585.4	1.6194		0.11234			556.5	98.300003052		
586.9	1.6199		0.11201			557.47	98.300003052		
588.3	1.6208		0.11594			558.43	98.300003052		
589.8	1.6224		0.1155			559.4	98.300003052		
591.2	1.6229		0.12371			560.36	98.199996948		
592.7	1.622		0.12349			561.33	98.099998474		
594.1	1.6217		0.12746			562.29	98.199996948		
595.6	1.6218		0.12714			563.26	98.099998474		
597	1.6221		0.13105			564.22	98.199996948		
598.5	1.6226		0.13067			565.18	98		
599.9	1.6239		0.13445			566.15	97.900001526		
601.4	1.6233		0.1384			567.11	97.900001526		
602.8	1.6235		0.13805			568.08	97.900001526		
604.2	1.624		0.14188			569.04	98		
605.7	1.6253		0.14139			570.01	97.900001526		
607.1	1.6249		0.14949			570.97	97.900001526		
608.6	1.6254		0.14488			571.94	97.900001526		
610	1.6269		0.15273			572.9	97.699996948		
611.5	1.6274		0.1523			573.86	97.800003052		
612.9	1.6273		0.16029			574.83	97.599998474		
614.4	1.6263		0.16003			575.79	97.699996948		
615.8	1.6265		0.16379			576.76	97.699996948		
617.3	1.6252		0.16772			577.72	97.699996948		
618.7	1.6243		0.16744			578.69	97.5		
620.2	1.6265		0.16677			579.65	97.5		
621.6	1.6277		0.17451			580.62	97.5		
623	1.6259		0.17848			581.58	97.5		
624.5	1.6255		0.17811			582.54	97.5		
626	1.6262		0.18174			583.51	97.300003052		
627.4	1.6261		0.18545			584.47	97.400001526		
628.8	1.6255		0.18923			585.44	97.300003052		
630.3	1.6239		0.19314			586.4	97.199996948		
631.7	1.6232		0.19279			587.37	97.199996948		
633.2	1.6237		0.19639			588.33	97.199996948		
634.6	1.6232		0.20012			589.3	97.199996948		
636.1	1.6216		0.204			590.26	97.199996948		
637.5	1.6211		0.20362			591.22	97		
639	1.6216		0.20717			592.19	97		
