Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CO2:CH4 (95:3:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/31"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
27.220261	2.310316			27.220261	0.632127		
27.202412	2.310381			27.202412	0.632221		
27.184586	2.310383			27.184586	0.632317		
27.166783	2.310265			27.166783	0.632413		
27.149004	2.310027			27.149004	0.63251		
27.131248	2.309673			27.131248	0.632607		
27.113515	2.309353			27.113515	0.632705		
27.095806	2.309152			27.095806	0.632804		
27.078119	2.309068			27.078119	0.632903		
27.060456	2.309103			27.060456	0.633003		
27.042815	2.309134			27.042815	0.633103		
27.025198	2.309046			27.025198	0.633204		
27.007603	2.308841			27.007603	0.633306		
26.990031	2.308517			26.990031	0.633408		
26.972483	2.308162			26.972483	0.633511		
26.954957	2.307923			26.954957	0.633614		
26.937453	2.3078			26.937453	0.633718		
26.919973	2.307794			26.919973	0.633823		
26.902515	2.307845			26.902515	0.633928		
26.88508	2.307788			26.88508	0.634034		
26.867667	2.307614			26.867667	0.63414		
26.850277	2.307322			26.850277	0.634247		
26.83291	2.306952			26.83291	0.634354		
26.815565	2.306675			26.815565	0.634462		
26.798242	2.306515			26.798242	0.634571		
26.780941	2.306469			26.780941	0.63468		
26.763663	2.306519			26.763663	0.63479		
26.746408	2.306492			26.746408	0.6349		
26.729174	2.306349			26.729174	0.63501		
26.711963	2.30609			26.711963	0.635122		
26.694774	2.305725			26.694774	0.635233		
26.677607	2.305413			26.677607	0.635346		
26.660462	2.305215			26.660462	0.635459		
26.643339	2.305131			26.643339	0.635572		
26.626238	2.305161			26.626238	0.635686		
26.609159	2.305163			26.609159	0.635801		
26.592101	2.305051			26.592101	0.635916		
26.575066	2.304825			26.575066	0.636031		
26.558053	2.304485			26.558053	0.636148		
26.541061	2.304138			26.541061	0.636264		
26.524091	2.303905			26.524091	0.636382		
26.507143	2.303785			26.507143	0.6365		
26.490216	2.303778			26.490216	0.636618		
26.473311	2.303806			26.473311	0.636737		
26.456427	2.303725			26.456427	0.636857		
26.439566	2.303531			26.439566	0.636978		
26.422725	2.303224			26.422725	0.637099		
26.405906	2.302856			26.405906	0.63722		
26.389108	2.302589			26.389108	0.637343		
26.372332	2.302433			26.372332	0.637466		
26.355577	2.302389			26.355577	0.637589		
26.338843	2.302426			26.338843	0.637713		
26.322131	2.302376			26.322131	0.637838		
26.30544	2.302214			26.30544	0.637964		
26.28877	2.30194			26.28877	0.63809		
26.272121	2.301571			26.272121	0.638218		
26.255493	2.30127			26.255493	0.638345		
26.238886	2.301081			26.238886	0.638474		
26.2223	2.301002			26.2223	0.638603		
26.205735	2.301027			26.205735	0.638734		
26.189191	2.301008			26.189191	0.638865		
26.172668	2.300877			26.172668	0.638996		
26.156165	2.300636			26.156165	0.639129		
26.139684	2.300286			26.139684	0.639263		
26.123223	2.299953			26.123223	0.639397		
26.106783	2.29973			26.106783	0.639532		
26.090364	2.299617			26.090364	0.639669		
26.073965	2.299613			26.073965	0.639806		
26.057587	2.299623			26.057587	0.639944		
26.041229	2.299524			26.041229	0.640083		
26.024892	2.299315			26.024892	0.640223		
26.008576	2.298997			26.008576	0.640364		
25.99228	2.298638			25.99228	0.640507		
25.976004	2.298382			25.976004	0.64065		
25.959749	2.298235			25.959749	0.640794		
