Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"OCS (1)"
Temperature:	"60K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/154"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
805.34	1.2638			805.34	0.0073736			705.03	99.9		
806.3	1.2648			806.3	0.00031199			706	99.9		
807.27	1.269			807.27	0.00036444			706.96	100		
808.23	1.2698			808.23	0.0073861			707.93	99.9		
809.2	1.2677			809.2	0.0073648			708.89	99.9		
810.16	1.2659			810.16	0.0073483			709.85	99.9		
811.13	1.2676			811.13	0.00035161			710.82	100		
812.09	1.2693			812.09	0.0073504			711.78	100		
813.05	1.2676			813.05	0.0073326			712.75	99.9		
814.02	1.2658			814.02	0.0073143			713.71	100		
814.98	1.2673			814.98	0.00034744			714.68	100		
815.95	1.2681			815.95	0.0073121			715.64	99.9		
816.91	1.2689			816.91	0.00036555			716.61	99.9		
817.88	1.2703			817.88	0.0073087			717.57	99.9		
818.84	1.2678			818.84	0.0072882			718.54	99.9		
819.81	1.2694			819.81	0.00037457			719.5	99.9		
820.77	1.2712			820.77	0.0072934			720.46	99.9		
821.73	1.2698			821.73	0.0072777			721.43	99.9		
822.7	1.2691			822.7	0.0072656			722.39	100		
823.66	1.2684			823.66	0.0072515			723.36	99.9		
824.63	1.267			824.63	0.0072374			724.32	99.9		
825.59	1.2689			825.59	0.00036993			725.29	99.9		
826.56	1.2705			826.56	0.0072425			726.25	99.9		
827.52	1.2679			827.52	0.0072182			727.22	100		
828.49	1.2686			828.49	0.00037028			728.18	99.9		
829.45	1.2727			829.45	0.00041775			729.15	99.9		
830.42	1.2735			830.42	0.0072308			730.11	99.9		
831.38	1.2716			831.38	0.0072118			731.07	99.9		
832.34	1.2697			832.34	0.0071946			732.04	99.9		
833.31	1.2705			833.31	0.00039309			733	99.9		
834.27	1.2745			834.27	0.00044135			733.97	99.9		
835.24	1.2747			835.24	0.0072031			734.93	100		
836.2	1.2756			836.2	0.00045367			735.9	100		
837.17	1.2774			837.17	0.0072035			736.86	99.9		
838.13	1.2761			838.13	0.0071899			737.83	99.9		
839.1	1.2751			839.1	0.0071755			738.79	99.9		
840.06	1.2776			840.06	0.0004786			739.75	99.9		
841.02	1.2803			841.02	0.0071943			740.72	99.9		
841.99	1.28			841.99	0.0071851			741.68	99.9		
842.95	1.2806			842.95	0.0071783			742.65	100		
843.92	1.2819			843.92	0.0071794			743.61	99.9		
844.88	1.2843			844.88	0.0071864			744.58	99.9		
845.85	1.2845			845.85	0.013813			745.54	99.9		
846.81	1.2819			846.81	0.0138			746.51	100		
847.78	1.2828			847.78	0.0071584			747.47	100		
848.74	1.2867			848.74	0.0071734			748.43	99.9		
849.7	1.2905			849.7	0.0071849			749.4	100		
850.67	1.2951			850.67	0.0072052			750.36	99.9		
851.63	1.3021			851.63	0.0072262			751.33	99.9		
852.6	1.3096			852.6	0.013707			752.29	99.9		
853.56	1.316			853.56	0.020113			753.26	99.9		
854.53	1.3282			854.53	0.02001			754.22	100		
855.49	1.3521			855.49	0.032313			755.19	99.9		
856.46	1.3707			856.46	0.094151			756.15	99.9		
857.42	1.3095			857.42	0.24435			757.11	99.9		
858.38	1.2072			858.38	0.19757			758.08	99.9		
859.35	1.1697			859.35	0.099811			759.04	99.9		
860.31	1.175			860.31	0.056053			760.01	99.9		
861.28	1.1844			861.28	0.034398			760.97	99.9		
862.24	1.1962			862.24	0.013229			761.94	99.9		
863.21	1.2098			863.21	0.0064036			762.9	99.9		
864.17	1.2193			864.17	0.0065039			763.87	99.9		
865.14	1.2243			865.14	0.0065461			764.83	100		
866.1	1.2306			866.1	0			765.79	99.9		
867.07	1.2358			867.07	0.0066512			766.76	99.9		
868.03	1.2368			868.03	0.0066496			767.72	99.9		
868.99	1.2372			868.99	0.0066493			768.69	100		
869.96	1.2403			869.96	5.047E-6			769.65	99.9		
870.92	1.2425			870.92	0.0066837			770.62	99.9		
871.89	1.2443			871.89	6.283E-5			771.58	99.9		
872.85	1.2459			872.85	0.0066989			772.55	99.9		
873.82	1.2475			873.82	0.00010902			773.51	100		
874.78	1.2497			874.78	0.0067211			774.48	99.9		
875.75	1.2487			875.75	0.0067038			775.44	99.9		
876.71	1.2483			876.71	0.0066933			776.4	100		
877.67	1.2471			877.67	0.0066766			777.37	99.9		
878.64	1.2484			878.64	0.00012515			778.33	100		
879.6	1.2528			879.6	0.00018475			779.3	100		
880.57	1.254			880.57	0.0067159			780.26	100		
881.53	1.2528			881.53	0.0066985			781.23	99.9		
882.5	1.2524			882.5	0.006688			782.19	100		
883.46	1.2522			883.46	0.0066789			783.16	99.9		
884.43	1.252			884.43	0.0066708			784.12	99.9		
885.39	1.2517			885.39	0.0066592			785.09	99.9		
886.35	1.2511			886.35	0.0066482			786.05	100		
887.32	1.2497			887.32	0.0066281			787.01	100		
888.28	1.2505			888.28	0.00015274			787.98	99.9		
889.25	1.2542			889.25	0.00020475			788.94	99.9		
890.21	1.2538			890.21	0.0066463			789.91	99.9		
891.18	1.2535			891.18	0.00019713			790.87	99.9		
892.14	1.2571			892.14	0.00024594			791.84	100		
893.11	1.2577			893.11	0.0066621			792.8	99.9		
894.07	1.2561			894.07	0.0066392			793.77	99.9		
895.03	1.2552			895.03	0.0066245			794.73	99.9		
896	1.2545			896	0.0066122			795.69	100		
896.96	1.2537			896.96	0.0065967			796.66	100		
897.93	1.2519			897.93	0.0065764			797.62	99.9		
898.89	1.2524			898.89	0.00018197			798.59	100		
899.86	1.2552			899.86	0.00022184			799.55	99.9		
900.82	1.2579			900.82	0.00026046			800.52	99.9		
901.79	1.2582			901.79	0.0066049			801.48	99.9		
902.75	1.256			902.75	0.0065768			802.45	99.9		
903.72	1.254			903.72	0.0065555			803.41	99.9		
904.68	1.2549			904.68	0.00021774			804.37	99.9		
905.64	1.2551			905.64	0.006552			805.34	99.9		
906.61	1.2544			906.61	0.00021334			806.3	100		
907.57	1.2572			907.57	0.00025004			807.27	100		
908.54	1.2562			908.54	0.0065408			808.23	99.9		
909.5	1.255			909.5	0.0002204			809.2	99.9		
910.47	1.2567			910.47	0.00024414			810.16	99.9		
911.43	1.2578			911.43	0.00025949			811.13	100		
912.4	1.2587			912.4	0.00027492			812.09	99.9		
913.36	1.2598			913.36	0.00029155			813.05	99.9		
914.33	1.2618			914.33	0.00031719			814.02	99.9		
915.29	1.2615			915.29	0.0065435			814.98	100		
916.25	1.2585			916.25	0.0065134			815.95	99.9		
917.22	1.2594			917.22	0.00028598			816.91	100		
918.18	1.2604			918.18	0.0065176			817.88	99.9		
919.15	1.2584			919.15	0.0064926			818.84	99.9		
920.11	1.2561			920.11	0.0064613			819.81	100		
921.08	1.2561			921.08	0.00024089			820.77	99.9		
922.04	1.2584			922.04	0.00027105			821.73	99.9		
923.01	1.2599			923.01	0.00029419			822.7	99.9		
923.97	1.2619			923.97	0.00032238			823.66	99.9		
924.93	1.2611			924.93	0.0064765			824.63	99.9		
925.9	1.2611			925.9	0.00031078			825.59	100		
926.86	1.262			926.86	0.0064739			826.56	99.9		
927.83	1.2599			927.83	0.0064491			827.52	99.9		
928.79	1.2578			928.79	0.0064232			828.49	100		
929.76	1.2581			929.76	0.0002698			829.45	100		
930.72	1.2613			930.72	0.00031605			830.42	99.9		
931.68	1.2609			931.68	0.0064334			831.38	99.9		
932.65	1.2611			932.65	0.00031219			832.34	99.9		
933.61	1.2619			933.61	0.0064303			833.31	100		
934.58	1.2593			934.58	0.0064013			834.27	100		
935.54	1.2602			935.54	0.00030317			835.24	99.9		
936.51	1.2607			936.51	0.0064024			836.2	100		
937.47	1.2612			937.47	0.00031707			837.17	99.9		
938.44	1.2621			938.44	0.0064026			838.13	99.9		
939.4	1.2598			939.4	0.0063731			839.1	99.9		
940.37	1.261			940.37	0.00031372			840.06	100		
941.33	1.2624			941.33	0.0063876			841.02	99.9		
942.29	1.2608			942.29	0.0063676			841.99	99.9		
943.26	1.2598			943.26	0.0063506			842.95	99.9		
944.22	1.2581			944.22	0.0063294			843.92	99.9		
945.19	1.2592			945.19	0.00028954			844.88	99.9		
946.15	1.2595			946.15	0.0063319			845.85	99.8		
947.12	1.2592			947.12	0.00029107			846.81	99.8		
948.08	1.2621			948.08	0.00033108			847.78	99.9		
949.05	1.2616			949.05	0.006333			848.74	99.9		
950.01	1.2617			950.01	0.00032958			849.7	99.9		
950.97	1.2625			950.97	0.0063297			850.67	99.9		
951.94	1.2598			951.94	0.0062956			851.63	99.9		
952.9	1.26			952.9	0.00030504			852.6	99.8		
953.87	1.2632			953.87	0.00035102			853.56	99.7		
954.83	1.2635			954.83	0.0063158			854.53	99.7		
955.8	1.2609			955.8	0.0062865			855.49	99.5		
956.76	1.2619			956.76	0.00033491			856.46	98.5		
957.73	1.2629			957.73	0.0062933			857.42	96.3		
958.69	1.2605			958.69	0.0062643			858.38	97.2		
959.66	1.2614			959.66	0.00032817			859.35	98.6		
960.62	1.2617			960.62	0.0062656			860.31	99.2		
961.58	1.2614			961.58	0.00032522			861.28	99.5		
962.55	1.2646			962.55	0.00037553			862.24	99.8		
963.51	1.2651			963.51	0.0062831			863.21	99.9		
964.48	1.2635			964.48	0.0062601			864.17	99.9		
965.44	1.2625			965.44	0.0062475			865.14	99.9		
966.41	1.2612			966.41	0.0062284			866.1	100		
967.37	1.2627			967.37	0.00034707			867.07	99.9		
968.34	1.2642			968.34	0.0062441			868.03	99.9		
969.3	1.2628			969.3	0.0062265			868.99	99.9		
970.26	1.2615			970.26	0.0062065			869.96	100		
971.23	1.2631			971.23	0.00035396			870.92	99.9		
972.19	1.2647			972.19	0.0062313			871.89	100		
973.16	1.2637			973.16	0.0062141			872.85	99.9		
974.12	1.2632			974.12	0.0062046			873.82	100		
975.09	1.263			975.09	0.0061965			874.78	99.9		
976.05	1.2628			976.05	0.0061866			875.75	99.9		
977.02	1.2627			977.02	0.006182			876.71	99.9		
977.98	1.2626			977.98	0.0061748			877.67	99.9		
978.94	1.2624			978.94	0.0061652			878.64	100		
979.91	1.2623			979.91	0.0061605			879.6	100		
980.87	1.2622			980.87	0.0061552			880.57	99.9		
981.84	1.2621			981.84	0.006151			881.53	99.9		
982.8	1.2619			982.8	0.0061418			882.5	99.9		
983.77	1.2616			983.77	0.0061297			883.46	99.9		
984.73	1.2606			984.73	0.0061172			884.43	99.9		
985.7	1.2624			985.7	0.00035163			885.39	99.9		
986.66	1.2643			986.66	0.0061419			886.35	99.9		
987.63	1.2633			987.63	0.006127			887.32	99.9		
988.59	1.263			988.59	0.0061184			888.28	100		
989.55	1.2628			989.55	0.0061117			889.25	100		
990.52	1.2627			990.52	0.0061042			890.21	99.9		
991.48	1.2626			991.48	0.0061005			891.18	100		
992.45	1.2625			992.45	0.006093			892.14	100		
993.41	1.2624			993.41	0.0060869			893.11	99.9		
994.38	1.2623			994.38	0.0060818			894.07	99.9		
995.34	1.2622			995.34	0.0060741			895.03	99.9		
996.31	1.2618			996.31	0.006067			896	99.9		
997.27	1.2609			997.27	0.0060537			896.96	99.9		
998.23	1.2628			998.23	0.00035986			897.93	99.9		
999.2	1.2646			999.2	0.0060791			898.89	100		
1000.2	1.2637			1000.2	0.0060644			899.86	100		
1001.1	1.2634			1001.1	0.0060568			900.82	100		
1002.1	1.2633			1002.1	0.0060498			901.79	99.9		
1003.1	1.2632			1003.1	0.0060443			902.75	99.9		
1004	1.2632			1004	0.0060387			903.72	99.9		
1005	1.2632			1005	0.0060327			904.68	100		
1006	1.2632			1006	0.0060266			905.64	99.9		
1006.9	1.2632			1006.9	0.0060236			906.61	100		
1007.9	1.2632			1007.9	0.006017			907.57	100		
1008.8	1.2632			1008.8	0.0060131			908.54	99.9		
1009.8	1.2632			1009.8	0.0060081			909.5	100		
1010.8	1.2632			1010.8	0.0060032			910.47	100		
1011.7	1.2633			1011.7	0.0059998			911.43	100		
1012.7	1.2633			1012.7	0.0059954			912.4	100		
1013.7	1.2633			1013.7	0.0059888			913.36	100		
1014.6	1.2633			1014.6	0.0059832			914.33	100		
1015.6	1.2633			1015.6	0.0059807			915.29	99.9		
1016.6	1.2632			1016.6	0.0059749			916.25	99.9		
1017.5	1.2629			1017.5	0.0059659			917.22	100		
1018.5	1.262			1018.5	0.0059528			918.18	99.9		
1019.5	1.2636			1019.5	0.00038025			919.15	99.9		
1020.4	1.2647			1020.4	0.0059706			920.11	99.9		
1021.4	1.2657			1021.4	0.00041301			921.08	100		
1022.3	1.2672			1022.3	0.0059868			922.04	100		
1023.3	1.2662			1023.3	0.005972			923.01	100		
1024.3	1.2653			1024.3	0.0059562			923.97	100		
1025.2	1.2672			1025.2	0.00043808			924.93	99.9		
1026.2	1.2693			1026.2	0.00599			925.9	100		
1027.2	1.2689			1027.2	0.005981			926.86	99.9		
1028.1	1.2694			1028.1	0.0059797			927.83	99.9		
1029.1	1.2703			1029.1	0.0059837			928.79	99.9		
1030.1	1.2722			1030.1	0.0059979			929.76	100		
1031	1.2724			1031	0.011486			930.72	100		
1032	1.271			1032	0.011468			931.68	99.9		
1033	1.2707			1033	0.011456			932.65	100		
1033.9	1.2708			1033.9	0.011446			933.61	99.9		
1034.9	1.2715			1034.9	0.011442			934.58	99.9		
1035.8	1.2728			1035.8	0.01144			935.54	100		
1036.8	1.2754			1036.8	0.011446			936.51	99.9		
1037.8	1.2774			1037.8	0.016887			937.47	100		
1038.7	1.2801			1038.7	0.016874			938.44	99.9		
1039.7	1.2827			1039.7	0.027702			939.4	99.9		
1040.7	1.2817			1040.7	0.038558			940.37	100		
1041.6	1.272			1041.6	0.060653			941.33	99.9		
1042.6	1.2445			1042.6	0.078387			942.29	99.9		
1043.6	1.2241			1043.6	0.039266			943.26	99.9		
1044.5	1.2266			1044.5	0.016613			944.22	99.9		
1045.5	1.2329			1045.5	0.011033			945.19	100		
1046.5	1.2381			1046.5	0.005514			946.15	99.9		
1047.4	1.2425			1047.4	0.0055677			947.12	100		
1048.4	1.2449			1048.4	0.0055916			948.08	100		
1049.4	1.2461			1049.4	0.0056034			949.05	99.9		
1050.3	1.2461			1050.3	0.0055981			950.01	100		
1051.3	1.2476			1051.3	0.00013064			950.97	99.9		
1052.2	1.2508			1052.2	0.00018736			951.94	99.9		
1053.2	1.2537			1053.2	0.00023335			952.9	100		
1054.2	1.2539			1054.2	0.0056769			953.87	100		
1055.1	1.2546			1055.1	0.00025034			954.83	99.9		
1056.1	1.256			1056.1	0.0056913			955.8	99.9		
1057.1	1.2547			1057.1	0.0056738			956.76	100		
1058	1.2535			1058	0.0056546			957.73	99.9		
1059	1.255			1059	0.00025699			958.69	99.9		
1060	1.2565			1060	0.0056784			959.66	100		
1060.9	1.2551			1060.9	0.0056599			960.62	99.9		
1061.9	1.2535			1061.9	0.0056354			961.58	100		
1062.9	1.254			1062.9	0.00024049			962.55	100		
1063.8	1.2565			1063.8	0.00028236			963.51	99.9		
1064.8	1.2589			1064.8	0.00032382			964.48	99.9		
1065.7	1.2592			1065.7	0.0056829			965.44	99.9		
1066.7	1.2576			1066.7	0.0056644			966.41	99.9		
1067.7	1.2566			1067.7	0.0056452			967.37	100		
1068.6	1.255			1068.6	0.0056212			968.34	99.9		
1069.6	1.2553			1069.6	0.00026465			969.3	99.9		
1070.6	1.2577			1070.6	0.00030295			970.26	99.9		
1071.5	1.26			1071.5	0.00033979			971.23	100		
1072.5	1.2602			1072.5	0.0056661			972.19	99.9		
1073.5	1.2584			1073.5	0.0056408			973.16	99.9		
1074.4	1.2567			1074.4	0.0056163			974.12	99.9		
1075.4	1.2576			1075.4	0.00030489			975.09	99.9		
1076.4	1.2578			1076.4	0.0056186			976.05	99.9		
1077.3	1.2575			1077.3	0.00030369			977.02	99.9		
1078.3	1.2602			1078.3	0.00034843			977.98	99.9		
1079.3	1.2602			1079.3	0.0056355			978.94	99.9		
1080.2	1.2577			1080.2	0.0055968			979.91	99.9		
1081.2	1.2577			1081.2	0.0003066			980.87	99.9		
1082.1	1.2598			1082.1	0.00034292			981.84	99.9		
1083.1	1.262			1083.1	0.00037713			982.8	99.9		
1084.1	1.2622			1084.1	0.0056389			983.77	99.9		
1085	1.2604			1085	0.0056101			984.73	99.9		
1086	1.2589			1086	0.0055895			985.7	100		
1087	1.2601			1087	0.00034741			986.66	99.9		
1087.9	1.2613			1087.9	0.005609			987.63	99.9		
1088.9	1.2599			1088.9	0.0055877			988.59	99.9		
1089.9	1.2585			1089.9	0.0055651			989.55	99.9		
1090.8	1.2597			1090.8	0.0003426			990.52	99.9		
1091.8	1.2608			1091.8	0.005587			991.48	99.9		
1092.8	1.2588			1092.8	0.0055563			992.45	99.9		
1093.7	1.2598			1093.7	0.00034567			993.41	99.9		
1094.7	1.2604			1094.7	0.0055665			994.38	99.9		
1095.6	1.261			1095.6	0.00036586			995.34	99.9		
1096.6	1.2621			1096.6	0.0055776			996.31	99.9		
1097.6	1.2609			1097.6	0.0055608			997.27	99.9		
1098.5	1.2604			1098.5	0.0055502			998.23	100		
1099.5	1.2599			1099.5	0.0055418			999.2	99.9		
1100.5	1.2594			1100.5	0.0055287			1000.2	99.9		
1101.4	1.2588			1101.4	0.0055172			1001.1	99.9		
1102.4	1.2575			1102.4	0.0054972			1002.1	99.9		
1103.4	1.2581			1103.4	0.00032036			1003.1	99.9		
1104.3	1.2611			1104.3	0.00037124			1004	99.9		
1105.3	1.2616			1105.3	0.0055338			1005	99.9		
1106.3	1.2599			1106.3	0.0055096			1006	99.9		
1107.2	1.2582			1107.2	0.0054849			1006.9	99.9		
1108.2	1.2587			1108.2	0.00033082			1007.9	99.9		
1109.1	1.2616			1109.1	0.00038066			1008.8	99.9		
1110.1	1.262			1110.1	0.0055185			1009.8	99.9		
1111.1	1.2603			1111.1	0.0054922			1010.8	99.9		
1112	1.2587			1112	0.0054693			1011.7	99.9		
1113	1.2596			1113	0.00034711			1012.7	99.9		
1114	1.2599			1114	0.0054764			1013.7	99.9		
1114.9	1.2601			1114.9	0.00035678			1014.6	99.9		
1115.9	1.2601			1115.9	0.0054698			1015.6	99.9		
1116.9	1.2597			1116.9	0.00035032			1016.6	99.9		
1117.8	1.2622			1117.8	0.00039225			1017.5	99.9		
1118.8	1.2623			1118.8	0.0054868			1018.5	99.9		
1119.8	1.26			1119.8	0.0054547			1019.5	100		
1120.7	1.2607			1120.7	0.00036878			1020.4	99.9		
1121.7	1.261			1121.7	0.0054576			1021.4	100		
1122.7	1.2614			1122.7	0.0003831			1022.3	99.9		
1123.6	1.2622			1123.6	0.0054645			1023.3	99.9		
1124.6	1.2606			1124.6	0.0054399			1024.3	99.9		
1125.5	1.2589			1125.5	0.0054139			1025.2	100		
1126.5	1.2596			1126.5	0.00035405			1026.2	99.9		
1127.5	1.2596			1127.5	0.0054165			1027.2	99.9		
1128.4	1.2589			1128.4	0.00033991			1028.1	99.9		
1129.4	1.2603			1129.4	0.00036534			1029.1	99.9		
1130.4	1.2612			1130.4	0.00037967			1030.1	99.9		
1131.3	1.2619			1131.3	0.00039346			1031	99.8		
