Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (94.95:5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/186"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1.095	1.615		0.001057		
1.09	1.616		0.001087		
1.085	1.617		0.001122		
1.08	1.618		0.00117		
1.075	1.619		0.001587		
1.07	1.62		0.001863		
1.065	1.621		0.001803		
1.06	1.621		0.001716		
1.055	1.621		0.001626		
1.05	1.621		0.0016		
1.045	1.622		0.00165		
1.04	1.622		0.001739		
1.035	1.622		0.001648		
1.03	1.623		0.001729		
1.025	1.623		0.001842		
1.02	1.623		0.002002		
1.015	1.622		0.002174		
1.01	1.622		0.002314		
1.005	1.621		0.002488		
1	1.62	0.003	0.002298	0.004	
0.995	1.619		0.002188		
0.99	1.619		0.002434		
0.985	1.619		0.002656		
0.98	1.619		0.002858		
0.975	1.619		0.003044		
0.97	1.619		0.003195		
0.965	1.619		0.003316		
0.96	1.619		0.003442		
0.955	1.619		0.003576		
0.95	1.619		0.003681		
0.945	1.619		0.00377		
0.94	1.619	0.001	0.00384	0.002	
0.935	1.619		0.003923		
0.93	1.619		0.003983		
0.925	1.619		0.004033		
0.92	1.619		0.004029		
0.915	1.62		0.003974		
0.91	1.62		0.003877		
0.905	1.62		0.003775		
0.9	1.62		0.003667		
0.895	1.62		0.003563		
0.89	1.62		0.003442		
0.885	1.621		0.003309		
0.88	1.621		0.003172		
0.875	1.621		0.00302		
0.87	1.621		0.002872		
0.865	1.621		0.0027		
0.86	1.622		0.002539		
0.855	1.622		0.002361		
0.85	1.622	0.002	0.002187	0.001	
0.845	1.622		0.002041		
0.84	1.622		0.001931		
0.835	1.622		0.001849		
0.83	1.622		0.00176		
0.825	1.622		0.001666		
0.82	1.622		0.001566		
0.815	1.623		0.001513		
0.81	1.623		0.001458		
0.805	1.623		0.001402		
0.8	1.623		0.001346		
0.795	1.624		0.001299		
0.79	1.624		0.001252		
0.785	1.624		0.001217		
0.78	1.624		0.001215		
0.775	1.625		0.001267		
0.77	1.625		0.0014		
0.765	1.624		0.001638		
0.76	1.624	0.004	0.001804	0.001	
0.755	1.625		0.001913		
0.75	1.625		0.00196		
0.745	1.626		0.00203		
0.74	1.626		0.002036		
0.735	1.626		0.00237		
0.73	1.627		0.002717		
0.725	1.627		0.002794		
0.72	1.627		0.002771		
0.715	1.627		0.002753		
0.71	1.628		0.002724		
0.705	1.628		0.002674		
0.7	1.628		0.002619		
0.695	1.629		0.002425		
0.69	1.63		0.002213		
0.685	1.632		0.002162		
0.68	1.633		0.002095		
0.675	1.634		0.00208		
0.67	1.634		0.002065		
0.665	1.634		0.00199		
0.66	1.635		0.001639		
0.655	1.635		0.001323		
0.65	1.635		0.001316		
0.645	1.636		0.001436		
0.64	1.636		0.00158		
0.635	1.637		0.001749		
0.63	1.637		0.001927		
0.625	1.638		0.002077		
0.62	1.639		0.002303		
0.615	1.639		0.002452		
0.61	1.638		0.002518		
0.605	1.638		0.002659		
0.6	1.638	0.001	0.002814	0.001	
0.595	1.638		0.002945		
0.59	1.638	0.002	0.003144	0.001	
0.585	1.639		0.003285		
0.58	1.64		0.003363		
0.575	1.64		0.003375		
0.57	1.641		0.003314		
0.565	1.641		0.003245		
0.56	1.642		0.003176		
0.555	1.642		0.003103		
0.55	1.643		0.003029		
0.545	1.644		0.002953		
0.54	1.644		0.002879		
0.535	1.645		0.0028		
0.53	1.646		0.002712		
0.525	1.647		0.002605		
0.52	1.648		0.002574		
0.515	1.649		0.002663		
0.51	1.65		0.002863		
0.505	1.652		0.003191		
0.5	1.653		0.003648		
0.495	1.655		0.004228		
0.49	1.656		0.004852		
0.485	1.658		0.005496		
0.48	1.66		0.006157		
0.475	1.661		0.00683		
0.47	1.663		0.007522		
0.465	1.664		0.008235		
0.46	1.666		0.008887		
0.455	1.667		0.009573		
0.45	1.669	0.001	0.01033	0.001	
0.445	1.671		0.011098		
0.44	1.673		0.011846		
0.435	1.674		0.012652		
0.43	1.676		0.013701		
0.425	1.679		0.01482		
0.42	1.681		0.01604		
0.415	1.683		0.017396		
0.41	1.685		0.018885		
0.405	1.688		0.020502		
0.4	1.69	0.002	0.022277	0.003	
0.395	1.692		0.024294		
0.39	1.695		0.026584		
0.385	1.697		0.029185		
0.38	1.7		0.031956		
0.375	1.703		0.034894		
0.37	1.705		0.038036		
0.365	1.708		0.041416		
0.36	1.711		0.044989		
0.355	1.713		0.048565		
0.35	1.716		0.05233		
0.345	1.718		0.056278		
0.34	1.721		0.060415		
0.335	1.723		0.064833		
0.33	1.725		0.06966		
0.325	1.727		0.074924		
0.32	1.729		0.080556		
0.315	1.731		0.086539		
0.31	1.732		0.092921		
0.305	1.733		0.099589		
0.3	1.734	0.001	0.105734	0.001	
0.295	1.735		0.112377		
0.29	1.736		0.119639		
0.285	1.735		0.127893		
0.28	1.733		0.137121		
0.275	1.729		0.146433		
0.27	1.721		0.154404		
