Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"90K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/206"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.5996	1.261		
0.5991	1.261		
0.5985	1.261		
0.5979	1.261		
0.5974	1.261		
0.5968	1.261		
0.5963	1.261		
0.5957	1.261		
0.5951	1.2611		
0.5946	1.2611		
0.594	1.2611		
0.5935	1.2611		
0.5929	1.2611		
0.5923	1.2611		
0.5918	1.2611		
0.5912	1.2611		
0.5906	1.2612		
0.5901	1.2612		
0.5895	1.2612		
0.589	1.2612		
0.5884	1.2612		
0.5878	1.2612		
0.5873	1.2612		
0.5867	1.2612		
0.5861	1.2613		
0.5856	1.2613		
0.585	1.2613		
0.5845	1.2613		
0.5839	1.2613		
0.5833	1.2613		
0.5828	1.2613		
0.5822	1.2614		
0.5817	1.2614		
0.5811	1.2614		
0.5805	1.2614		
0.58	1.2614		
0.5794	1.2614		
0.5788	1.2614		
0.5783	1.2614		
0.5777	1.2615		
0.5772	1.2615		
0.5766	1.2615		
0.576	1.2615		
0.5755	1.2615		
0.5749	1.2615		
0.5744	1.2615		
0.5738	1.2616		
0.5732	1.2616		
0.5727	1.2616		
0.5721	1.2616		
0.5715	1.2616		
0.571	1.2616		
0.5704	1.2616		
0.5699	1.2616		
0.5693	1.2617		
0.5687	1.2617		
0.5682	1.2617		
0.5676	1.2617		
0.567	1.2617		
0.5665	1.2617		
0.5659	1.2617		
0.5654	1.2618		
0.5648	1.2618		
0.5642	1.2618		
0.5637	1.2618		
0.5631	1.2618		
0.5626	1.2618		
0.562	1.2618		
0.5614	1.2619		
0.5609	1.2619		
0.5603	1.2619		
0.5597	1.2619		
0.5592	1.2619		
0.5586	1.2619		
0.5581	1.262		
0.5575	1.262		
0.5569	1.262		
0.5564	1.262		
0.5558	1.262		
0.5552	1.262		
0.5547	1.262		
0.5541	1.2621		
0.5536	1.2621		
0.553	1.2621		
0.5524	1.2621		
0.5519	1.2621		
0.5513	1.2621		
0.5508	1.2622		
0.5502	1.2622		
0.5496	1.2622		
0.5491	1.2622		
0.5485	1.2622		
0.5479	1.2622		
0.5474	1.2622		
0.5468	1.2623		
0.5463	1.2623		
