Reference:	"Fayolle et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114574"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (94.95:5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/49"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.48	0.014947		
2.44	0.011541		
2.4	0.009521		
2.36	0.008428		
2.32	0.008463		
2.28	0.009084		
2.24	0.008075		
2.2	0.007028		
2.16	0.005872		
2.12	0.005232		
2.08	0.005128		
2.04	0.005241		
2	0.005672		
1.96	0.005526		
1.92	0.004155		
1.88	0.001463		
1.84	0.000897		
1.8	0.001001		
1.76	0.00105		
1.72	0.000957		
1.68	0.000771		
1.64	0.000625		
1.6	0.000638		
1.56	0.000769		
1.52	0.000908		
1.48	0.000853		
1.44	0.000621		
1.4	0.00039		
1.34	0.000277		
1.3	0.000267		
1.26	0.000295		
1.22	0.000342		
1.18	0.000413		
1.14	0.000478		
1.1	0.000604		
1.06	0.000793		
1.02	0.001062		
0.98	0.001478		
0.94	0.002032		
0.9	0.002838		
0.86	0.004033		
0.82	0.005688		
0.78	0.008075		
0.74	0.011526		
0.7	0.016544		
0.66	0.024006		
0.62	0.034867		
0.58	0.050537		
0.54	0.073915		
0.5	0.11015		
