Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/66"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
531.1808	0.01109		
531.3013	0.01011		
531.4219	0.00844		
531.5424	0.00642		
531.6629	0.0044		
531.7835	0.0027		
531.904	0.00148		
532.0245	0.000741		
532.1451	0.000387		
532.2656	0.000265		
532.3861	0.000239		
532.5067	0.000224		
532.6272	0.000179		
532.7477	9.1E-5		
532.8683	-5.0E-5		
532.9888	-0.00026		
533.1093	-0.00055		
533.2298	-0.000901		
533.3504	-0.00126		
533.4709	-0.00156		
533.5914	-0.00173		
533.712	-0.00173		
533.8325	-0.00159		
533.953	-0.00139		
534.0736	-0.00121		
534.1941	-0.00113		
534.3146	-0.00113		
534.4352	-0.00118		
534.5557	-0.00118		
534.6762	-0.00105		
534.7967	-0.000767		
534.9173	-0.000358		
535.0378	8.0E-5		
535.1583	0.000438		
535.2789	0.000635		
535.3994	0.000644		
535.5199	0.000499		
535.6405	0.000275		
535.761	5.0E-5		
535.8815	-0.000119		
536.0021	-0.000207		
536.1226	-0.000222		
536.2431	-0.000187		
536.3637	-0.000123		
536.4842	-4.7E-5		
536.6047	3.0E-5		
536.7252	8.9E-5		
536.8458	0.000102		
536.9663	3.7E-5		
537.0868	-0.00013		
537.2074	-0.0004		
537.3279	-0.000746		
537.4484	-0.00112		
537.569	-0.00146		
537.6895	-0.00172		
537.81	-0.00188		
537.9306	-0.00193		
538.0511	-0.00189		
538.1716	-0.00177		
538.2922	-0.0016		
538.4127	-0.00139		
538.5332	-0.00116		
538.6537	-0.000939		
538.7743	-0.000775		
538.8948	-0.000701		
539.0153	-0.000736		
539.1359	-0.000862		
539.2564	-0.00103		
539.3769	-0.00117		
539.4975	-0.00122		
539.618	-0.00115		
539.7385	-0.000976		
539.8591	-0.000757		
539.9796	-0.000555		
540.1001	-0.000416		
540.2207	-0.000343		
540.3412	-0.000302		
540.4617	-0.000241		
540.5822	-0.00012		
540.7028	5.5E-5		
540.8233	0.000235		
540.9438	0.000343		
541.0644	0.00031		
541.1849	0.00011		
541.3054	-0.000218		
541.426	-0.000579		
541.5465	-0.000858		
541.667	-0.000964		
541.7876	-0.000864		
541.9081	-0.000594		
542.0286	-0.000249		
542.1491	5.8E-5		
542.2697	0.000231		
542.3902	0.000221		
542.5107	3.1E-5		
542.6313	-0.000297		
542.7518	-0.000707		
542.8723	-0.00114		
542.9929	-0.00155		
543.1134	-0.00191		
543.2339	-0.00219		
543.3545	-0.00234		
543.475	-0.00234		
543.5955	-0.00216		
543.7161	-0.00181		
543.8366	-0.00133		
543.9571	-0.000795		
544.0776	-0.000298		
544.1982	7.3E-5		
544.3187	0.000267		
544.4392	0.000274		
544.5598	0.000125		
544.6803	-0.000124		
544.8008	-0.000417		
544.9214	-0.000707		
545.0419	-0.000967		
545.1624	-0.00118		
545.283	-0.00135		
545.4035	-0.00144		
545.524	-0.00145		
545.6446	-0.00136		
545.7651	-0.00117		
545.8856	-0.000878		
546.0061	-0.000527		
546.1267	-0.000153		
546.2472	0.000206		
546.3677	0.000519		
546.4883	0.000769		
546.6088	0.000943		
546.7293	0.00103		
546.8499	0.00101		
546.9704	0.000883		
547.0909	0.000639		
547.2115	0.000312		
547.332	-4.0E-5		
547.4525	-0.000336		
547.5731	-0.000504		
547.6936	-0.000499		
547.8141	-0.000327		
547.9346	-4.2E-5		
548.0552	0.000274		
548.1757	0.000543		
548.2962	0.000718		
548.4168	0.0008		
548.5373	0.00083		
548.6578	0.000856		
548.7784	0.0009		
548.8989	0.00094		
549.0194	0.000911		
549.14	0.000732		
549.2605	0.000348		
549.381	-0.000231		
549.5016	-0.000923		
549.6221	-0.00159		
549.7426	-0.00207		
549.8631	-0.00227		
549.9837	-0.00215		
550.1042	-0.00176		
550.2247	-0.00122		
550.3453	-0.000667		
550.4658	-0.000215		
550.5863	8.7E-5		
550.7069	0.000245		
550.8274	0.000307		
550.9479	0.000333		
551.0685	0.000366		
551.189	0.000426		
551.3095	0.000515		
551.43	0.000627		
551.5506	0.000763		
551.6711	0.00093		
551.7916	0.00114		
551.9122	0.00137		
552.0327	0.00162		
552.1532	0.00182		
552.2738	0.00194		
552.3943	0.00195		
552.5148	0.00187		
552.6354	0.00174		
552.7559	0.00162		
552.8764	0.00159		
552.997	0.00168		
553.1175	0.00188		
553.238	0.00215		
553.3585	0.0024		
553.4791	0.00259		
553.5996	0.00267		
553.7201	0.00263		
553.8407	0.00247		
553.9612	0.00221		
554.0817	0.00185		
554.2023	0.00139		
554.3228	0.000839		
554.4433	0.000202		
554.5639	-0.000481		
554.6844	-0.00115		
554.8049	-0.00173		
554.9255	-0.00216		
555.046	-0.00238		
555.1665	-0.00239		
555.287	-0.00222		
555.4076	-0.00194		
555.5281	-0.00161		
555.6486	-0.00127		
555.7692	-0.000958		
555.8897	-0.000664		
556.0102	-0.000369		
556.1308	-5.2E-5		
556.2513	0.000296		
556.3718	0.000666		
556.4924	0.00103		
556.6129	0.00136		
556.7334	0.00161		
556.854	0.00177		
556.9745	0.00182		
557.095	0.00179		
557.2155	0.00167		
557.3361	0.00148		
557.4566	0.00124		
557.5771	0.000946		
557.6977	0.000621		
557.8182	0.000282		
557.9387	-4.1E-5		
558.0593	-0.000313		
558.1798	-0.000499		
558.3003	-0.000581		
558.4209	-0.000561		
558.5414	-0.000467		
558.6619	-0.000344		
558.7825	-0.000241		
558.903	-0.000197		
559.0235	-0.000226		
559.144	-0.000317		
559.2646	-0.00044		
559.3851	-0.000558		
559.5056	-0.00064		
559.6262	-0.000675		
559.7467	-0.000671		
559.8672	-0.000647		
559.9878	-0.000626		
560.1083	-0.000621		
560.2288	-0.000633		
560.3494	-0.000651		
560.4699	-0.000657		
560.5904	-0.000635		
560.7109	-0.000576		
560.8315	-0.00048		
560.952	-0.000353		
561.0725	-0.00021		
561.1931	-6.8E-5		
561.3136	5.0E-5		
561.4341	0.000116		
