Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:Helium:CH4 (72:25:3)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/197"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.5	0.00038		
2.25	0.00024		
2	0.00017		
1.75	0.00016		
1.5	0.00017		
1.25	0.00022		
1	0.00032		
0.75	0.00075		
0.5	0.0044		
0.4	0.012		
