Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:N2:CO2 (0.66:0.16:0.066:0.065:0.049)"
Temperature:	"400K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/76"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.10% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.43% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 4.10% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
27.4712792	1.6306603	3.540545733		27.4712792	0.061306317	2.624796692		27.4712792	0.972934969		0.871682823		0.177568054			9028.574487293	0.067048722		0.062068576		
27.4349415	1.6312452	3.540725017		27.4349415	0.061319545	2.692940467		27.4349415	0.973029602		0.871692468		0.175444338			9029.538769519	0.067039856		0.062073365		
27.3986998	1.6318858	3.540899521		27.3986998	0.061502733	2.617435584		27.3986998	0.97297968		0.871857574		0.172097524			9030.503051746	0.067030452		0.062079426		
27.3625538	1.6325093	3.541068554		27.3625538	0.061739758	2.569215299		27.3625538	0.972930252		0.871875109		0.168430991			9031.467333972	0.067020529		0.062086585		
27.326503	1.6330573	3.541231933		27.326503	0.062149144	2.362434893		27.326503	0.972588505		0.871591254		0.165793256			9032.431616199	0.067010455		0.062094338		
27.2905471	1.633436	3.541390249		27.2905471	0.062578493	2.197364719		27.2905471	0.972169054		0.870827838		0.164565167			9033.395898426	0.067000753		0.062102078		
27.2546856	1.6337161	3.541544511		27.2546856	0.062941644	2.168360917		27.2546856	0.971869441		0.869731012		0.163817987			9034.360180652	0.066991833		0.062109355		
27.2189183	1.6339393	3.541695397		27.2189183	0.063286548	2.244979435		27.2189183	0.971688983		0.86843333		0.162697924			9035.324462879	0.066983812		0.062116003		
27.1832448	1.634055	3.541843325		27.1832448	0.063611152	2.310187356		27.1832448	0.971506841		0.867216933		0.161677072			9036.288745105	0.066976499		0.06212208		
27.1476646	1.6341124	3.54198842		27.1476646	0.063780343	2.386492322		27.1476646	0.971368004		0.866137992		0.16191535			9037.253027332	0.066969551		0.062127731		
27.1121775	1.6341493	3.542130773		27.1121775	0.063875564	2.275983401		27.1121775	0.971036944		0.865442462		0.16389789			9038.217309558	0.066962682		0.062133099		
27.076783	1.6342824	3.542270518		27.076783	0.063735059	2.239311817		27.076783	0.970868898		0.864992243		0.166971678			9039.181591785	0.066955792		0.062138322		
