Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/89"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
622.6	1.6044		0			622.09	100		
623.5	1.6088		0.035183			623.05	99.900001526		
624.5	1.6183		0			624.02	100		
625.5	1.6336		0.034474			624.98	99.900001526		
626.4	1.6342		0.034414			625.95	99.900001526		
627.4	1.6395		0.034245			626.91	100		
628.4	1.6458		0.034037			627.87	99.900001526		
629.3	1.6499		0.033884			628.84	99.900001526		
630.3	1.6712		0			629.8	99.900001526		
631.2	1.6939		0.03276			630.77	99.900001526		
632.2	1.7018		0.03253			631.73	99.900001526		
633.2	1.714		0.032207			632.7	99.900001526		
634.1	1.726		0.031876			633.66	99.900001526		
635.1	1.757		0			634.63	99.900001526		
636.1	1.7964		0.030199			635.59	99.900001526		
637	1.8166		0.06028			636.55	99.900001526		
638	1.8492		0.05893			637.52	99.900001526		
639	1.8186		0.213			638.48	99.699996948		
639.9	1.7716		0.09303			639.45	99.400001526		
640.9	1.814		0.029577			640.41	99.800003052		
641.9	1.855		0.058349			641.38	99.800003052		
642.8	1.8873		0.027883			642.34	99.900001526		
643.8	1.932		0.026864			643.31	99.900001526		
644.8	1.9911		0			644.27	99.900001526		
645.7	2.0566		0.024078			645.24	100		
646.7	2.1205		0.02263			646.2	99.900001526		
647.6	2.1879		0.046075			647.16	99.900001526		
648.6	2.2744		0.019106			648.13	99.900001526		
649.6	2.4033		0.016063			649.09	99.900001526		
650.5	2.5721		0.032991			650.06	99.900001526		
651.5	2.777		0.10442			651.02	99.599998474		
652.5	3.1012		0.11928			651.99	99.400001526		
653.4	3.6895		0.36325			652.95	98.699996948		
654.4	3.5663		2.4976			653.92	93.900001526		
655.4	2.1052		3.5116			654.88	80		
656.3	1.3717		1.1606			655.84	94.599998474		
657.3	2.0139		0.45747			656.81	98		
658.3	2.9333		0.50753			657.77	98		
659.2	3.4525		2.0949			658.74	94.699996948		
660.2	2.3627		4.5803			659.7	79.900001526		
661.1	0.9624		3.3117			660.67	89.5		
662.1	0.54982		2.6196			661.63	96.099998474		
663.1	0.40233		2.153			662.6	97.800003052		
664	0.35618		1.8643			663.56	98.5		
665	0.29582		1.7164			664.53	98.900001526		
666	0.2922		1.3985			665.49	99.099998474		
666.9	0.29033		1.4048			666.45	99.300003052		
667.9	0.25984		1.1768			667.42	99.300003052		
668.9	0.28683		1.0709			668.38	99.5		
669.8	0.32036		0.9621			669.35	99.400001526		
670.8	0.31634		0.9722			670.31	99.400001526		
671.8	0.31459		0.81375			671.28	99.5		
672.7	0.30874		0.82752			672.24	99.5		
673.7	0.33425		0.61118			673.21	99.5		
674.6	0.39855		0.64393			674.17	99.5		
675.6	0.4098		0.62562			675.13	99.599998474		
676.6	0.41765		0.61362			676.1	99.599998474		
677.5	0.37096		0.68736			677.06	99.5		
678.5	0.21188		0.70467			678.03	99.5		
679.5	0.1641		0.28723			678.99	99.900001526		
680.4	0.27939		0.17007			679.96	99.900001526		
681.4	0.37112		0.12874			680.92	99.900001526		
682.4	0.42328		0.11315			681.89	99.900001526		
683.3	0.50441		0			682.85	99.900001526		
684.3	0.56548		0.085556			683.81	100		
685.3	0.59951		0			684.78	99.900001526		
686.2	0.66722		0			685.74	100		
687.2	0.72663		0			686.71	99.900001526		
688.1	0.75345		0.065085			687.67	99.900001526		
689.1	0.74341		0.065797			688.64	99.900001526		
690.1	0.76384		0			689.6	100		
691	0.8099		0			690.57	100		
692	0.85339		0			691.53	100		
693	0.87344		0.056471			692.49	100		
693.9	0.87172		0.056487			693.46	100		
694.9	0.87658		0.056126			694.42	99.900001526		
695.9	0.8813		0.055778			695.39	99.900001526		
696.8	0.87948		0.055787			696.35	100		
697.8	0.90292		0			697.32	99.900001526		
698.8	0.92077		0.053383			698.28	100		
699.7	0.93733		0			699.25	99.900001526		
700.7	0.95972		0.05129			700.21	99.900001526		
701.7	0.95742		0.05133			701.18	99.900001526		
702.6	0.96055		0.051101			702.14	99.900001526		
703.6	0.9647		0.05083			703.1	99.900001526		
704.5	0.96867		0.050564			704.07	99.900001526		
705.5	0.97128		0.050382			705.03	99.900001526		
706.5	0.96812		0.050449			706	99.900001526		
707.4	0.9889		0			706.96	100		
708.4	1.01		0.04846			707.93	100		
709.4	1.0067		0.048524			708.89	100		
710.3	1.0081		0.04839			709.85	99.900001526		
711.3	1.010200024		0.048243001			710.82	100		
712.27	1.011999965		0.048099			711.78	99.900001526		
713.23	1.012300014		0.048004001			712.75	99.900001526		
714.2	1.006700039		0.048179999			713.71	99.900001526		
715.16	1.022699952		0			714.68	99.900001526		
716.12	1.033800006		0.046914			715.64	99.900001526		
717.09	1.04429996		0			716.61	99.900001526		
718.05	1.059999943		0.045752			717.57	100		
719.02	1.05400002		0.045926001			718.54	99.900001526		
719.98	1.052999973		0.045899998			719.5	100		
720.95	1.052700043		0.045850001			720.46	99.900001526		
721.91	1.051499963		0.045821998			721.43	99.900001526		
722.88	1.04519999		0.046018999			722.39	99.900001526		
723.84	1.060600042		0			723.36	99.900001526		
724.8	1.075700045		0.044725001			724.32	100		
725.77	1.067399979		0.044969998			725.29	99.900001526		
726.73	1.057899952		0.045271002			726.25	99.900001526		
727.7	1.069499969		0			727.22	99.900001526		
728.66	1.075799942		0.044459999			728.18	99.900001526		
729.63	1.077299953		0			729.15	99.900001526		
730.59	1.104799986		0			730.11	100		
731.56	1.112400055		0.043003999			731.07	99.900001526		
732.52	1.103999972		0.043226			732.04	99.900001526		
733.49	1.101300001		0.043281			733	99.900001526		
734.45	1.099699974		0.043260001			733.97	99.900001526		
735.41	1.097800016		0.043274999			734.93	99.900001526		
736.38	1.091400027		0.043449			735.9	99.900001526		
737.34	1.105999947		0			736.86	100		
738.31	1.121099949		0.042300999			737.83	100		
739.27	1.115499973		0.042422999			738.79	99.900001526		
740.24	1.114500046		0.042413998			739.75	99.900001526		
741.2	1.114500046		0.042339999			740.72	99.900001526		
742.17	1.11500001		0.042286001			741.68	99.900001526		
743.13	1.115700006		0.042188			742.65	99.900001526		
744.09	1.11650002		0.042110998			743.61	99.900001526		
745.06	1.117300034		0.042041998			744.58	99.900001526		
746.02	1.118100047		0.041953001			745.54	99.900001526		
746.99	1.118800044		0.041873999			746.51	99.900001526		
747.95	1.119300008		0.041797999			747.47	100		
748.92	1.119600058		0.041742001			748.43	99.900001526		
749.88	1.119500041		0.041685			749.4	100		
750.85	1.118100047		0.041700002			750.36	99.900001526		
751.81	1.112100005		0.041832			751.33	99.900001526		
752.77	1.12590003		0			752.29	100		
753.74	1.139899969		0.040816002			753.26	99.900001526		
754.7	1.133900046		0.040964998			754.22	99.900001526		
755.67	1.131899953		0.040968999			755.19	99.900001526		
756.63	1.130399942		0.040959001			756.15	99.900001526		
757.6	1.128100038		0.040991001			757.11	99.900001526		
758.56	1.121399999		0.041129999			758.08	99.900001526		
759.53	1.13409996		0			759.04	99.900001526		
760.49	1.146800041		0.040229999			760.01	99.900001526		
761.45	1.138800025		0.040426999			760.97	99.900001526		
762.42	1.130499959		0.040642001			761.94	99.900001526		
763.38	1.142500043		0			762.9	100		
764.35	1.155200005		0.039774999			763.87	100		
765.31	1.148499966		0.039921999			764.83	99.900001526		
766.28	1.145599961		0.039972998			765.79	99.900001526		
767.24	1.14260006		0.040008001			766.76	100		
768.21	1.135699987		0.040183			767.72	99.900001526		
769.17	1.148000002		0			768.69	99.900001526		
770.14	1.16050005		0.039297			769.65	100		
771.1	1.153599977		0.039469998			770.62	99.900001526		
772.06	1.149799943		0.039553002			771.58	99.900001526		
773.03	1.142699957		0.039698999			772.55	99.900001526		
773.99	1.154899955		0			773.51	99.900001526		
