Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/202"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.6204	1.189		
0.6199	1.189		
0.6193	1.189		
0.6187	1.189		
0.6182	1.189		
0.6176	1.1891		
0.6171	1.1891		
0.6165	1.1891		
0.6159	1.1891		
0.6154	1.1891		
0.6148	1.1891		
0.6142	1.1891		
0.6137	1.1891		
0.6131	1.1891		
0.6126	1.1891		
0.612	1.1891		
0.6114	1.1891		
0.6109	1.1891		
0.6103	1.1892		
0.6097	1.1892		
0.6092	1.1892		
0.6086	1.1892		
0.6081	1.1892		
0.6075	1.1892		
0.6069	1.1892		
0.6064	1.1892		
0.6058	1.1892		
0.6053	1.1892		
0.6047	1.1892		
0.6041	1.1892		
0.6036	1.1893		
0.603	1.1893		
0.6024	1.1893		
0.6019	1.1893		
0.6013	1.1893		
0.6008	1.1893		
0.6002	1.1893		
0.5996	1.1893		
0.5991	1.1893		
0.5985	1.1893		
0.5979	1.1893		
0.5974	1.1893		
0.5968	1.1894		
0.5963	1.1894		
0.5957	1.1894		
0.5951	1.1894		
0.5946	1.1894		
0.594	1.1894		
0.5935	1.1894		
0.5929	1.1894		
0.5923	1.1894		
0.5918	1.1894		
0.5912	1.1894		
0.5906	1.1894		
0.5901	1.1895		
0.5895	1.1895		
0.589	1.1895		
0.5884	1.1895		
0.5878	1.1895		
0.5873	1.1895		
0.5867	1.1895		
0.5861	1.1895		
0.5856	1.1895		
0.585	1.1895		
0.5845	1.1895		
0.5839	1.1896		
0.5833	1.1896		
0.5828	1.1896		
0.5822	1.1896		
0.5817	1.1896		
0.5811	1.1896		
0.5805	1.1896		
0.58	1.1896		
0.5794	1.1896		
0.5788	1.1896		
0.5783	1.1896		
0.5777	1.1897		
0.5772	1.1897		
0.5766	1.1897		
0.576	1.1897		
0.5755	1.1897		
0.5749	1.1897		
0.5744	1.1897		
0.5738	1.1897		
0.5732	1.1897		
0.5727	1.1897		
0.5721	1.1898		
0.5715	1.1898		
0.571	1.1898		
0.5704	1.1898		
0.5699	1.1898		
0.5693	1.1898		
0.5687	1.1898		
0.5682	1.1898		
0.5676	1.1898		
0.567	1.1898		
0.5665	1.1899		
0.5659	1.1899		
0.5654	1.1899		
0.5648	1.1899		
0.5642	1.1899		
0.5637	1.1899		
0.5631	1.1899		
0.5626	1.1899		
0.562	1.1899		
0.5614	1.1899		
0.5609	1.19		
0.5603	1.19		
0.5597	1.19		
0.5592	1.19		
0.5586	1.19		
0.5581	1.19		
0.5575	1.19		
0.5569	1.19		
0.5564	1.19		
0.5558	1.1901		
0.5552	1.1901		
0.5547	1.1901		
0.5541	1.1901		
0.5536	1.1901		
0.553	1.1901		
0.5524	1.1901		
0.5519	1.1901		
0.5513	1.1901		
0.5508	1.1902		
0.5502	1.1902		
0.5496	1.1902		
0.5491	1.1902		
0.5485	1.1902		
0.5479	1.1902		
0.5474	1.1902		
0.5468	1.1902		
0.5463	1.1902		
0.5457	1.1903		
0.5451	1.1903		
0.5446	1.1903		
0.544	1.1903		
0.5434	1.1903		
0.5429	1.1903		
0.5423	1.1903		
0.5418	1.1903		
0.5412	1.1903		
0.5406	1.1904		
0.5401	1.1904		
0.5395	1.1904		
0.539	1.1904		
0.5384	1.1904		
0.5378	1.1904		
0.5373	1.1904		
0.5367	1.1904		
0.5361	1.1905		
0.5356	1.1905		
0.535	1.1905		
0.5345	1.1905		
0.5339	1.1905		
0.5333	1.1905		
0.5328	1.1905		
0.5322	1.1905		
0.5316	1.1905		
0.5311	1.1906		
0.5305	1.1906		
0.53	1.1906		
0.5294	1.1906		
0.5288	1.1906		
0.5283	1.1906		
0.5277	1.1906		
0.5272	1.1906		
0.5266	1.1907		
0.526	1.1907		
0.5255	1.1907		
0.5249	1.1907		
0.5243	1.1907		
0.5238	1.1907		
0.5232	1.1907		
0.5227	1.1908		
0.5221	1.1908		
0.5215	1.1908		
0.521	1.1908		
0.5204	1.1908		
0.5198	1.1908		
0.5193	1.1908		
0.5187	1.1908		
0.5182	1.1909		
0.5176	1.1909		
0.517	1.1909		
0.5165	1.1909		
0.5159	1.1909		
0.5154	1.1909		
0.5148	1.1909		
0.5142	1.191		
0.5137	1.191		
0.5131	1.191		
0.5125	1.191		
0.512	1.191		
0.5114	1.191		
0.5109	1.191		
0.5103	1.191		
0.5097	1.1911		
0.5092	1.1911		
0.5086	1.1911		
0.508	1.1911		
0.5075	1.1911		
0.5069	1.1911		
0.5064	1.1911		
0.5058	1.1912		
0.5052	1.1912		
0.5047	1.1912		
0.5041	1.1912		
0.5036	1.1912		
0.503	1.1912		
0.5024	1.1913		
0.5019	1.1913		
0.5013	1.1913		
0.5007	1.1913		
0.5002	1.1913		
0.4996	1.1913		
0.4991	1.1913		
0.4985	1.1914		
0.4979	1.1914		
0.4974	1.1914		
0.4968	1.1914		
0.4962	1.1914		
0.4957	1.1914		
0.4951	1.1914		
0.4946	1.1915		
0.494	1.1915		
0.4934	1.1915		
0.4929	1.1915		
0.4923	1.1915		
0.4918	1.1915		
0.4912	1.1916		
0.4906	1.1916		
0.4901	1.1916		
0.4895	1.1916		
0.4889	1.1916		
0.4884	1.1916		
0.4878	1.1917		
0.4873	1.1917		
0.4867	1.1917		
0.4861	1.1917		
0.4856	1.1917		
0.485	1.1917		
0.4844	1.1918		
0.4839	1.1918		
0.4833	1.1918		
0.4828	1.1918		
0.4822	1.1918		
0.4816	1.1918		
0.4811	1.1919		
0.4805	1.1919		
0.48	1.1919		
0.4794	1.1919		
0.4788	1.1919		
0.4783	1.1919		
0.4777	1.192		
0.4771	1.192		
0.4766	1.192		
0.476	1.192		
0.4755	1.192		
0.4749	1.192		
0.4743	1.1921		
0.4738	1.1921		
0.4732	1.1921		
0.4727	1.1921		
0.4721	1.1921		
0.4715	1.1922		
0.471	1.1922		
0.4704	1.1922		
0.4698	1.1922		
0.4693	1.1922		
0.4687	1.1922		
0.4682	1.1923		
0.4676	1.1923		
0.467	1.1923		
0.4665	1.1923		
0.4659	1.1923		
0.4653	1.1924		
0.4648	1.1924		
0.4642	1.1924		
0.4637	1.1924		
0.4631	1.1924		
0.4625	1.1925		
0.462	1.1925		
0.4614	1.1925		
0.4609	1.1925		
0.4603	1.1925		
0.4597	1.1926		
0.4592	1.1926		
0.4586	1.1926		
0.458	1.1926		
0.4575	1.1926		
0.4569	1.1926		
0.4564	1.1927		
0.4558	1.1927		
0.4552	1.1927		
0.4547	1.1927		
0.4541	1.1928		
0.4535	1.1928		
0.453	1.1928		
0.4524	1.1928		
0.4519	1.1928		
0.4513	1.1929		
0.4507	1.1929		
0.4502	1.1929		
0.4496	1.1929		
0.4491	1.1929		
0.4485	1.193		
0.4479	1.193		
0.4474	1.193		
0.4468	1.193		
0.4462	1.193		
0.4457	1.1931		
0.4451	1.1931		
0.4446	1.1931		
0.444	1.1931		
0.4434	1.1932		
0.4429	1.1932		
0.4423	1.1932		
0.4417	1.1932		
0.4412	1.1932		
0.4406	1.1933		
0.4401	1.1933		
0.4395	1.1933		
0.4389	1.1933		
0.4384	1.1934		
0.4378	1.1934		
0.4373	1.1934		
0.4367	1.1934		
0.4361	1.1935		
0.4356	1.1935		
0.435	1.1935		
0.4344	1.1935		
0.4339	1.1935		
0.4333	1.1936		
0.4328	1.1936		
0.4322	1.1936		
0.4316	1.1936		
0.4311	1.1937		
0.4305	1.1937		
0.4299	1.1937		
0.4294	1.1937		
0.4288	1.1938		
0.4283	1.1938		
0.4277	1.1938		
0.4271	1.1938		
0.4266	1.1939		
0.426	1.1939		
0.4255	1.1939		
0.4249	1.1939		
0.4243	1.194		
0.4238	1.194		
0.4232	1.194		
0.4226	1.194		
0.4221	1.1941		
0.4215	1.1941		
0.421	1.1941		
0.4204	1.1941		
0.4198	1.1942		
0.4193	1.1942		
0.4187	1.1942		
0.4181	1.1943		
0.4176	1.1943		
0.417	1.1943		
0.4165	1.1943		
0.4159	1.1944		
0.4153	1.1944		
0.4148	1.1944		
0.4142	1.1944		
0.4137	1.1945		
0.4131	1.1945		
0.4125	1.1945		
0.412	1.1946		
0.4114	1.1946		
0.4108	1.1946		
0.4103	1.1946		
0.4097	1.1947		
0.4092	1.1947		
0.4086	1.1947		
0.408	1.1948		
0.4075	1.1948		
0.4069	1.1948		
0.4063	1.1948		
0.4058	1.1949		
0.4052	1.1949		
0.4047	1.1949		
0.4041	1.195		
0.4035	1.195		
0.403	1.195		
0.4024	1.1951		
0.4019	1.1951		
0.4013	1.1951		
0.4007	1.1952		
0.4002	1.1952		
0.3996	1.1952		
0.399	1.1952		
0.3985	1.1953		
0.3979	1.1953		
0.3974	1.1953		
0.3968	1.1954		
0.3962	1.1954		
0.3957	1.1954		
0.3951	1.1955		
0.3945	1.1955		
0.394	1.1955		
0.3934	1.1956		
0.3929	1.1956		
0.3923	1.1956		
0.3917	1.1957		
0.3912	1.1957		
0.3906	1.1957		
0.3901	1.1958		
0.3895	1.1958		
0.3889	1.1958		
0.3884	1.1959		
0.3878	1.1959		
0.3872	1.1959		
0.3867	1.196		
0.3861	1.196		
0.3856	1.196		
0.385	1.1961		
0.3844	1.1961		
0.3839	1.1962		
0.3833	1.1962		
0.3828	1.1962		
0.3822	1.1963		
0.3816	1.1963		
0.3811	1.1963		
0.3805	1.1964		
0.3799	1.1964		
0.3794	1.1964		
0.3788	1.1965		
0.3783	1.1965		
0.3777	1.1966		
0.3771	1.1966		
0.3766	1.1966		
0.376	1.1967		
0.3754	1.1967		
0.3749	1.1967		
0.3743	1.1968		
0.3738	1.1968		
0.3732	1.1969		
0.3726	1.1969		
0.3721	1.1969		
0.3715	1.197		
0.371	1.197		
0.3704	1.1971		
0.3698	1.1971		
0.3693	1.1971		
0.3687	1.1972		
0.3681	1.1972		
0.3676	1.1973		
0.367	1.1973		
0.3665	1.1974		
0.3659	1.1974		
0.3653	1.1974		
0.3648	1.1975		
0.3642	1.1975		
0.3636	1.1976		
0.3631	1.1976		
0.3625	1.1977		
0.362	1.1977		
0.3614	1.1977		
0.3608	1.1978		
0.3603	1.1978		
0.3597	1.1979		
0.3592	1.1979		
0.3586	1.198		
0.358	1.198		
0.3575	1.1981		
0.3569	1.1981		
0.3563	1.1981		
0.3558	1.1982		
0.3552	1.1982		
0.3547	1.1983		
0.3541	1.1983		
0.3535	1.1984		
0.353	1.1984		
0.3524	1.1985		
0.3518	1.1985		
0.3513	1.1986		
0.3507	1.1986		
0.3502	1.1987		
0.3496	1.1987		
0.349	1.1988		
0.3485	1.1988		
0.3479	1.1989		
0.3474	1.1989		
0.3468	1.199		
0.3462	1.199		
0.3457	1.1991		
0.3451	1.1991		
0.3445	1.1992		
0.344	1.1992		
0.3434	1.1993		
0.3429	1.1993		
0.3423	1.1994		
0.3417	1.1994		
0.3412	1.1995		
0.3406	1.1995		
0.34	1.1996		
0.3395	1.1996		
0.3389	1.1997		
0.3384	1.1998		
0.3378	1.1998		
0.3372	1.1999		
0.3367	1.1999		
0.3361	1.2		
0.3356	1.2		
0.335	1.2001		
0.3344	1.2002		
0.3339	1.2002		
0.3333	1.2003		
0.3327	1.2003		
0.3322	1.2004		
0.3316	1.2004		
0.3311	1.2005		
0.3305	1.2006		
0.3299	1.2006		
0.3294	1.2007		
0.3288	1.2007		
0.3282	1.2008		
0.3277	1.2009		
0.3271	1.2009		
0.3266	1.201		
0.326	1.2011		
0.3254	1.2011		
0.3249	1.2012		
0.3243	1.2012		
0.3238	1.2013		
0.3232	1.2014		
0.3226	1.2014		
0.3221	1.2015		
0.3215	1.2016		
0.3209	1.2016		
0.3204	1.2017		
0.3198	1.2018		
0.3193	1.2018		
0.3187	1.2019		
0.3181	1.202		
0.3176	1.202		
0.317	1.2021		
0.3164	1.2022		
0.3159	1.2023		
0.3153	1.2023		
0.3148	1.2024		
0.3142	1.2025		
0.3136	1.2025		
0.3131	1.2026		
0.3125	1.2027		
0.312	1.2028		
0.3114	1.2028		
0.3108	1.2029		
0.3103	1.203		
0.3097	1.2031		
0.3091	1.2031		
0.3086	1.2032		
0.308	1.2033		
0.3075	1.2034		
0.3069	1.2034		
0.3063	1.2035		
0.3058	1.2036		
0.3052	1.2037		
0.3046	1.2038		
0.3041	1.2038		
0.3035	1.2039		
0.303	1.204		
0.3024	1.2041		
0.3018	1.2042		
0.3013	1.2043		
0.3007	1.2043		
0.3002	1.2044		
0.2996	1.2045		
0.299	1.2046		
0.2985	1.2047		
0.2979	1.2048		
0.2973	1.2049		
0.2968	1.2049		
0.2962	1.205		
0.2957	1.2051		
0.2951	1.2052		
0.2945	1.2053		
0.294	1.2054		
0.2934	1.2055		
0.2928	1.2056		
0.2923	1.2057		
0.2917	1.2058		
0.2912	1.2059		
0.2906	1.206		
0.29	1.2061		
0.2895	1.2061		
0.2889	1.2062		
0.2884	1.2063		
0.2878	1.2064		
0.2872	1.2065		
0.2867	1.2066		
0.2861	1.2067		
0.2855	1.2068		
0.285	1.2069		
0.2844	1.2071		
0.2839	1.2072		
0.2833	1.2073		
0.2827	1.2074		
0.2822	1.2075		
0.2816	1.2076		
0.2811	1.2077		
0.2805	1.2078		
0.2799	1.2079		
0.2794	1.208		
0.2788	1.2081		
0.2782	1.2082		
0.2777	1.2084		
0.2771	1.2085		
0.2766	1.2086		
0.276	1.2087		
0.2754	1.2088		
0.2749	1.2089		
0.2743	1.2091		
0.2737	1.2092		
0.2732	1.2093		
0.2726	1.2094		
0.2721	1.2095		
0.2715	1.2097		
0.2709	1.2098		
0.2704	1.2099		
0.2698	1.21		
0.2693	1.2102		
0.2687	1.2103		
0.2681	1.2104		
0.2676	1.2106		
0.267	1.2107		
0.2664	1.2108		
0.2659	1.2109		
0.2653	1.2111		
0.2648	1.2112		
0.2642	1.2114		
0.2636	1.2115		
0.2631	1.2116		
0.2625	1.2118		
0.2619	1.2119		
0.2614	1.2121		
0.2608	1.2122		
0.2603	1.2124		
0.2597	1.2125		
0.2591	1.2126		
0.2586	1.2128		
0.258	1.2129		
0.2575	1.2131		
0.2569	1.2133		
0.2563	1.2134		
0.2558	1.2136		
0.2552	1.2137		
0.2546	1.2139		
0.2541	1.214		
0.2535	1.2142		
0.253	1.2144		
0.2524	1.2145		
0.2518	1.2147		
0.2513	1.2149		
0.2507	1.215		
0.2501	1.2152		
0.2496	1.2154		
0.249	1.2156		
