Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"130K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/208"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.757	1.2953		
0.7564	1.2953		
0.7558	1.2953		
0.7553	1.2953		
0.7547	1.2953		
0.7542	1.2953		
0.7536	1.2953		
0.753	1.2953		
0.7525	1.2953		
0.7519	1.2953		
0.7513	1.2953		
0.7508	1.2954		
0.7502	1.2954		
0.7497	1.2954		
0.7491	1.2954		
0.7485	1.2954		
0.748	1.2954		
0.7474	1.2954		
0.7468	1.2954		
0.7463	1.2954		
0.7457	1.2954		
0.7452	1.2954		
0.7446	1.2954		
0.744	1.2954		
0.7435	1.2954		
0.7429	1.2955		
0.7424	1.2955		
0.7418	1.2955		
0.7412	1.2955		
0.7407	1.2955		
0.7401	1.2955		
0.7395	1.2955		
0.739	1.2955		
0.7384	1.2955		
0.7379	1.2955		
0.7373	1.2955		
0.7367	1.2955		
0.7362	1.2955		
0.7356	1.2955		
0.735	1.2956		
0.7345	1.2956		
0.7339	1.2956		
0.7334	1.2956		
0.7328	1.2956		
0.7322	1.2956		
0.7317	1.2956		
0.7311	1.2956		
0.7306	1.2956		
0.73	1.2956		
0.7294	1.2956		
0.7289	1.2956		
0.7283	1.2956		
0.7277	1.2956		
0.7272	1.2957		
0.7266	1.2957		
0.7261	1.2957		
0.7255	1.2957		
0.7249	1.2957		
0.7244	1.2957		
0.7238	1.2957		
0.7232	1.2957		
0.7227	1.2957		
0.7221	1.2957		
0.7216	1.2957		
0.721	1.2957		
0.7204	1.2957		
0.7199	1.2958		
0.7193	1.2958		
0.7188	1.2958		
0.7182	1.2958		
0.7176	1.2958		
0.7171	1.2958		
0.7165	1.2958		
0.7159	1.2958		
0.7154	1.2958		
0.7148	1.2958		
0.7143	1.2958		
0.7137	1.2958		
0.7131	1.2959		
0.7126	1.2959		
0.712	1.2959		
0.7114	1.2959		
0.7109	1.2959		
0.7103	1.2959		
0.7098	1.2959		
0.7092	1.2959		
0.7086	1.2959		
0.7081	1.2959		
0.7075	1.2959		
0.707	1.2959		
0.7064	1.2959		
0.7058	1.296		
0.7053	1.296		
0.7047	1.296		
0.7041	1.296		
0.7036	1.296		
0.703	1.296		
0.7025	1.296		
0.7019	1.296		
0.7013	1.296		
0.7008	1.296		
0.7002	1.296		
0.6996	1.296		
0.6991	1.2961		
0.6985	1.2961		
0.698	1.2961		
0.6974	1.2961		
0.6968	1.2961		
0.6963	1.2961		
0.6957	1.2961		
0.6952	1.2961		
0.6946	1.2961		
