Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (99.45:0.5:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/184"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1.1	1.632	0.001	0.005341	0.001	
1.095	1.633		0.004938		
1.09	1.633		0.004498		
1.085	1.634		0.00402		
1.08	1.634		0.003523		
1.075	1.635		0.003093		
1.07	1.636		0.002673		
1.065	1.636		0.002272		
1.06	1.637		0.001656		
1.055	1.638		0.001228		
1.05	1.639		0.001276		
1.045	1.639		0.001282		
1.04	1.639		0.001241		
1.035	1.64		0.001228		
1.03	1.64		0.001141		
1.025	1.641		0.001193		
1.02	1.641		0.001183		
1.015	1.641		0.001197		
1.01	1.642		0.001207		
1.005	1.642		0.001173		
1	1.642	0.001	0.001118	0.001	
0.995	1.642		0.001083		
0.99	1.643		0.001157		
0.985	1.644		0.00116		
0.98	1.644		0.001105		
0.975	1.646		0.001253		
0.97	1.647		0.001271		
0.965	1.648		0.001403		
0.96	1.65		0.001553		
0.955	1.651		0.001606		
0.95	1.652		0.001657		
0.945	1.653		0.001726		
0.94	1.654	0.002	0.00181	0.001	
0.935	1.654		0.001851		
0.93	1.655		0.001952		
0.925	1.656		0.001999		
0.92	1.657		0.002026		
0.915	1.657		0.001878		
0.91	1.657		0.001921		
0.905	1.658		0.001969		
0.9	1.657		0.00172		
0.895	1.657		0.001533		
0.89	1.657		0.001549		
0.885	1.656		0.001488		
0.88	1.656		0.001363		
0.875	1.656		0.00134		
0.87	1.656		0.001266		
0.865	1.656		0.001149		
0.86	1.656		0.001091		
0.855	1.656		0.001032		
0.85	1.656	0.001	0.001026	0.001	
0.845	1.656		0.001051		
0.84	1.657		0.001118		
0.835	1.657		0.00116		
0.83	1.657		0.001206		
0.825	1.658		0.001298		
0.82	1.658		0.001415		
0.815	1.659		0.001336		
0.81	1.659		0.001332		
0.805	1.659		0.001459		
0.8	1.66		0.001473		
0.795	1.66		0.001596		
0.79	1.661		0.001727		
0.785	1.661		0.001837		
0.78	1.662		0.001923		
0.775	1.662		0.001989		
0.77	1.663		0.002041		
0.765	1.663		0.002077		
0.76	1.664	0.002	0.00211	0.002	
0.755	1.664		0.002138		
0.75	1.664		0.002134		
0.745	1.665		0.00209		
0.74	1.665		0.00204		
0.735	1.665		0.002022		
0.73	1.665		0.002013		
0.725	1.665		0.002018		
0.72	1.665		0.001955		
0.715	1.665		0.001977		
0.71	1.665		0.00201		
0.705	1.665		0.002057		
0.7	1.665		0.002124		
0.695	1.665		0.002205		
0.69	1.665		0.002251		
0.685	1.665		0.00222		
0.68	1.665		0.002207		
0.675	1.665		0.002212		
0.67	1.665		0.002262		
0.665	1.665		0.002323		
0.66	1.666		0.002353		
0.655	1.666		0.002365		
0.65	1.666		0.002361		
0.645	1.667		0.002415		
0.64	1.668		0.002374		
0.635	1.668		0.002294		
0.63	1.669		0.002168		
0.625	1.67		0.002034		
0.62	1.671		0.002036		
0.615	1.673		0.002106		
0.61	1.674		0.002279		
0.605	1.675		0.002485		
0.6	1.677	0.001	0.002742	0.001	
0.595	1.678		0.003066		
0.59	1.68		0.003462		
0.585	1.682		0.003931		
0.58	1.683		0.004473		
0.575	1.685		0.005081		
0.57	1.687		0.005752		
0.565	1.688		0.006485		
0.56	1.69		0.007287		
0.555	1.692		0.008161		
0.55	1.694		0.009066		
0.545	1.695		0.009861		
0.54	1.697		0.010671		
0.535	1.698		0.01151		
0.53	1.699		0.012366		
0.525	1.701	0.003	0.013239	0.002	
0.52	1.702		0.01416		
0.515	1.702		0.015213		
0.51	1.703		0.016424		
0.505	1.704		0.017059		
0.5	1.706		0.017717		
0.495	1.707		0.019409		
0.49	1.709		0.020896		
0.485	1.71		0.022266		
0.48	1.712		0.023603		
0.475	1.714		0.024999		
0.47	1.716		0.026509		
0.465	1.718		0.028168		
0.46	1.72		0.029992		
0.455	1.723		0.031967		
0.45	1.726		0.034062		
0.445	1.728		0.036226		
0.44	1.731		0.038367		
0.435	1.734		0.040477		
0.43	1.737		0.043313		
0.425	1.74		0.046329		
0.42	1.742		0.048569		
0.415	1.744		0.051291		
0.41	1.746		0.054411		
0.405	1.747		0.057857		
0.4	1.749	0.003	0.061585	0.001	
0.395	1.751		0.065586		
0.39	1.753		0.069854		
