Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:Helium:CH4 (72:25:3)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/196"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.5	0.0027		
2.25	0.0021		
2	0.0016		
1.75	0.0014		
1.5	0.0013		
1.25	0.0017		
1	0.0028		
0.75	0.009		
0.5	0.035		
0.4	0.084		
