Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
533.2298	0.02117		
533.3504	0.02107		
533.4709	0.02102		
533.5914	0.02107		
533.712	0.02125		
533.8325	0.02156		
533.953	0.02199		
534.0736	0.02247		
534.1941	0.02295		
534.3146	0.02335		
534.4352	0.02363		
534.5557	0.02375		
534.6762	0.02369		
534.7967	0.02345		
534.9173	0.02304		
535.0378	0.02248		
535.1583	0.0218		
535.2789	0.02106		
535.3994	0.02033		
535.5199	0.01972		
535.6405	0.01931		
535.761	0.01917		
535.8815	0.01933		
536.0021	0.01972		
536.1226	0.02026		
536.2431	0.02079		
536.3637	0.02119		
536.4842	0.02135		
536.6047	0.02122		
536.7252	0.02083		
536.8458	0.02023		
536.9663	0.01951		
537.0868	0.01876		
537.2074	0.01804		
537.3279	0.0174		
537.4484	0.01688		
537.569	0.01649		
537.6895	0.01627		
537.81	0.01622		
537.9306	0.01637		
538.0511	0.01669		
538.1716	0.01711		
538.2922	0.01757		
538.4127	0.01794		
538.5332	0.01815		
538.6537	0.01814		
538.7743	0.01792		
538.8948	0.01752		
539.0153	0.01704		
539.1359	0.0166		
539.2564	0.01631		
539.3769	0.01622		
539.4975	0.01635		
539.618	0.01666		
539.7385	0.01707		
539.8591	0.01748		
539.9796	0.01781		
540.1001	0.01798		
540.2207	0.01799		
540.3412	0.01784		
540.4617	0.01758		
540.5822	0.01724		
540.7028	0.01687		
540.8233	0.01648		
540.9438	0.01608		
541.0644	0.01567		
541.1849	0.01528		
541.3054	0.01494		
541.426	0.01466		
541.5465	0.01449		
541.667	0.01441		
541.7876	0.01439		
541.9081	0.01439		
542.0286	0.01435		
542.1491	0.01422		
542.2697	0.014		
542.3902	0.01371		
542.5107	0.01343		
542.6313	0.01322		
542.7518	0.01315		
542.8723	0.01323		
542.9929	0.01345		
543.1134	0.01374		
543.2339	0.01403		
543.3545	0.01422		
543.475	0.01425		
543.5955	0.01407		
543.7161	0.01367		
543.8366	0.01308		
543.9571	0.01237		
544.0776	0.01163		
544.1982	0.01098		
544.3187	0.01054		
544.4392	0.01038		
544.5598	0.01053		
544.6803	0.01093		
544.8008	0.01149		
544.9214	0.01206		
545.0419	0.01251		
545.1624	0.01278		
545.283	0.01287		
545.4035	0.01284		
545.524	0.01279		
545.6446	0.01282		
545.7651	0.01293		
545.8856	0.01307		
546.0061	0.01313		
546.1267	0.01294		
546.2472	0.01243		
546.3677	0.01156		
546.4883	0.01041		
546.6088	0.00915		
546.7293	0.00794		
546.8499	0.00694		
546.9704	0.00623		
547.0909	0.00581		
547.2115	0.00562		
547.332	0.00556		
547.4525	0.00558		
