Reference:	"Tran et al. (2003)"
DOI:	"doi:doi:10.1016/S0019-1035(03)00209-4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:C2H2:C2H4:H2:HC3N (0.98:0.018:0.00035:0.0003:0.002:1.7e-05)"
Temperature:	"297K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/286"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Relative uncertainty in k of 10% at 0.4 μm and 75% at 0.8 µm.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2.5	1.2		0.0406		
2.45	1.2		0.0357		
2.4	1.21		0.0354		
2.35	1.23		0.0339		
2.3	1.25		0.0346		
2.25	1.29		0.0327		
2.2	1.29		0.0317		
2.15	1.26		0.037		
2.1	1.32		0.0345		
2.05	1.36		0.0314		
2	1.35		0.0313		
1.95	1.38		0.0294		
1.9	1.34		0.0324		
1.85	1.37		0.0297		
1.8	1.38		0.0287		
1.75	1.39		0.0268		
1.7	1.39		0.0262		
1.65	1.4		0.027		
1.6	1.4		0.0267		
1.55	1.42		0.025		
1.5	1.42		0.0239		
1.45	1.42		0.025		
1.4	1.44		0.0235		
1.35	1.43		0.0242		
1.3	1.45		0.0227		
1.25	1.45		0.0228		
1.2	1.46		0.0211		
1.15	1.46		0.0211		
1.1	1.46		0.0209		
1.05	1.46		0.0231		
1	1.47		0.0239		
0.95	1.47		0.0256		
0.9	1.48		0.0241		
0.85	1.48		0.027		
0.8	1.48		0.0289		
0.75	1.49		0.0259		
0.7	1.48		0.0318		
0.65	1.48		0.0402		
0.6	1.47		0.0494		
0.55	1.47		0.0619		
0.5	1.47		0.0786		
0.45	1.46		0.1014		
0.4	1.46		0.1253		
0.35	1.47		0.1518		
0.3	1.48		0.1786		
0.25	1.56		0.1821		
0.2	1.67		0.1688		
