Reference:	"Jovanović et al. (2021)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2021.114398"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO (98.95:1:0.05)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/185"
n₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.
k₁ Error Units:	2σ error bars calculated based on the uncertainties of ellipsometric parameters Is and Ic at different wavelengths.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.315	1.645			1.315	0.004652		
1.31	1.645			1.31	0.00476		
1.305	1.645			1.305	0.004854		
1.3	1.645	0.004		1.3	0.004932	0.001	
1.295	1.645			1.295	0.004994		
1.29	1.645			1.29	0.005065		
1.285	1.644			1.285	0.005108		
1.28	1.644			1.28	0.005119		
1.275	1.644			1.275	0.005099		
1.27	1.644			1.27	0.005071		
1.265	1.644			1.265	0.005027		
1.26	1.644			1.26	0.004961		
1.255	1.644			1.255	0.004884		
1.25	1.644			1.25	0.004826		
1.245	1.644			1.245	0.004776		
1.24	1.644			1.24	0.00472		
1.235	1.644			1.235	0.004676		
1.23	1.644			1.23	0.004693		
1.225	1.643			1.225	0.004794		
1.22	1.643			1.22	0.004983		
1.215	1.643			1.215	0.005183		
1.21	1.643			1.21	0.00539		
1.205	1.642			1.205	0.005563		
1.2	1.642	0.004		1.2	0.005738	0.001	
1.195	1.642			1.195	0.005895		
1.19	1.641			1.19	0.00607		
1.185	1.641			1.185	0.006286		
1.18	1.641			1.18	0.006542		
1.175	1.64			1.175	0.006802		
1.17	1.64			1.17	0.007058		
1.165	1.639			1.165	0.007314		
1.16	1.639			1.16	0.007572		
1.155	1.638			1.155	0.007793		
1.15	1.638			1.15	0.007918		
1.145	1.637			1.145	0.007932		
1.14	1.637			1.14	0.007934		
1.135	1.637			1.135	0.008032		
1.13	1.636			1.13	0.008278		
1.125	1.636			1.125	0.008621		
1.12	1.635			1.12	0.009032		
1.115	1.634			1.115	0.009508		
1.11	1.633			1.11	0.009611		
1.105	1.633			1.105	0.009412		
1.1	1.633	0.003		1.1	0.009097	0.001	
1.095	1.633			1.095	0.008921		
1.09	1.634			1.09	0.008435		
1.085	1.634			1.085	0.007893		
1.08	1.634			1.08	0.007462		
1.075	1.635			1.075	0.006924		
1.07	1.636			1.07	0.006532		
1.065	1.636			1.065	0.006049		
1.06	1.637			1.06	0.005473		
1.055	1.638			1.055	0.004736		
1.05	1.639			1.05	0.004046		
1.045	1.64			1.045	0.003207		
1.04	1.642			1.04	0.002434		
1.035	1.643			1.035	0.001938		
1.03	1.643			1.03	0.001943		
1.025	1.644			1.025	0.001773		
1.02	1.645			1.02	0.001462		
1.015	1.645			1.015	0.001514		
1.01	1.645			1.01	0.001594		
1.005	1.646			1.005	0.001786		
1	1.646	0.002		1	0.001924	0.001	
0.995	1.647			0.995	0.001809		
0.99	1.647			0.99	0.001759		
0.985	1.647			0.985	0.001754		
0.98	1.647			0.98	0.001825		
0.975	1.648			0.975	0.001897		
0.97	1.649			0.97	0.002103		
0.965	1.65			0.965	0.002215		
0.96	1.652			0.96	0.002661		
0.955	1.654			0.955	0.002726		
0.95	1.656			0.95	0.003035		
0.945	1.657			0.945	0.003231		
0.94	1.659	0.002		0.94	0.003374	0.001	
0.935	1.66			0.935	0.003453		
0.93	1.661			0.93	0.003301		
0.925	1.662			0.925	0.003285		
0.92	1.663			0.92	0.003306		
0.915	1.664			0.915	0.00356		
0.91	1.665			0.91	0.003896		
0.905	1.666			0.905	0.004215		
0.9	1.666			0.9	0.004255		
0.895	1.666			0.895	0.004354		
0.89	1.666			0.89	0.004548		
0.885	1.665			0.885	0.004548		
0.88	1.664			0.88	0.004325		
0.875	1.663			0.875	0.003973		
0.87	1.663			0.87	0.003748		
0.865	1.663			0.865	0.00354		
0.86	1.662			0.86	0.003425		
0.855	1.662			0.855	0.003323		
0.85	1.662	0.001		0.85	0.003282	0.001	
0.845	1.662			0.845	0.003359		
0.84	1.662			0.84	0.003244		
0.835	1.663			0.835	0.003033		
0.83	1.663			0.83	0.002848		
0.825	1.663			0.825	0.002837		
0.82	1.664			0.82	0.002744		
0.815	1.664			0.815	0.002519		
0.81	1.665			0.81	0.002225		
0.805	1.665			0.805	0.002308		
0.8	1.666			0.8	0.002553		
0.795	1.666			0.795	0.002781		
0.79	1.667			0.79	0.002983		
0.785	1.667			0.785	0.003159		
0.78	1.668			0.78	0.003307		
0.775	1.668			0.775	0.003428		
0.77	1.669			0.77	0.003528		
0.765	1.669			0.765	0.003602		
0.76	1.67	0.003		0.76	0.003654	0.002	
0.755	1.67			0.755	0.003689		
0.75	1.67			0.75	0.003706		
0.745	1.671			0.745	0.003711		
0.74	1.671			0.74	0.003703		
0.735	1.671			0.735	0.003689		
0.73	1.671			0.73	0.003679		
0.725	1.671			0.725	0.003674		
0.72	1.671			0.72	0.003676		
0.715	1.671			0.715	0.003684		
0.71	1.671			0.71	0.003701		
0.705	1.671			0.705	0.003736		
0.7	1.671			0.7	0.003791		
0.695	1.671			0.695	0.003871		
0.69	1.671			0.69	0.003984		
0.685	1.671			0.685	0.004143		
0.68	1.67			0.68	0.004369		
0.675	1.67			0.675	0.004518		
0.67	1.67			0.67	0.00449		
0.665	1.67			0.665	0.004469		
0.66	1.67			0.66	0.004454		
0.655	1.671			0.655	0.004433		
0.65	1.671			0.65	0.004404		
0.645	1.672			0.645	0.00436		
0.64	1.672			0.64	0.0043		
0.635	1.673			0.635	0.004212		
0.63	1.674			0.63	0.004081		
0.625	1.675			0.625	0.00389		
0.62	1.675			0.62	0.003629		
0.615	1.676			0.615	0.003379		
