Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"20K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/247"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
15.002941	1.6382694			15.002941	0.118106		
14.981251	1.6353636			14.981251	0.123945		
14.959624	1.6334468			14.959624	0.119335		
14.938059	1.6335225			14.938059	0.122025		
14.916557	1.6327567			14.916557	0.121844		
14.895116	1.6328473			14.895116	0.121899		
14.873737	1.6325042			14.873737	0.12366		
14.852419	1.6328542			14.852419	0.121914		
14.831162	1.6333591			14.831162	0.124793		
14.809966	1.6332403			14.809966	0.12463		
14.78883	1.6335366			14.78883	0.12595		
14.767755	1.6330066			14.767755	0.127648		
14.74674	1.6328193			14.74674	0.126692		
14.725784	1.6327243			14.725784	0.128233		
14.704888	1.6332891			14.704888	0.126092		
14.684051	1.6346936			14.684051	0.127727		
14.663273	1.6351545			14.663273	0.129195		
14.642553	1.6355768			14.642553	0.129722		
14.621893	1.6354059			14.621893	0.131756		
14.60129	1.6360444			14.60129	0.129569		
14.580745	1.637393			14.580745	0.131867		
14.560258	1.6381489			14.560258	0.13243		
14.539829	1.6388869			14.539829	0.134314		
14.519457	1.6387381			14.519457	0.136239		
14.499142	1.6390823			14.499142	0.135549		
14.478883	1.6393353			14.478883	0.138046		
14.458682	1.6398504			14.458682	0.136611		
14.438536	1.6410003			14.438536	0.138638		
14.418447	1.6415265			14.418447	0.139587		
14.398413	1.6424626			14.398413	0.140285		
14.378435	1.6425516			14.378435	0.143318		
14.358512	1.6428129			14.358512	0.142118		
14.338645	1.6435152			14.338645	0.144399		
14.318832	1.6442401			14.318832	0.143911		
14.299074	1.645468			14.299074	0.145827		
14.27937	1.6456759			14.27937	0.148158		
14.259721	1.6460062			14.259721	0.1482		
14.240126	1.6460523			14.240126	0.150727		
14.220584	1.6466603			14.220584	0.149003		
14.201096	1.6479547			14.201096	0.1514		
14.181662	1.6487359			14.181662	0.152097		
14.16228	1.6497794			14.16228	0.153744		
14.142951	1.6498086			14.142951	0.156619		
14.123676	1.6500787			14.123676	0.155947		
14.104452	1.6505703			14.104452	0.158431		
14.085281	1.6512775			14.085281	0.157693		
14.066162	1.6523069			14.066162	0.160266		
14.047094	1.6525378			14.047094	0.161554		
14.028079	1.6531434			14.028079	0.162188		
14.009114	1.6533313			14.009114	0.164459		
13.990201	1.6540712			13.990201	0.163284		
13.971339	1.6551365			13.971339	0.16593		
13.952528	1.6559749			13.952528	0.165933		
13.933767	1.6570728			13.933767	0.168107		
13.915057	1.6574248			13.915057	0.169815		
13.896397	1.6581929			13.896397	0.169956		
13.877787	1.6589565			13.877787	0.172128		
13.859226	1.6601127			13.859226	0.171711		
13.840716	1.6612444			13.840716	0.174858		
13.822254	1.6617825			13.822254	0.175533		
13.803842	1.6627079			13.803842	0.176985		
13.785479	1.663385			13.785479	0.178464		
13.767164	1.6646872			13.767164	0.178471		
13.748899	1.6659475			13.748899	0.181216		
13.730681	1.6671073			13.730681	0.181637		
13.712512	1.6682436			13.712512	0.184445		
13.694391	1.6689643			13.694391	0.185442		
13.676317	1.6702217			13.676317	0.186539		
13.658292	1.6715291			13.658292	0.188306		
13.640313	1.6730976			13.640313	0.18935		
13.622382	1.6743867			13.622382	0.192298		
13.604498	1.6754721			13.604498	0.193323		
13.586661	1.6767394			13.586661	0.195527		
13.568871	1.6780215			13.568871	0.196659		
13.551127	1.6800665			13.551127	0.197759		
13.53343	1.682108			13.53343	0.200655		
13.515778	1.6838776			13.515778	0.202866		
13.498173	1.6853226			13.498173	0.206206		
13.480614	1.6865068			13.480614	0.208279		
13.4631	1.6880929			13.4631	0.21039		
13.445631	1.6899376			13.445631	0.212796		
13.428208	1.6920121			13.428208	0.215479		
13.41083	1.6936862			13.41083	0.219564		
13.393497	1.694786			13.393497	0.222854		
13.376209	1.6959059			13.376209	0.225843		
13.358965	1.6972867			13.358965	0.228568		
13.341765	1.6990858			13.341765	0.23153		
13.32461	1.7007518			13.32461	0.235751		
13.307499	1.702067			13.307499	0.239711		
13.290432	1.7029117			13.290432	0.244473		
13.273408	1.7032887			13.273408	0.248328		
13.256429	1.7040015			13.256429	0.25149		
13.239492	1.7049405			13.239492	0.255477		
13.222599	1.7060075			13.222599	0.259214		
13.205748	1.7065945			13.205748	0.264721		
13.188941	1.7066259			13.188941	0.268798		
13.172176	1.7066068			13.172176	0.273327		
13.155454	1.7063881			13.155454	0.277325		
13.138775	1.7066542			13.138775	0.280587		
13.122137	1.7070161			13.122137	0.285434		
13.105542	1.7071355			13.105542	0.289767		
13.088988	1.7066211			13.088988	0.295563		
13.072477	1.7056607			13.072477	0.299399		
13.056006	1.7050027			13.056006	0.303538		
13.039578	1.7044426			13.039578	0.307448		
13.023191	1.7042906			13.023191	0.311282		
13.006844	1.703706			13.006844	0.317002		
12.990539	1.7025886			12.990539	0.321275		
12.974275	1.7011169			12.974275	0.326489		
12.958051	1.6996393			12.958051	0.329688		
12.941868	1.6987565			12.941868	0.333633		
12.925725	1.6977965			12.925725	0.338075		
12.909622	1.696726			12.909622	0.342474		
12.89356	1.6949895			12.89356	0.347972		
12.877537	1.692998			12.877537	0.351431		
12.861555	1.6911527			12.861555	0.355744		
12.845611	1.6895851			12.845611	0.358626		
12.829708	1.6884202			12.829708	0.362796		
12.813843	1.6869374			12.813843	0.36716		
12.798018	1.6853537			12.798018	0.371251		
12.782232	1.6833733			12.782232	0.376094		
12.766485	1.6814325			12.766485	0.379301		
12.750776	1.6796946			12.750776	0.383753		
12.735106	1.6778734			12.735106	0.387529		
12.719475	1.6759438			12.719475	0.392236		
12.703882	1.6734428			12.703882	0.39678		
12.688327	1.6707898			12.688327	0.400466		
12.67281	1.6682679			12.67281	0.403996		
12.657331	1.6661713			12.657331	0.406852		
12.64189	1.6643523			12.64189	0.410651		
12.626486	1.6625193			12.626486	0.414283		
12.61112	1.6605825			12.61112	0.418548		
12.595791	1.6584157			12.595791	0.422537		
12.5805	1.6563527			12.5805	0.4263		
12.565245	1.6543254			12.565245	0.43048		
12.550028	1.652357			12.550028	0.434438		
12.534847	1.6503365			12.534847	0.439155		
12.519703	1.6479676			12.519703	0.443932		
12.504596	1.6453962			12.504596	0.448582		
12.489525	1.6427061			12.489525	0.453263		
12.47449	1.6399386			12.47449	0.4579		
12.459491	1.6370953			12.459491	0.462705		
12.444529	1.6341024			12.444529	0.467669		
12.429602	1.6307977			12.429602	0.47294		
12.414711	1.6271261			12.414711	0.478051		
12.399856	1.6233132			12.399856	0.482872		
12.385036	1.6193393			12.385036	0.487915		
12.370252	1.6151956			12.370252	0.492703		
12.355503	1.6108838			12.355503	0.497733		
12.340789	1.6062301			12.340789	0.502771		
12.32611	1.6012876			12.32611	0.507576		
12.311465	1.5960642			12.311465	0.512313		
12.296856	1.5907671			12.296856	0.516434		
12.282281	1.5854199			12.282281	0.52085		
12.267741	1.5799461			12.267741	0.524934		
12.253235	1.5742542			12.253235	0.529379		
12.238764	1.5682041			12.238764	0.533467		
12.224326	1.5620542			12.224326	0.537145		
12.209923	1.5557682			12.209923	0.540912		
12.195553	1.5494084			12.195553	0.544175		
12.181218	1.5428684			12.181218	0.547835		
12.166916	1.5361065			12.166916	0.550859		
12.152647	1.5291863			12.152647	0.55404		
12.138412	1.5219967			12.138412	0.55677		
12.12421	1.5147645			12.12421	0.559029		
12.110042	1.50746			12.110042	0.561227		
12.095906	1.5001872			12.095906	0.562793		
12.081804	1.4928561			12.081804	0.564656		
12.067734	1.4854434			12.067734	0.565762		
12.053697	1.4781098			12.053697	0.566834		
12.039693	1.4708048			12.039693	0.567514		
12.025721	1.4636296			12.025721	0.567991		
12.011781	1.4564704			12.011781	0.568482		
11.997874	1.4493489			11.997874	0.568585		
11.983999	1.4421852			11.983999	0.568833		
11.970156	1.4350497			11.970156	0.568388		
11.956345	1.4280804			11.956345	0.567977		
11.942566	1.421189			11.942566	0.567315		
11.928819	1.4143838			11.928819	0.566597		
11.915103	1.4075269			11.915103	0.565834		
11.901418	1.4007622			11.901418	0.564486		
11.887765	1.3941766			11.887765	0.563181		
11.874144	1.3877056			11.874144	0.56161		
11.860553	1.3813554			11.860553	0.560014		
11.846994	1.3750877			11.846994	0.558223		
11.833465	1.3689635			11.833465	0.556242		
11.819968	1.362982			11.819968	0.554177		
11.806501	1.3571579			11.806501	0.551928		
11.793065	1.3515213			11.793065	0.549614		
11.779659	1.3460387			11.779659	0.547278		
11.766284	1.3406547			11.766284	0.544944		
11.752939	1.3353432			11.752939	0.542509		
11.739625	1.3302117			11.739625	0.539832		
11.72634	1.3253001			11.72634	0.537214		
11.713086	1.3205289			11.713086	0.534645		
11.699861	1.3158673			11.699861	0.532118		
11.686667	1.3111675			11.686667	0.529794		
11.673502	1.3065389			11.673502	0.527004		
11.660366	1.3020735			11.660366	0.524408		
11.647261	1.2977634			11.647261	0.521575		
11.634184	1.2936145			11.634184	0.519024		
11.621137	1.2893962			11.621137	0.516656		
11.608119	1.2851144			11.608119	0.514087		
11.595131	1.2808372			11.595131	0.511431		
11.582171	1.2768176			11.582171	0.508246		
11.56924	1.2730547			11.56924	0.505546		
11.556338	1.2693528			11.556338	0.50282		
11.543465	1.2655228			11.543465	0.50056		
11.530621	1.2615628			11.530621	0.497764		
11.517805	1.257817			11.517805	0.494727		
11.505017	1.2542771			11.505017	0.491791		
11.492258	1.2510227			11.492258	0.488693		
11.479528	1.2477535			11.479528	0.486472		
11.466825	1.2443163			11.466825	0.483817		
11.45415	1.2407425			11.45415	0.481517		
11.441504	1.2371785			11.441504	0.478385		
11.428885	1.2340094			11.428885	0.475258		
11.416294	1.2310274			11.416294	0.472517		
11.403731	1.2280445			11.403731	0.469957		
11.391195	1.2248105			11.391195	0.4678		
11.378687	1.2214363			11.378687	0.464982		
11.366207	1.2181421			11.366207	0.462178		
11.353754	1.2152171			11.353754	0.458665		
11.341328	1.2126665			11.341328	0.455971		
11.328929	1.209935			11.328929	0.453738		
11.316557	1.2068914			11.316557	0.451512		
11.304212	1.2035973			11.304212	0.449039		
11.291894	1.2005084			11.291894	0.445704		
11.279603	1.1978753			11.279603	0.442634		
11.267339	1.1953809			11.267339	0.440015		
11.255102	1.1926765			11.255102	0.437866		
11.24289	1.1895976			11.24289	0.435626		
11.230706	1.1864143			11.230706	0.432777		
11.218548	1.1835275			11.218548	0.429508		
11.206416	1.1810191			11.206416	0.426414		
11.19431	1.1786114			11.19431	0.423847		
11.18223	1.1759115			11.18223	0.421721		
11.170177	1.1728508			11.170177	0.419312		
11.158149	1.1696832			11.158149	0.416435		
11.146147	1.1668663			11.146147	0.412858		
11.134171	1.1644698			11.134171	0.409762		
11.122221	1.1620931			11.122221	0.40712		
11.110297	1.1593579			11.110297	0.404952		
11.098397	1.1561581			11.098397	0.402388		
11.086524	1.1530776			11.086524	0.398774		
11.074676	1.1504259			11.074676	0.395235		
11.062853	1.1482384			11.062853	0.391545		
11.051055	1.1459985			11.051055	0.38922		
11.039282	1.1432636			11.039282	0.38655		
11.027535	1.1402146			11.027535	0.383759		
11.015812	1.1372267			11.015812	0.37991		
11.004115	1.1348854			11.004115	0.375722		
10.992442	1.1328742			10.992442	0.372445		
10.980794	1.1307399			10.980794	0.369418		
10.96917	1.1280486			10.96917	0.367058		
10.957571	1.1250969			10.957571	0.363219		
10.945997	1.1224952			10.945997	0.359239		
10.934447	1.1204648			10.934447	0.354682		
10.922921	1.1188288			10.922921	0.351205		
10.91142	1.1167907			10.91142	0.348398		
10.899943	1.1143069			10.899943	0.345115		
10.88849	1.1116407			10.88849	0.341434		
10.877061	1.1094306			10.877061	0.336481		
10.865656	1.1079266			10.865656	0.332153		
10.854275	1.1066038			10.854275	0.328414		
10.842918	1.104854			10.842918	0.325579		
10.831584	1.1025319			10.831584	0.322079		
10.820274	1.1002922			10.820274	0.317609		
10.808988	1.0986594			10.808988	0.312656		
10.797725	1.097694			10.797725	0.308055		
10.786486	1.0967316			10.786486	0.304701		
10.77527	1.0951996			10.77527	0.301498		
10.764077	1.0932751			10.764077	0.297735		
10.752908	1.0914957			10.752908	0.293048		
10.741762	1.0904256			10.741762	0.287875		
10.730639	1.0898994			10.730639	0.283569		
10.719538	1.0892211			10.719538	0.280098		
10.708461	1.0879658			10.708461	0.276853		
10.697407	1.0863758			10.697407	0.272715		
10.686375	1.0852117			10.686375	0.267598		
10.675367	1.0847312			10.675367	0.262698		
10.66438	1.0846996			10.66438	0.258272		
10.653417	1.0843649			10.653417	0.255224		
10.642476	1.0834193			10.642476	0.251584		
10.631557	1.0823573			10.631557	0.247394		
10.620661	1.0816739			10.620661	0.242365		
10.609787	1.081732			10.609787	0.237387		
10.598935	1.0819888			10.598935	0.233626		
10.588106	1.0818937			10.588106	0.230113		
10.577299	1.0812348			10.577299	0.226814		
10.566513	1.0805957			10.566513	0.221897		
10.55575	1.08059			10.55575	0.217089		
10.545008	1.081128			10.545008	0.212322		
10.534289	1.081771			10.534289	0.208755		
10.523591	1.0818425			10.523591	0.20557		
10.512915	1.0815807			10.512915	0.201566		
10.50226	1.0814729			10.50226	0.197073		
10.491627	1.0820565			10.491627	0.191824		
10.481016	1.0830776			10.481016	0.187929		
10.470426	1.0839311			10.470426	0.184222		
10.459857	1.0843075			10.459857	0.181167		
10.44931	1.0843967			10.44931	0.176904		
10.438784	1.0849997			10.438784	0.172022		
10.428279	1.0862347			10.428279	0.167372		
10.417795	1.087831			10.417795	0.163346		
10.407333	1.0890914			10.407333	0.160464		
10.396891	1.0898233			10.396891	0.157		
10.38647	1.09056			10.38647	0.152932		
10.37607	1.091816			10.37607	0.148205		
10.365691	1.09372			10.365691	0.143968		
10.355333	1.0957159			10.355333	0.140713		
10.344995	1.0972576			10.344995	0.137961		
10.334678	1.0983929			10.334678	0.134719		
10.324382	1.0996718			10.324382	0.130685		
10.314106	1.101682			10.314106	0.126216		
10.30385	1.1041523			10.30385	0.122946		
10.293615	1.1064616			10.293615	0.120236		
10.2834	1.1082042			10.2834	0.118156		
10.273206	1.1096518			10.273206	0.114948		
10.263031	1.1114403			10.263031	0.111456		
10.252877	1.1138149			10.252877	0.107742		
10.242743	1.1165238			10.242743	0.10513		
10.232629	1.1188476			10.232629	0.103299		
10.222535	1.1206805			10.222535	0.101246		
10.21246	1.1222619			10.21246	0.098833		
10.202406	1.1243434			10.202406	0.095193		
10.192371	1.1269826			10.192371	0.092729		
10.182356	1.1297135			10.182356	0.090458		
10.172361	1.131928			10.172361	0.089665		
10.162385	1.1335414			10.162385	0.087701		
10.152429	1.1352598			10.152429	0.085404		
10.142492	1.1374322			10.142492	0.082532		
10.132575	1.1401509			10.132575	0.080286		
10.122677	1.1427059			10.122677	0.079225		
10.112798	1.1446909			10.112798	0.078203		
10.102939	1.1462518			10.102939	0.076914		
10.093099	1.1479074			10.093099	0.074642		
10.083278	1.1501632			10.083278	0.07228		
10.073476	1.15272			10.073476	0.070801		
10.063693	1.1549804			10.063693	0.070056		
10.053929	1.1566332			10.053929	0.069463		
10.044185	1.1579838			10.044185	0.068038		
10.034458	1.1596268			10.034458	0.066036		
10.024751	1.1617276			10.024751	0.064186		
10.015063	1.1639923			10.015063	0.062998		
10.005393	1.1658942			10.005393	0.062505		
9.995742	1.1673023			9.995742	0.061713		
9.9861095	1.1685522			9.9861095	0.060379		
9.9764955	1.1701845			9.9764955	0.058302		
9.9669001	1.1722141			9.9669001	0.056883		
9.9573231	1.1743177			9.9573231	0.055702		
9.9477644	1.1760416			9.9477644	0.055452		
9.9382242	1.1773545			9.9382242	0.054402		
9.9287021	1.1787167			9.9287021	0.053131		
9.9191984	1.1803167			9.9191984	0.051503		
9.9097128	1.1821862			9.9097128	0.050205		
9.9002453	1.1839601			9.9002453	0.049427		
9.8907959	1.1853986			9.8907959	0.048686		
9.8813645	1.1867409			9.8813645	0.047385		
9.8719511	1.1882226			9.8719511	0.045966		
9.8625556	1.1900961			9.8625556	0.04413		
9.8531779	1.1921008			9.8531779	0.043308		
9.8438181	1.1940083			9.8438181	0.042156		
9.8344761	1.1957487			9.8344761	0.041629		
9.8251518	1.1974774			9.8251518	0.040221		
9.8158451	1.1994657			9.8158451	0.039267		
9.806556	1.2014814			9.806556	0.038426		
9.7972845	1.2034518			9.7972845	0.0379		
9.7880306	1.2051551			9.7880306	0.037628		
9.7787941	1.2067717			9.7787941	0.036839		
9.769575	1.2084208			9.769575	0.036297		
9.7603732	1.210227			9.7603732	0.035331		
9.7511888	1.2119938			9.7511888	0.035278		
9.7420217	1.2135823			9.7420217	0.034725		
9.7328718	1.2149599			9.7328718	0.034744		
9.723739	1.2163492			9.723739	0.033685		
9.7146234	1.2179614			9.7146234	0.033259		
9.7055248	1.2196522			9.7055248	0.032546		
9.6964433	1.221216			9.6964433	0.032693		
9.6873788	1.2224756			9.6873788	0.032371		
9.6783311	1.2236703			9.6783311	0.031992		
9.6693004	1.225052			9.6693004	0.031066		
9.6602865	1.2265883			9.6602865	0.030719		
9.6512894	1.2282033			9.6512894	0.03012		
9.6423091	1.2295234			9.6423091	0.030604		
9.6333454	1.2306107			9.6333454	0.029909		
9.6243984	1.2317228			9.6243984	0.029744		
9.615468	1.2330585			9.615468	0.028514		
9.6065541	1.2347081			9.6065541	0.028268		
9.5976568	1.2362296			9.5976568	0.028067		
9.5887759	1.2374667			9.5887759	0.028343		
9.5799115	1.2383778			9.5799115	0.028143		
9.5710634	1.2394317			9.5710634	0.027347		
9.5622316	1.2408501			9.5622316	0.026595		
9.5534162	1.2424341			9.5534162	0.026296		
9.5446169	1.2438229			9.5446169	0.026485		
9.5358339	1.2448524			9.5358339	0.026634		
9.527067	1.2456627			9.527067	0.026415		
9.5183162	1.2467321			9.5183162	0.025447		
9.5095815	1.2481244			9.5095815	0.024994		
9.5008628	1.2496547			9.5008628	0.02456		
9.4921601	1.2509417			9.4921601	0.025087		
9.4834733	1.2518181			9.4834733	0.025049		
9.4748024	1.2525726			9.4748024	0.024845		
9.4661473	1.2536775			9.4661473	0.02369		
9.457508	1.2550799			9.457508	0.023511		
9.4488845	1.2566015			9.4488845	0.022955		
9.4402767	1.2577417			9.4402767	0.023943		
9.4316846	1.2585476			9.4316846	0.023358		
9.4231081	1.2593537			9.4231081	0.023507		
9.4145471	1.2604496			9.4145471	0.022154		
9.4060017	1.2619028			9.4060017	0.022222		
9.3974719	1.2632254			9.3974719	0.021979		
9.3889574	1.2642478			9.3889574	0.022586		
9.3804584	1.2649965			9.3804584	0.022227		
9.3719748	1.2658549			9.3719748	0.021903		
9.3635064	1.2670523			9.3635064	0.020964		
9.3550534	1.268414			9.3550534	0.021033		
9.3466156	1.2696403			9.3466156	0.020861		
9.3381931	1.2706047			9.3381931	0.02128		
9.3297857	1.2714742			9.3297857	0.020729		
9.3213934	1.2724879			9.3213934	0.020553		
9.3130162	1.2737096			9.3130162	0.01983		
9.3046541	1.2749797			9.3046541	0.020046		
9.2963069	1.2760941			9.2963069	0.019826		
9.2879747	1.2770458			9.2879747	0.020072		
9.2796575	1.2780054			9.2796575	0.01942		
9.2713551	1.2791714			9.2713551	0.019191		
9.2630676	1.2804785			9.2630676	0.018651		
9.2547948	1.2818525			9.2547948	0.018707		
9.2465369	1.2830795			9.2465369	0.018679		
9.2382936	1.2842774			9.2382936	0.018605		
9.2300651	1.2854522			9.2300651	0.018524		
9.2218511	1.2867543			9.2218511	0.018169		
9.2136518	1.2881224			9.2136518	0.018211		
9.2054671	1.2895711			9.2054671	0.017935		
9.1972969	1.291052			9.1972969	0.018198		
9.1891412	1.2925544			9.1891412	0.018106		
9.1809999	1.2940444			9.1809999	0.018583		
9.172873	1.2956042			9.172873	0.018538		
9.1647605	1.2971148			9.1647605	0.019417		
9.1566624	1.2986544			9.1566624	0.019501		
9.1485786	1.300061			9.1485786	0.020919		
9.140509	1.3012909			9.140509	0.02132		
