Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/244"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
22.227409	1.7718137			22.227409	0.166899		
22.179835	1.7180963			22.179835	0.167469		
22.132463	1.68975			22.132463	0.169881		
22.085294	1.6692516			22.085294	0.169747		
22.038325	1.6532538			22.038325	0.169182		
21.991556	1.6405913			21.991556	0.167049		
21.944984	1.6295389			21.944984	0.167452		
21.89861	1.6187635			21.89861	0.166029		
21.852431	1.6097778			21.852431	0.162349		
21.806447	1.6018645			21.806447	0.160838		
21.760655	1.5942835			21.760655	0.157464		
21.715056	1.5879866			21.715056	0.153525		
21.669647	1.5818877			21.669647	0.151014		
21.624427	1.5767032			21.624427	0.144921		
21.579397	1.573164			21.579397	0.140432		
21.534553	1.5702316			21.534553	0.135786		
21.489895	1.568456			21.489895	0.130481		
21.445422	1.5677847			21.445422	0.126253		
21.401133	1.5683157			21.401133	0.121807		
21.357026	1.5691079			21.357026	0.120692		
21.313101	1.569267			21.313101	0.119118		
21.269356	1.5695466			21.269356	0.117556		
21.22579	1.5700845			21.22579	0.11629		
21.182402	1.5707425			21.182402	0.115743		
21.139192	1.5707046			21.139192	0.116506		
21.096157	1.570454			21.096157	0.115422		
21.053297	1.5702502			21.053297	0.11567		
21.010611	1.570027			21.010611	0.114578		
20.968098	1.5702355			20.968098	0.114131		
20.925756	1.5704639			20.925756	0.114006		
20.883585	1.5702769			20.883585	0.114543		
20.841584	1.5702473			20.841584	0.113512		
20.799751	1.5704315			20.799751	0.114015		
20.758086	1.5702646			20.758086	0.114031		
20.716587	1.57026			20.716587	0.113717		
20.675254	1.5703234			20.675254	0.113863		
20.634086	1.5703874			20.634086	0.113718		
20.593081	1.5706442			20.593081	0.113669		
20.552239	1.5708212			20.552239	0.114156		
20.511559	1.570829			20.511559	0.114375		
20.471039	1.5710361			20.471039	0.114326		
20.430679	1.5709496			20.430679	0.115348		
20.390478	1.5711261			20.390478	0.114367		
20.350435	1.5716248			20.350435	0.115464		
20.310549	1.5714047			20.310549	0.116395		
20.270819	1.5713253			20.270819	0.115996		
20.231244	1.5716517			20.231244	0.116366		
20.191823	1.5716962			20.191823	0.117194		
20.152555	1.5716921			20.152555	0.117199		
20.11344	1.5718656			20.11344	0.117509		
20.074477	1.5724057			20.074477	0.117233		
20.035664	1.5731752			20.035664	0.118157		
19.997001	1.573414			19.997001	0.119561		
19.958487	1.5737508			19.958487	0.119713		
19.920121	1.5739164			19.920121	0.121677		
19.881902	1.5737811			19.881902	0.122095		
19.84383	1.5737634			19.84383	0.12332		
19.805903	1.5734198			19.805903	0.124294		
19.76812	1.5733668			19.76812	0.124316		
19.730482	1.5737671			19.730482	0.125088		
19.692987	1.5736384			19.692987	0.127001		
19.655634	1.5734576			19.655634	0.127101		
19.618422	1.5735895			19.618422	0.128468		
19.581351	1.5731056			19.581351	0.130171		
19.54442	1.572734			19.54442	0.130284		
19.507628	1.572454			19.507628	0.131876		
19.470974	1.5720232			19.470974	0.132369		
19.434458	1.5716989			19.434458	0.133564		
19.398078	1.5710574			19.398078	0.134686		
19.361834	1.570615			19.361834	0.134942		
19.325726	1.5702038			19.325726	0.136304		
19.289752	1.5694926			19.289752	0.137098		
19.253911	1.5689014			19.253911	0.137661		
19.218204	1.5683241			19.218204	0.138503		
19.182629	1.5677479			19.182629	0.139059		
19.147185	1.5671648			19.147185	0.139924		
19.111872	1.5662888			19.111872	0.140848		
19.076689	1.5656365			19.076689	0.140687		
19.041635	1.5650172			19.041635	0.141794		
19.00671	1.5641558			19.00671	0.141941		
18.971913	1.5638426			18.971913	0.141658		
18.937242	1.5633293			18.937242	0.143079		
18.902699	1.5626332			18.902699	0.142816		
18.868281	1.5621842			18.868281	0.14345		
18.833988	1.5615			18.833988	0.143863		
18.79982	1.5611391			18.79982	0.143542		
18.765775	1.5606459			18.765775	0.144671		
18.731854	1.5601898			18.731854	0.14407		
18.698055	1.5600507			18.698055	0.144825		
18.664378	1.5593553			18.664378	0.145723		
18.630821	1.5589087			18.630821	0.145113		
18.597386	1.5584115			18.597386	0.146366		
18.56407	1.5577226			18.56407	0.14583		
18.530873	1.557665			18.530873	0.145663		
18.497795	1.5571802			18.497795	0.146896		
18.464834	1.5568073			18.464834	0.145866		
18.431991	1.5567411			18.431991	0.146774		
18.399264	1.5562548			18.399264	0.146986		
18.366654	1.5561176			18.366654	0.146683		
18.334159	1.5556211			18.334159	0.147974		
18.301778	1.5553103			18.301778	0.146672		
18.269512	1.5553542			18.269512	0.147673		
18.23736	1.5549035			18.23736	0.147819		
18.20532	1.5548836			18.20532	0.147343		
18.173393	1.5545516			18.173393	0.148646		
18.141577	1.5543115			18.141577	0.147441		
18.109873	1.5544858			18.109873	0.14821		
18.078279	1.5542165			18.078279	0.148489		
18.046796	1.5542848			18.046796	0.148048		
18.015422	1.5542756			18.015422	0.149058		
17.984156	1.5540335			17.984156	0.148926		
17.952999	1.5539807			17.952999	0.149181		
17.92195	1.5537893			17.92195	0.149467		
17.891008	1.5539417			17.891008	0.148926		
17.860173	1.5540098			17.860173	0.15		
17.829444	1.5538977			17.829444	0.149676		
17.79882	1.5541998			17.79882	0.149844		
17.768302	1.5540234			17.768302	0.151042		
17.737888	1.5540333			17.737888	0.150135		
17.707578	1.5540469			17.707578	0.151565		
17.677371	1.5538019			17.677371	0.150977		
17.647267	1.5542116			17.647267	0.15088		
17.617265	1.5542443			17.617265	0.152076		
17.587366	1.554343			17.587366	0.15139		
17.557567	1.5544473			17.557567	0.152678		
17.52787	1.5543659			17.52787	0.152243		
17.498272	1.5547597			17.498272	0.152465		
17.468775	1.5547527			17.468775	0.153526		
17.439377	1.5548722			17.439377	0.152922		
17.410077	1.5551288			17.410077	0.153954		
17.380876	1.5551781			17.380876	0.153962		
17.351773	1.55546			17.351773	0.154351		
17.322767	1.5553489			17.322767	0.155349		
17.293858	1.5554874			17.293858	0.154594		
17.265045	1.5557682			17.265045	0.155703		
17.236328	1.5559515			17.236328	0.155405		
17.207706	1.5564022			17.207706	0.156073		
17.179179	1.55634			17.179179	0.157099		
17.150747	1.5566568			17.150747	0.156294		
17.122409	1.5569509			17.122409	0.157994		
17.094164	1.5569048			17.094164	0.157735		
17.066012	1.557281			17.066012	0.158146		
17.037952	1.5573227			17.037952	0.159048		
17.009985	1.5577984			17.009985	0.158251		
16.98211	1.5582149			16.98211	0.160113		
16.954325	1.5581459			16.954325	0.160101		
16.926632	1.5585462			16.926632	0.160334		
16.899029	1.5586533			16.899029	0.161472		
16.871515	1.5591214			16.871515	0.160695		
16.844092	1.5595376			16.844092	0.162638		
16.816757	1.5595899			16.816757	0.162463		
16.78951	1.5600885			16.78951	0.163119		
16.762352	1.5600378			16.762352	0.164539		
16.735282	1.5602617			16.735282	0.163781		
16.708299	1.5605067			16.708299	0.165479		
16.681402	1.5606971			16.681402	0.164772		
16.654593	1.5615024			16.654593	0.165485		
16.627869	1.5618159			16.627869	0.166846		
16.601231	1.562133			16.601231	0.166961		
16.574678	1.5622062			16.574678	0.168635		
16.548209	1.5623882			16.548209	0.167995		
16.521826	1.5629881			16.521826	0.169137		
16.495526	1.5631478			16.495526	0.169981		
16.46931	1.5637122			16.46931	0.16986		
16.443177	1.5640558			16.443177	0.171828		
16.417127	1.5641991			16.417127	0.171751		
16.391159	1.5644837			16.391159	0.173083		
16.365273	1.5645933			16.365273	0.17338		
16.339469	1.5652116			16.339469	0.173616		
16.313746	1.5654481			16.313746	0.175464		
16.288104	1.5657787			16.288104	0.175008		
16.262543	1.5662189			16.262543	0.17686		
16.237062	1.5662835			16.237062	0.177191		
16.21166	1.5668024			16.21166	0.177679		
16.186338	1.5669661			16.186338	0.179301		
16.161094	1.5673962			16.161094	0.178805		
16.135929	1.5679314			16.135929	0.180785		
16.110843	1.5680252			16.110843	0.181289		
16.085834	1.5683846			16.085834	0.182098		
16.060903	1.5684378			16.060903	0.183372		
16.036049	1.5689213			16.036049	0.182896		
16.011272	1.5694333			16.011272	0.18487		
15.986572	1.5697685			15.986572	0.184859		
15.961947	1.5704123			15.961947	0.186166		
15.937398	1.5705845			15.937398	0.18747		
15.912925	1.5711636			15.912925	0.187384		
15.888527	1.5715271			15.888527	0.18972		
15.864203	1.5718193			15.864203	0.189411		
15.839954	1.5725116			15.839954	0.191005		
15.815778	1.572806			15.815778	0.192089		
15.791677	1.5733823			15.791677	0.192697		
15.767648	1.5736152			15.767648	0.194783		
15.743693	1.5741117			15.743693	0.194393		
15.719811	1.5747324			15.719811	0.196779		
15.696	1.5749577			15.696	0.197331		
15.672262	1.5756668			15.672262	0.19837		
15.648596	1.5759714			15.648596	0.200454		
15.625	1.5764332			15.625	0.200708		
15.601476	1.5767334			15.601476	0.203337		
15.578023	1.5768564			15.578023	0.203558		
15.55464	1.5774634			15.55464	0.205101		
15.531327	1.5775711			15.531327	0.206982		
15.508084	1.5779069			15.508084	0.207386		
15.48491	1.5780624			15.48491	0.20983		
15.461806	1.5783787			15.461806	0.209618		
15.43877	1.5790007			15.43877	0.211916		
15.415803	1.5791136			15.415803	0.213158		
15.392904	1.579667			15.392904	0.214002		
15.370073	1.5798904			15.370073	0.216533		
15.34731	1.5802702			15.34731	0.216679		
15.324614	1.5806772			15.324614	0.219517		
15.301985	1.5806403			15.301985	0.22045		
15.279423	1.5811687			15.279423	0.22164		
15.256927	1.5813151			15.256927	0.224179		
15.234497	1.5814907			15.234497	0.224801		
15.212134	1.581609			15.212134	0.227422		
15.189835	1.5817043			15.189835	0.227914		
15.167602	1.582145			15.167602	0.229979		
15.145434	1.5821582			15.145434	0.2318		
15.123331	1.5826071			15.123331	0.232578		
15.101292	1.5827505			15.101292	0.235724		
15.079318	1.5827789			15.079318	0.236281		
15.057407	1.5830192			15.057407	0.238908		
15.035559	1.5828532			15.035559	0.240452		
15.013776	1.5830725			15.013776	0.241783		
14.992055	1.5830498			14.992055	0.244335		
14.970396	1.5831886			14.970396	0.245086		
14.948801	1.5832927			14.948801	0.248031		
14.927267	1.5831981			14.927267	0.249098		
14.905796	1.5834502			14.905796	0.251228		
14.884386	1.5833066			14.884386	0.253591		
14.863037	1.5833676			14.863037	0.254845		
