Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"N2:OCS (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/143"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
805.34	1.2249			805.34	0.00014508			805.34	100		
806.3	1.2254			806.3	0.00016153			806.3	100		
807.27	1.2258			807.27	0.00017345			807.27	100		
808.23	1.2262			808.23	0.00018466			808.23	100		
809.2	1.2266			809.2	0.00019729			809.2	100		
810.16	1.2274			810.16	0.00022066			810.16	100		
811.13	1.2266			811.13	0.0037278			811.13	99.9		
812.09	1.2258			812.09	0.00017393			812.09	100		
813.05	1.2272			813.05	0.00021374			813.05	100		
814.02	1.2265			814.02	0.0037163			814.02	99.9		
814.98	1.2262			814.98	0.00018585			814.98	100		
815.95	1.2259			815.95	0.0036889			815.95	99.9		
816.91	1.2252			816.91	0.00015652			816.91	100		
817.88	1.2261			817.88	0.00018513			817.88	100		
818.84	1.227			818.84	0.0002104			818.84	100		
819.81	1.2261			819.81	0.0036808			819.81	99.9		
820.77	1.2252			820.77	0.00015795			820.77	100		
821.73	1.226			821.73	0.00017941			821.73	100		
822.7	1.2263			822.7	0.00019109			822.7	100		
823.66	1.2265			823.66	0.00019729			823.66	100		
824.63	1.2267			824.63	0.0002023			824.63	100		
825.59	1.2269			825.59	0.00020897			825.59	100		
826.56	1.227			826.56	0.00021303			826.56	100		
827.52	1.2272			827.52	0.00021827			827.52	100		
828.49	1.2273			828.49	0.00022399			828.49	100		
829.45	1.2275			829.45	0.00022709			829.45	100		
830.42	1.2277			830.42	0.00023377			830.42	100		
831.38	1.2278			831.38	0.00023806			831.38	100		
832.34	1.228			832.34	0.00024354			832.34	100		
833.31	1.2283			833.31	0.00025189			833.31	100		
834.27	1.2286			834.27	0.00026262			834.27	100		
835.24	1.2293			835.24	0.00028312			835.24	100		
836.2	1.2284			836.2	0.0036758			836.2	99.9		
837.17	1.2275			837.17	0.00022924			837.17	100		
838.13	1.2283			838.13	0.00025237			838.13	100		
839.1	1.2287			839.1	0.00026762			839.1	100		
840.06	1.2291			840.06	0.00027764			840.06	100		
841.02	1.2294			841.02	0.00028908			841.02	100		
841.99	1.2298			841.99	0.0003022			841.99	100		
842.95	1.2303			842.95	0.00031722			842.95	100		
843.92	1.231			843.92	0.00033677			843.92	100		
844.88	1.2322			844.88	0.00037253			844.88	100		
845.85	1.2323			845.85	0.0037478			845.85	99.9		
846.81	1.2313			846.81	0.0037178			846.81	99.9		
847.78	1.2308			847.78	0.0036999			847.78	99.9		
848.74	1.2302			848.74	0.0036789			848.74	99.9		
849.7	1.2311			849.7	0.00034368			849.7	100		
850.67	1.2318			850.67	0.0037149			850.67	99.9		
851.63	1.2321			851.63	0.00037467			851.63	100		
852.6	1.2343			852.6	0.00043786			852.6	100		
853.56	1.2367			853.56	0.00050938			853.56	100		
854.53	1.2401			854.53	0.00060928			854.53	100		
855.49	1.2442			855.49	0.0040258			855.49	99.9		
856.46	1.2496			856.46	0.0074466			856.46	99.8		
857.42	1.2525			857.42	0.023961			857.42	99.3		
858.38	1.2433			858.38	0.047227			858.38	98.6		
859.35	1.2221			859.35	0.057565			859.35	98.3		
860.31	1.2036			860.31	0.040448			860.31	98.8		
861.28	1.1982			861.28	0.019736			861.28	99.4		
862.24	1.2018			862.24	0.0061635			862.24	99.8		
863.21	1.207			863.21	0.0029334			863.21	99.9		
864.17	1.2114			864.17	1.19E-7			864.17	100		
865.14	1.2137			865.14	0.0031353			865.14	99.9		
866.1	1.2146			866.1	1.19E-7			866.1	100		
867.07	1.2166			867.07	1.19E-7			867.07	100		
868.03	1.2178			868.03	1.19E-7			868.03	100		
868.99	1.2188			868.99	1.19E-7			868.99	100		
869.96	1.2195			869.96	1.19E-7			869.96	100		
870.92	1.2201			870.92	4.172E-6			870.92	100		
871.89	1.2206			871.89	1.9908E-5			871.89	100		
872.85	1.2211			872.85	3.469E-5			872.85	100		
873.82	1.2215			873.82	4.7565E-5			873.82	100		
874.78	1.2218			874.78	5.8293E-5			874.78	100		
875.75	1.2221			875.75	6.8784E-5			875.75	100		
876.71	1.2224			876.71	7.8797E-5			876.71	100		
877.67	1.2227			877.67	8.7619E-5			877.67	100		
878.64	1.223			878.64	9.5725E-5			878.64	100		
879.6	1.2232			879.6	0.00010431			879.6	100		
880.57	1.2235			880.57	0.00011408			880.57	100		
881.53	1.2239			881.53	0.00012481			881.53	100		
882.5	1.2245			882.5	0.0001477			882.5	100		
883.46	1.2237			883.46	0.0033678			883.46	99.9		
884.43	1.2228			884.43	9.3102E-5			884.43	100		
885.39	1.2236			885.39	0.00011694			885.39	100		
886.35	1.224			886.35	0.00012863			886.35	100		
887.32	1.2243			887.32	0.00014055			887.32	100		
888.28	1.2247			888.28	0.00015366			888.28	100		
889.25	1.2255			889.25	0.00018132			889.25	100		
890.21	1.2251			890.21	0.0033864			890.21	99.9		
891.18	1.2232			891.18	0.0033251			891.18	99.9		
892.14	1.2229			892.14	9.4771E-5			892.14	100		
893.11	1.2237			893.11	0.00012004			893.11	100		
894.07	1.2241			894.07	0.00013483			894.07	100		
895.03	1.2244			895.03	0.00014293			895.03	100		
896	1.2246			896	0.00015199			896	100		
896.96	1.2248			896.96	0.00015986			896.96	100		
897.93	1.2251			897.93	0.00016534			897.93	100		
898.89	1.2254			898.89	0.0001775			898.89	100		
899.86	1.226			899.86	0.00019825			899.86	100		
900.82	1.2252			900.82	0.0033523			900.82	99.9		
901.79	1.2244			901.79	0.00014508			901.79	100		
902.75	1.2252			902.75	0.00017154			902.75	100		
903.72	1.226			903.72	0.00019801			903.72	100		
904.68	1.2252			904.68	0.0033406			904.68	99.9		
905.64	1.2244			905.64	0.00014603			905.64	100		
906.61	1.2252			906.61	0.00017154			906.61	100		
907.57	1.2256			907.57	0.00018656			907.57	100		
908.54	1.2261			908.54	0.00020397			908.54	100		
909.5	1.227			909.5	0.0002321			909.5	100		
910.47	1.2268			910.47	0.0033675			910.47	99.9		
911.43	1.2254			911.43	0.0033244			911.43	99.9		
912.4	1.2241			912.4	0.003281			912.4	99.9		
913.36	1.224			913.36	0.00013435			913.36	100		
914.33	1.225			914.33	0.00016797			914.33	100		
