Reference:	"Ramírez et al. (2002)"
DOI:	"doi:doi:10.1006/icar.2001.6783"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (98:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/274"
n₁ Error Units:	Uncertainty Δn resulting from the effect of the sample thickness uncertainty and the amount of light scattered by the two samples named 2H and 4H.
k₁ Error Units:	Uncertainty Δk resulting from the effect of the sample thickness uncertainty and the amount of light scattered by the two samples named 2H and 4H.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
0.4345	1.5869	0.0157	0.0072	0.0027	
0.4295	1.5884	0.0148	0.0077	0.0029	
0.4245	1.5898	0.0139	0.0082	0.0031	
0.4195	1.5912	0.013	0.0087	0.0033	
0.4145	1.5926	0.0122	0.0093	0.0035	
0.4095	1.5939	0.0115	0.0099	0.0038	
0.4045	1.5952	0.0107	0.0106	0.004	
0.3995	1.5964	0.0102	0.0113	0.0043	
0.3945	1.5975	0.0096	0.012	0.0046	
0.3895	1.5986	0.0091	0.0128	0.0049	
0.3845	1.5996	0.0086	0.0137	0.0052	
0.3795	1.6006	0.0083	0.0146	0.0055	
0.3745	1.6015	0.008	0.0155	0.0059	
0.3695	1.6024	0.0078	0.0165	0.0063	
0.3645	1.6032	0.0076	0.0175	0.0066	
0.3595	1.604	0.0075	0.0186	0.0071	
0.3545	1.6048	0.0073	0.0197	0.0075	
0.3495	1.6056	0.0073	0.0208	0.0079	
0.3445	1.6064	0.0073	0.022	0.0083	
0.3395	1.6072	0.0072	0.0231	0.0088	
0.3345	1.608	0.0072	0.0242	0.0092	
0.3295	1.609	0.0071	0.0253	0.0096	
0.3245	1.61	0.0069	0.0262	0.0099	
0.3195	1.6111	0.0065	0.0271	0.0103	
0.3145	1.6123	0.0063	0.0278	0.0105	
0.3095	1.6137	0.0057	0.0283	0.0107	
0.3045	1.615	0.0054	0.0286	0.0109	
0.2995	1.6165	0.0047	0.0287	0.0109	
0.2945	1.618	0.0042	0.0287	0.0109	
0.2895	1.6196	0.0034	0.0285	0.0108	
0.2845	1.6211	0.0029	0.0281	0.0107	
0.2795	1.6229	0.002	0.0278	0.0105	
0.2745	1.6246	0.0018	0.0273	0.0104	
0.2695	1.6265	0.0022	0.0268	0.0102	
0.2645	1.6284	0.0035	0.0263	0.01	
0.2595	1.6306	0.0043	0.0258	0.0098	
0.2545	1.6329	0.0058	0.0253	0.0096	
0.2495	1.6354	0.007	0.0248	0.0094	
0.2445	1.638	0.0088	0.0243	0.0092	
0.2395	1.6411	0.0093	0.0238	0.009	
0.2345	1.6436	0.0113	0.0232	0.0088	
0.2295	1.6463	0.0125	0.0227	0.0086	
0.2245	1.649	0.0136	0.0222	0.0084	
0.2195	1.6515	0.0143	0.0217	0.0082	
0.2145	1.6537	0.0153	0.0212	0.008	
0.2095	1.66	0.0122	0.0207	0.0078	
0.2045	1.6671	0.0135	0.0202	0.0076	
0.1995	1.6805	0.0204	0.0197	0.0075	
