Reference:	"Khare et al. (1993)"
DOI:	"doi:https://doi.org/10.1006/icar.1993.1071"
Sample Type:	"Ice Tholin"
Composition:	"H2O:C2H6 (6:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/198"
n₁ Error Units:	n values are accurate to ± 0.01 on an absolute scale and to ± 0.002 on a relative scale.
k₁ Error Units:	k values are estimated to be accurate to ± 20%, except in regions where k ≤ 1E-2, where they are accurate to ± 50%.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
4.609	1.524			4.167	0.00287		
4.428	1.525			3.846	0.00295		
4.26	1.526			3.571	0.00483		
4.119	1.527			3.546	0.00694		
3.987	1.529			3.521	0.012		
3.874	1.53			3.51	0.0152		
3.768	1.533			3.477	0.0331		
3.668	1.535			3.455	0.0284		
3.583	1.541			3.448	0.0295		
3.502	1.554			3.425	0.0475		
3.483	1.551			3.409	0.0527		
3.463	1.543			3.394	0.0445		
3.444	1.548			3.377	0.0628		
3.425	1.543			3.36	0.0456		
3.415	1.535			3.333	0.0116		
3.406	1.527			3.311	0.0077		
3.387	1.525			3.289	0.00653		
3.378	1.514			3.226	0.00483		
3.369	1.498			3.174	0.00479		
3.342	1.485			3.125	0.00494		
3.315	1.501			3.03	0.0055		
3.254	1.512			2.941	0.00722		
3.195	1.516			2.925	0.00684		
3.115	1.519			2.906	0.00666		
2.973	1.522			2.857	0.00496		
2.897	1.519			2.778	0.00159		
2.792	1.519			2.703	0.000186		
2.713	1.521			2.632	0.000505		
2.616	1.524			2.5	0.000954		
2.48	1.525			1.8	0.00301		
1.771	1.529			1.5	0.00502		
1.24	1.528			1.2	0.00187		
0.886	1.532			1	0.00144		
0.689	1.539			0.9	0.000956		
0.563	1.546			0.8	0.000393		
0.477	1.555			0.7	0.00106		
0.413	1.569			0.6	0.00158		
0.365	1.585			0.466	0.00212		
0.326	1.603			0.422	0.0028		
0.295	1.617			0.392	0.0059		
