Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/207"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.757	1.3061		
0.7564	1.3061		
0.7558	1.3061		
0.7553	1.3061		
0.7547	1.3061		
0.7542	1.3061		
0.7536	1.3061		
0.753	1.3062		
0.7525	1.3062		
0.7519	1.3062		
0.7513	1.3062		
0.7508	1.3062		
0.7502	1.3062		
0.7497	1.3062		
0.7491	1.3062		
0.7485	1.3062		
0.748	1.3062		
0.7474	1.3062		
0.7468	1.3062		
0.7463	1.3062		
0.7457	1.3062		
0.7452	1.3063		
0.7446	1.3063		
0.744	1.3063		
0.7435	1.3063		
0.7429	1.3063		
0.7424	1.3063		
0.7418	1.3063		
0.7412	1.3063		
0.7407	1.3063		
0.7401	1.3063		
0.7395	1.3063		
0.739	1.3063		
0.7384	1.3063		
0.7379	1.3063		
0.7373	1.3064		
0.7367	1.3064		
0.7362	1.3064		
0.7356	1.3064		
0.735	1.3064		
0.7345	1.3064		
0.7339	1.3064		
0.7334	1.3064		
0.7328	1.3064		
0.7322	1.3064		
0.7317	1.3064		
0.7311	1.3064		
0.7306	1.3064		
0.73	1.3065		
0.7294	1.3065		
0.7289	1.3065		
0.7283	1.3065		
0.7277	1.3065		
0.7272	1.3065		
0.7266	1.3065		
0.7261	1.3065		
0.7255	1.3065		
0.7249	1.3065		
0.7244	1.3065		
0.7238	1.3065		
0.7232	1.3066		
0.7227	1.3066		
0.7221	1.3066		
0.7216	1.3066		
0.721	1.3066		
0.7204	1.3066		
0.7199	1.3066		
0.7193	1.3066		
0.7188	1.3066		
0.7182	1.3066		
0.7176	1.3066		
0.7171	1.3066		
0.7165	1.3066		
0.7159	1.3067		
0.7154	1.3067		
0.7148	1.3067		
0.7143	1.3067		
0.7137	1.3067		
0.7131	1.3067		
0.7126	1.3067		
0.712	1.3067		
0.7114	1.3067		
0.7109	1.3067		
0.7103	1.3067		
0.7098	1.3067		
0.7092	1.3068		
0.7086	1.3068		
0.7081	1.3068		
0.7075	1.3068		
0.707	1.3068		
0.7064	1.3068		
0.7058	1.3068		
0.7053	1.3068		
0.7047	1.3068		
0.7041	1.3068		
0.7036	1.3068		
0.703	1.3069		
0.7025	1.3069		
0.7019	1.3069		
0.7013	1.3069		
0.7008	1.3069		
0.7002	1.3069		
0.6996	1.3069		
0.6991	1.3069		
0.6985	1.3069		
0.698	1.3069		
0.6974	1.3069		
0.6968	1.3069		
0.6963	1.307		
0.6957	1.307		
0.6952	1.307		
0.6946	1.307		
0.694	1.307		
0.6935	1.307		
0.6929	1.307		
0.6923	1.307		
0.6918	1.307		
0.6912	1.307		
0.6907	1.307		
0.6901	1.3071		
0.6895	1.3071		
0.689	1.3071		
0.6884	1.3071		
0.6878	1.3071		
0.6873	1.3071		
0.6867	1.3071		
0.6862	1.3071		
0.6856	1.3071		
0.685	1.3071		
0.6845	1.3072		
0.6839	1.3072		
0.6834	1.3072		
0.6828	1.3072		
0.6822	1.3072		
0.6817	1.3072		
0.6811	1.3072		
0.6805	1.3072		
0.68	1.3072		
0.6794	1.3072		
0.6789	1.3072		
0.6783	1.3073		
