Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:OCS (20:1)"
Temperature:	"140K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/139"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
678	1.6912		0.18529			618.23	98.199996948		
679.5	1.6903		0.18872			619.19	98.199996948		
680.9	1.6916		0.18813			620.16	98.099998474		
682.4	1.6934		0.19488			621.12	98		
683.8	1.6942		0.19804			622.09	98.099998474		
685.3	1.6944		0.20499			623.05	98		
686.7	1.6939		0.20834			624.02	98		
688.1	1.6944		0.21151			624.98	97.900001526		
689.6	1.6944		0.21848			625.95	97.900001526		
691	1.6932		0.2219			626.91	97.800003052		
692.5	1.693		0.22517			627.87	97.800003052		
693.9	1.6937		0.22828			628.84	97.699996948		
695.4	1.6936		0.23522			629.8	97.699996948		
696.8	1.6927		0.23859			630.77	97.699996948		
698.3	1.6931		0.24172			631.73	97.599998474		
699.7	1.693		0.24866			632.7	97.599998474		
701.2	1.6925		0.25193			633.66	97.599998474		
702.6	1.6917		0.25898			634.63	97.5		
704.1	1.6906		0.26236			635.59	97.5		
705.5	1.6886		0.26963			636.55	97.5		
707	1.6877		0.26923			637.52	97.400001526		
708.4	1.6884		0.27599			638.48	97.300003052		
709.9	1.6866		0.28322			639.45	97.300003052		
711.3	1.6843		0.28682			640.41	97.199996948		
712.8	1.6835		0.29014			641.38	97.199996948		
714.2	1.682		0.29733			642.34	97.099998474		
715.6	1.6796		0.30095			643.31	97.099998474		
717.1	1.6786		0.30429			644.27	97		
718.5	1.6769		0.31153			645.24	97		
720	1.6743		0.31521			646.2	96.900001526		
721.4	1.673		0.31861			647.16	96.800003052		
722.9	1.671		0.32594			648.13	96.800003052		
724.3	1.6679		0.32973			649.09	96.800003052		
725.8	1.6657		0.33334			650.06	96.699996948		
727.2	1.6645		0.33672			651.02	96.699996948		
728.7	1.6627		0.34403			651.99	96.599998474		
730.1	1.6602		0.34772			652.95	96.599998474		
731.6	1.6574		0.35528			653.92	96.400001526		
733	1.6534		0.35932			654.88	96.400001526		
734.5	1.6502		0.36318			655.84	96.400001526		
735.9	1.6479		0.36685			656.81	96.300003052		
737.3	1.644		0.37473			657.77	96.199996948		
738.8	1.6407		0.3748			658.74	96.199996948		
740.2	1.6381		0.38239			659.7	96.199996948		
741.7	1.6339		0.38654			660.67	96		
743.1	1.6301		0.39061			661.63	96		
744.6	1.6264		0.39467			662.6	95.900001526		
746	1.6227		0.39873			663.56	95.900001526		
747.5	1.619		0.4028			664.53	95.800003052		
748.9	1.6152		0.4069			665.49	95.699996948		
750.4	1.6114		0.41102			666.45	95.699996948		
751.8	1.6074		0.41518			667.42	96		
753.3	1.6034		0.41937			668.38	96.199996948		
754.7	1.5993		0.42361			669.35	95.5		
756.1	1.595		0.42791			670.31	95.400001526		
757.6	1.5904		0.43228			671.28	95.300003052		
759	1.5855		0.43678			672.24	95.199996948		
760.5	1.5796		0.44159			673.21	95.099998474		
761.9	1.5745		0.44219			674.17	95.099998474		
763.4	1.5703		0.44651			675.13	95		
764.8	1.5647		0.45128			676.1	95		
766.3	1.5596		0.45189			677.06	94.800003052		
767.7	1.5554		0.45627			678.03	94.699996948		
769.2	1.5495		0.46115			678.99	94.699996948		
770.6	1.544		0.46192			679.96	94.599998474		
772.1	1.5386		0.46671			680.92	94.599998474		
773.5	1.5332		0.46747			681.89	94.400001526		
775	1.5277		0.47229			682.85	94.400001526		
776.4	1.5212		0.47338			683.81	94.300003052		
777.9	1.5169		0.47381			684.78	94.099998474		
779.3	1.5126		0.47833			685.74	94.099998474		
780.7	1.5061		0.48355			686.71	94		
782.2	1.4988		0.48493			687.67	94		
783.6	1.4923		0.48607			688.64	93.800003052		
785.1	1.4863		0.48705			689.6	93.699996948		
786.5	1.4808		0.48791			690.57	93.599998474		
788	1.4763		0.48844			691.53	93.5		
789.4	1.4708		0.49343			692.49	93.5		
790.9	1.4639		0.49474			693.46	93.300003052		
792.3	1.4576		0.49588			694.42	93.300003052		
793.8	1.4514		0.49697			695.39	93.199996948		
795.2	1.4453		0.49803			696.35	93.099998474		
796.7	1.4394		0.49908			697.32	93		
798.1	1.4333		0.50015			698.28	93		
799.5	1.4273		0.50122			699.25	92.800003052		
801	1.4212		0.50235			700.21	92.800003052		
802.5	1.4148		0.50355			701.18	92.699996948		
803.9	1.4076		0.50503			702.14	92.599998474		
805.3	1.402		0.50176			703.1	92.5		
806.8	1.3958		0.50718			704.07	92.400001526		
808.2	1.3884		0.50451			705.03	92.300003052		
809.7	1.3817		0.50585			706	92.199996948		
811.1	1.3757		0.50272			706.96	92.199996948		
812.6	1.3707		0.5035			707.93	92.099998474		
814	1.3647		0.50462			708.89	91.900001526		
815.5	1.3574		0.50619			709.85	91.800003052		
816.91	1.350600004		0.503319979			710.82	91.800003052		
818.36	1.344300032		0.504589975			711.78	91.699996948		
819.81	1.337700009		0.501640022			712.75	91.599998474		
821.25	1.331400037		0.502879977			713.71	91.5		
822.7	1.325099945		0.499819994			714.68	91.400001526		
824.15	1.318600059		0.501150012			715.64	91.300003052		
825.59	1.311400056		0.498380005			716.61	91.199996948		
827.04	1.306100011		0.494969994			717.57	91.099998474		
828.49	1.300400019		0.496039987			718.54	91		
829.93	1.294499993		0.492830008			719.5	90.900001526		
831.38	1.288300037		0.494069993			720.46	90.800003052		
832.83	1.281200051		0.491250008			721.43	90.800003052		
834.27	1.275900006		0.487819999			722.39	90.699996948		
835.72	1.269899964		0.489030004			723.36	90.5		
837.17	1.262599945		0.48624			724.32	90.5		
838.61	1.256299973		0.483150005			725.29	90.400001526		
840.06	1.250499964		0.47984001			726.25	90.400001526		
841.51	1.246000051		0.476130009			727.22	90.300003052		
842.95	1.24059999		0.477109998			728.18	90.099998474		
844.4	1.233899951		0.474110007			729.15	90.099998474		
845.85	1.228099942		0.470789999			730.11	90		
847.29	1.22360003		0.467049986			731.07	89.900001526		
848.74	1.218099952		0.468050003			732.04	89.800003052		
850.19	1.211400032		0.465020001			733	89.699996948		
851.63	1.205600023		0.461699992			733.97	89.599998474		
853.08	1.201099992		0.457940012			734.93	89.599998474		
854.53	1.19630003		0.458689988			735.9	89.5		
855.97	1.188799977		0.460399985			736.86	89.400001526		
857.42	1.180299997		0.457920015			737.83	89.300003052		
858.87	1.16869998		0.460979998			738.79	89.300003052		
860.31	1.156000018		0.450800002			739.75	89.199996948		
861.76	1.147300005		0.439209998			740.72	89.099998474		
863.21	1.143700004		0.425969988			741.68	89		
864.65	1.141700029		0.421310008			742.65	88.900001526		
866.1	1.137400031		0.417380005			743.61	88.900001526		
867.55	1.133599997		0.408749998			744.58	88.800003052		
868.99	1.131199956		0.404249996			745.54	88.699996948		
870.44	1.127900004		0.400000006			746.51	88.699996948		
871.89	1.12409997		0.395880014			747.47	88.599998474		
873.33	1.120000005		0.391869992			748.43	88.5		
874.78	1.11469996		0.388170004			749.4	88.5		
876.23	1.110599995		0.379640013			750.36	88.400001526		
877.67	1.107800007		0.375230014			751.33	88.300003052		
879.12	1.104099989		0.371080011			752.29	88.300003052		
880.57	1.09920001		0.367240012			753.26	88.199996948		
882.02	1.095299959		0.358619988			754.22	88.099998474		
883.46	1.092499971		0.354200006			755.19	88.099998474		
884.91	1.088199973		0.35018			756.15	88		
886.35	1.084699988		0.341439992			757.11	87.900001526		
887.8	1.082299948		0.336930007			758.08	87.900001526		
889.25	1.078299999		0.332819998			759.04	87.800003052		
890.69	1.074900031		0.324050009			760.01	87.800003052		
892.14	1.072000027		0.319660008			760.97	87.699996948		
893.59	1.069599986		0.310680002			761.94	87.699996948		
895.03	1.068099976		0.30599001			762.9	87.599998474		
896.48	1.065000057		0.301660001			763.87	87.599998474		
897.93	1.062700033		0.292699993			764.83	87.5		
899.38	1.061300039		0.288010001			765.79	87.5		
900.82	1.058300018		0.283670008			766.76	87.400001526		
902.27	1.055999994		0.274729997			767.72	87.400001526		
903.72	1.053900003		0.270209998			768.69	87.300003052		
905.16	1.05219996		0.261189997			769.65	87.300003052		
906.61	1.050799966		0.256570011			770.62	87.300003052		
908.06	1.049700022		0.247490004			771.58	87.300003052		
909.5	1.049399972		0.242709994			772.55	87.199996948		
910.95	1.047199965		0.238260001			773.51	87.199996948		
912.4	1.044999957		0.229420006			774.48	87.199996948		
913.84	1.04519999		0.220269993			775.44	87.099998474		
915.29	1.04519999		0.215529993			776.4	87.099998474		
916.74	1.04550004		0.20645			777.37	87.099998474		
918.18	1.046499968		0.201639995			778.33	87		
919.63	1.045799971		0.197070003			779.3	87		
921.08	1.045699954		0.188160002			780.26	86.900001526		
922.52	1.046000004		0.183520004			781.23	86.900001526		
923.97	1.046700001		0.174630001			782.19	86.900001526		
925.42	1.047600031		0.169990003			783.16	86.900001526		
926.86	1.048900008		0.161129996			784.12	86.900001526		
928.31	1.050999999		0.156460002			785.09	86.900001526		
929.76	1.051499963		0.151950002			786.05	86.900001526		
931.2	1.052999973		0.143250003			787.01	86.900001526		
932.65	1.055299997		0.138689995			787.98	86.900001526		
934.1	1.056200027		0.134259999			788.94	86.800003052		
935.54	1.057999969		0.125709996			789.91	86.800003052		
936.99	1.060700059		0.121239997			790.87	86.800003052		
938.44	1.062100053		0.116889998			791.84	86.800003052		
939.88	1.064399958		0.108499996			792.8	86.800003052		
941.33	1.067800045		0.104139999			793.77	86.800003052		
942.78	1.070299983		0.099864997			794.73	86.800003052		
944.22	1.072000027		0.095652997			795.69	86.800003052		
945.67	1.074800014		0.087498002			796.66	86.800003052		
947.12	1.078799963		0.083313003			797.62	86.800003052		
948.56	1.08220005		0.079185002			798.59	86.699996948		
950.01	1.085399985		0.075106002			799.55	86.800003052		
951.46	1.088500023		0.071065001			800.52	86.800003052		
952.9	1.091599941		0.067062996			801.48	86.800003052		
954.35	1.094699979		0.063101001			802.45	86.800003052		
955.8	1.097900033		0.059177			803.41	86.800003052		
957.24	1.101099968		0.055289999			804.37	86.800003052		
958.69	1.104500055		0.051440999			805.34	86.900001526		
960.14	1.10800004		0.047632001			806.3	86.900001526		
961.58	1.111600041		0.043864999			807.27	86.900001526		
963.03	1.11559999		0.040139999			808.23	86.900001526		
964.48	1.120399952		0.036467999			809.2	86.900001526		
965.92	1.12409997		0.036449			810.16	86.900001526		
967.37	1.127099991		0.032807			811.13	87		
968.82	1.131500006		0.029225999			812.09	87		
970.26	1.135200024		0.029239001			813.05	87		
971.71	1.138800025		0.025696			814.02	87		
973.16	1.142099977		0.025715001			814.98	87		
974.6	1.145400047		0.022218			815.95	87		
976.05	1.148699999		0.022249			816.91	87.099998474		
977.5	1.151900053		0.018797999			817.88	87.099998474		
978.94	1.155200005		0.018841			818.84	87.199996948		
980.39	1.158499956		0.015441			819.81	87.199996948		
981.84	1.162299991		0.015511			820.77	87.199996948		
983.28	1.164600015		0.015539			821.73	87.199996948		
984.73	1.167400002		0.012181			822.7	87.300003052		
986.18	1.170400023		0.012241			823.66	87.400001526		
987.63	1.173599958		0.0089402			824.63	87.400001526		
989.07	1.17750001		0.0090375			825.59	87.400001526		
990.52	1.180400014		0.0091045			826.56	87.5		
991.97	1.182299972		0.0091417			827.52	87.5		
993.41	1.184999943		0.0058897			828.49	87.5		
994.86	1.188500047		0.0059863			829.45	87.599998474		
996.31	1.191100001		0.0060525			830.42	87.599998474		
997.75	1.192899942		0.0060926			831.38	87.599998474		
999.2	1.195600033		0.0029006			832.34	87.699996948		
1000.6	1.199100018		0.0030065			833.31	87.699996948		
1002.1	1.201900005		0.0030878			834.27	87.800003052		
1003.5	1.204300046		0.0031576			835.24	87.800003052		
1005	1.206500053		0.0032171			836.2	87.900001526		
1006.4	1.208500028		0.0032664			837.17	87.900001526		
1007.9	1.209800005		0.0032969			838.13	88		
1009.3	1.212000012		0.00017759			839.1	88		
1010.8	1.215199947		0.00027858			840.06	88.099998474		
1012.2	1.217800021		0.00035883			841.02	88.099998474		
1013.7	1.220100045		0.00043045			841.99	88.199996948		
1015.1	1.222300053		0.00049546			842.95	88.199996948		
1016.6	1.224400043		0.00055771			843.92	88.300003052		
1018	1.226400018		0.00061521			844.88	88.400001526		
1019.5	1.228299975		0.00067057			845.85	88.400001526		
1020.9	1.230200052		0.00072306			846.81	88.400001526		
1022.3	1.231999993		0.00077435			847.78	88.5		
1023.8	1.233700037		0.0008226			848.74	88.5		
1025.2	1.235499978		0.00086956			849.7	88.599998474		
1026.7	1.237200022		0.00091501			850.67	88.699996948		
1028.1	1.238800049		0.00095975			851.63	88.699996948		
