Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:CH4 (93:7)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/191"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	0.0003		
0.95	0.00023		
0.9	0.00019		
0.85	0.0002		
0.8	0.00022		
0.75	0.00026		
0.7	0.00033		
0.65	0.00045		
0.6	0.00075		
0.55	0.0013		
0.5	0.00275		
0.45	0.012		
0.4	0.027		
