Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:N2:CH4 (99.29:0.7:0.0002)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/195"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	0.00021		
0.9	0.00026		
0.8	0.00035		
0.75	0.00043		
0.7	0.00054		
0.65	0.00066		
0.6	0.00088		
0.55	0.0012		
0.5	0.0015		
0.45	0.0021		
0.4	0.003		
0.35	0.0041		
