Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"CO2:OCS (20:1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/97"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
604.25	1.4867			604.25	0.015731			552.16	100		
605.21	1.4894			605.21	0.015661			552.65	99.9		
606.17	1.4943			606.17	0.015578			553.13	99.8		
607.14	1.4919			607.14	0.030719			553.61	99.9		
608.1	1.488			608.1	0.015607			554.09	99.9		
609.07	1.4985			609.07	0.00046013			554.57	99.9		
610.03	1.5072			610.03	0.015332			555.06	100		
611	1.5069			611	0.015302			555.54	100		
611.96	1.5151			611.96	0.00041608			556.02	100		
612.93	1.5234			612.93	0.01504			556.5	99.9		
613.89	1.5233			613.89	0.015024			556.99	99.8		
614.85	1.5318			614.85	0.000354			557.47	99.9		
615.82	1.5405			615.82	0.01475			557.95	99.9		
616.78	1.5411			616.78	0.014724			558.43	99.9		
617.75	1.5502			617.75	0.00028298			558.91	99.9		
618.71	1.5595			618.71	0.014425			559.4	99.9		
619.68	1.5605			619.68	0.014388			559.88	99.9		
620.64	1.5687			620.64	0.00019791			560.36	99.9		
621.61	1.5842			621.61	0.00011469			560.84	99.9		
622.57	1.5935			622.57	0.013861			561.33	99.8		
623.54	1.5977			623.54	0.01378			561.81	99.9		
624.5	1.6024			624.5	0.013689			562.29	99.9		
625.46	1.6132			625.46	0			562.77	99.9		
626.43	1.6313			626.43	0			563.26	99.8		
627.39	1.6439			627.39	0.013			563.74	99.9		
628.36	1.6522			628.36	0.012845			564.22	99.9		
629.32	1.6632			629.32	0.012651			564.7	99.9		
630.29	1.6758			630.29	0.012432			565.18	99.9		
631.25	1.6897			631.25	0.01218			565.67	99.9		
632.21	1.7051			632.21	0.011905			566.15	99.9		
633.18	1.7226			633.18	0.011574			566.63	99.9		
634.14	1.7435			634.14	0.011183			567.11	99.9		
635.11	1.7616			635.11	0.023091			567.6	99.9		
636.07	1.7854			636.07	0.010359			568.08	100		
637.04	1.8193			637.04	0.021505			568.56	99.9		
638	1.854			638	0.043778			569.04	100		
638.97	1.8446			638.97	0.13816			569.52	99.9		
639.93	1.817			639.93	0.09263			570.01	99.8		
640.9	1.8346			640.9	0.044327			570.49	99.9		
641.86	1.877			641.86	0.019739			570.97	100		
642.82	1.9244			642.82	0.018346			571.45	99.9		
643.79	1.9718			643.79	0.016898			571.94	99.8		
644.75	2.0254			644.75	0.015191			572.42	99.8		
645.72	2.083			645.72	0.023489			572.9	99.9		
646.68	2.149			646.68	0.020838			573.38	99.9		
647.65	2.2288			647.65	0.027026			573.86	100		
648.61	2.3244			648.61	0.031508			574.35	100		
649.58	2.4508			649.58	0.033139			574.83	99.9		
650.54	2.6165			650.54	0.063453			575.31	99.9		
651.5	2.8257			651.5	0.13012			575.79	99.9		
652.47	3.1355			652.47	0.2135			576.28	99.9		
653.43	3.5601			653.43	0.59612			576.76	99.9		
654.4	3.4957			654.4	2.0746			577.24	99.9		
655.36	2.447			655.36	3.1305			577.72	100		
656.33	1.6683			656.33	1.7308			578.2	100		
657.29	1.9577			657.29	0.84402			578.69	99.9		
658.26	2.6688			658.26	0.80454			579.17	99.9		
659.22	3.1384			659.22	1.9131			579.65	100		
660.19	2.4143			660.19	3.924			580.13	99.9		
661.15	1.2397			661.15	3.3635			580.62	99.9		
662.11	0.71899			662.11	2.7159			581.1	100		
663.08	0.51458			663.08	2.2808			581.58	100		
664.04	0.41819			664.04	1.9964			582.06	100		
665.01	0.36282			665.01	1.7685			582.54	99.9		
665.97	0.33194			665.97	1.5903			583.03	99.9		
666.94	0.31601			666.94	1.4349			583.51	99.9		
667.9	0.32479			667.9	1.2913			583.99	99.8		
668.86	0.32417			668.86	1.2357			584.47	99.9		
669.83	0.32976			669.83	1.1041			584.96	99.9		
670.79	0.33417			670.79	1.0898			585.44	99.9		
671.76	0.3235			671.76	1.0041			585.92	100		
672.72	0.31004			672.72	0.98157			586.4	100		
673.69	0.29294			673.69	0.90241			586.88	100		
674.65	0.27854			674.65	0.87705			587.37	100		
675.62	0.24048			675.62	0.84442			587.85	100		
676.58	0.21197			676.58	0.76805			588.33	99.9		
677.55	0.091939			677.55	0.8669			588.81	99.9		
678.51	0.0077889			678.51	0.50065			589.3	100		
679.47	0.014438			679.47	0.42777			589.78	99.9		
680.44	0.079778			680.44	0.10085			590.26	99.9		
681.4	0.23475			681.4	0.037573			590.74	99.9		
682.37	0.34432			682.37	0.027757			591.22	99.9		
683.33	0.41684			683.33	0.024381			591.71	100		
684.3	0.49025			684.3	0			592.19	99.9		
685.26	0.55108			685.26	0.020943			592.67	99.9		
686.23	0.57992			686.23	0.020431			593.15	99.9		
687.19	0.61886			687.19	0			593.64	99.9		
688.15	0.66774			688.15	0			594.12	99.9		
689.12	0.695			689.12	0.019035			594.6	99.9		
690.08	0.72156			690.08	0			595.08	99.9		
691.05	0.74939			691.05	0.018556			595.56	99.9		
692.01	0.76234			692.01	0.018432			596.05	99.9		
692.98	0.77393			692.98	0.018322			596.53	99.9		
693.94	0.79602			693.94	0			597.01	99.9		
694.91	0.81442			694.91	0.018022			597.49	99.9		
695.87	0.83071			695.87	0			597.98	100		
696.84	0.84619			696.84	0.0178			598.46	99.9		
697.8	0.86093			697.8	0			598.94	99.9		
698.76	0.87736			698.76	0.017591			599.42	100		
699.73	0.88228			699.73	0.017532			599.91	100		
700.69	0.88673			700.69	0.017481			600.39	100		
701.66	0.90112			701.66	0			600.87	100		
702.62	0.91305			702.62	0.017313			601.35	99.9		
703.59	0.92432			703.59	0			601.83	99.9		
704.55	0.93747			704.55	0.017159			602.32	100		
705.52	0.94068			705.52	0.017117			602.8	99.9		
