Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO2 (95:4:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/30"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
26.439566	1.792255		0.106902		
26.422725	1.792232		0.107075		
26.405906	1.792194		0.107249		
26.389108	1.792177		0.107423		
26.372332	1.792183		0.107598		
26.355577	1.792211		0.107773		
26.338843	1.792256		0.10795		
26.322131	1.79228		0.108127		
26.30544	1.792278		0.108305		
26.28877	1.79225		0.108483		
26.272121	1.792199		0.108662		
26.255493	1.79216		0.108842		
26.238886	1.792143		0.109023		
26.2223	1.792148		0.109204		
26.205735	1.792174		0.109386		
26.189191	1.792187		0.109569		
26.172668	1.792174		0.109752		
26.156165	1.792136		0.109937		
26.139684	1.792071		0.110122		
26.123223	1.792005		0.110307		
26.106783	1.791958		0.110494		
26.090364	1.791927		0.110681		
26.073965	1.791914		0.110869		
26.057587	1.791897		0.111057		
26.041229	1.791849		0.111246		
26.024892	1.791769		0.111436		
26.008576	1.791657		0.111627		
25.99228	1.791533		0.111757		
25.976004	1.791438		0.111887		
25.959749	1.791372		0.112017		
25.943514	1.791335		0.112147		
25.927299	1.791318		0.112277		
25.911104	1.791284		0.112406		
25.89493	1.791229		0.112536		
25.878776	1.791153		0.112666		
25.862642	1.791061		0.112796		
25.846529	1.790988		0.112926		
25.830435	1.790939		0.113055		
25.814361	1.790914		0.113185		
25.798307	1.79091		0.113315		
25.782274	1.790893		0.113444		
25.76626	1.790853		0.113574		
25.750266	1.79079		0.113703		
25.734292	1.790705		0.113832		
25.718337	1.790628		0.113962		
25.702403	1.790575		0.114091		
25.686488	1.790545		0.11422		
25.670593	1.790539		0.114349		
25.654718	1.79053		0.114478		
25.638862	1.790499		0.114607		
25.623026	1.790443		0.114736		
25.607209	1.790365		0.114865		
25.591412	1.790281		0.114993		
25.575634	1.790221		0.115122		
25.559876	1.790183		0.11525		
25.544137	1.790169		0.115379		
25.528417	1.790165		0.115507		
25.512717	1.790139		0.115635		
25.497036	1.79009		0.115763		
25.481375	1.790017		0.115891		
25.465733	1.789929		0.116019		
25.450109	1.78986		0.116146		
25.434505	1.789814		0.116274		
25.418921	1.789791		0.116401		
25.403355	1.789786		0.116528		
25.387808	1.789764		0.116655		
25.37228	1.789719		0.116782		
25.356772	1.789651		0.116909		
25.341282	1.789562		0.117036		
25.325811	1.789484		0.117162		
25.310359	1.789429		0.117288		
25.294926	1.789397		0.117415		
25.279511	1.789386		0.11754		
25.264116	1.789368		0.117666		
25.248739	1.789327		0.117792		
25.233381	1.789264		0.117917		
25.218042	1.789177		0.118042		
25.202721	1.78909		0.118167		
25.187419	1.789026		0.118292		
25.172135	1.788983		0.118417		
25.15687	1.788963		0.118541		
25.141623	1.788949		0.118666		
25.126395	1.788912		0.11879		
25.111185	1.788852		0.118913		
25.095994	1.788769		0.119037		
25.080821	1.788675		0.11916		
25.065667	1.788601		0.119284		
25.05053	1.788549		0.119407		
25.035412	1.788519		0.119529		
25.020313	1.788504		0.119652		
25.005231	1.78847		0.119774		
24.990168	1.788414		0.119896		
24.975122	1.788336		0.120018		
24.960095	1.788238		0.12014		
24.945086	1.788155		0.120261		
24.930095	1.788093		0.120382		
24.915122	1.788053		0.120503		
24.900167	1.788034		0.120623		
24.88523	1.788003		0.120744		
24.870311	1.787951		0.120864		
24.855409	1.787876		0.120984		
24.840526	1.787779		0.121103		
24.82566	1.787686		0.121222		
24.810812	1.787615		0.121341		
24.795982	1.787566		0.12146		
24.78117	1.787538		0.121579		
24.766375	1.78751		0.121697		
24.751598	1.787461		0.121815		
24.736839	1.78739		0.121932		
24.722097	1.787297		0.12205		
24.707372	1.787196		0.122167		
24.692666	1.787116		0.122283		
24.677976	1.787057		0.1224		
24.663305	1.787019		0.122516		
24.64865	1.786993		0.122632		
24.634013	1.786947		0.122747		
24.619394	1.786879		0.122862		
24.604791	1.786789		0.122977		
24.590206	1.786684		0.123092		
24.575639	1.786595		0.123206		
24.561088	1.786527		0.12332		
24.546555	1.786479		0.123434		
24.532039	1.78645		0.123547		
24.51754	1.786408		0.12366		
24.503059	1.786344		0.123773		
24.488594	1.786258		0.123885		
24.474146	1.786152		0.123997		
24.459716	1.786054		0.124109		
24.445302	1.785977		0.12422		
24.430906	1.78592		0.124331		
24.416526	1.785885		0.124442		
24.402164	1.785845		0.124552		
24.387818	1.785785		0.124662		
24.373489	1.785703		0.124772		
24.359177	1.7856		0.124881		
24.344882	1.785494		0.12499		
24.330603	1.785408		0.125099		
24.316341	1.785343		0.125207		
24.302096	1.785298		0.125315		
24.287868	1.785261		0.125423		
24.273656	1.785204		0.12553		
24.259461	1.785126		0.125637		
24.245282	1.785027		0.125743		
24.23112	1.784916		0.125849		
24.216975	1.784821		0.125955		
24.202846	1.784748		0.126061		
24.188734	1.784694		0.126166		
24.174638	1.784657		0.12627		
24.160558	1.784603		0.126375		
24.146495	1.784529		0.126478		
24.132448	1.784434		0.126582		
24.118418	1.784321		0.126685		
24.104403	1.784219		0.126788		
24.090406	1.784137		0.12689		
24.076424	1.784075		0.126992		
24.062458	1.784033		0.127094		
24.048509	1.783984		0.127195		
24.034576	1.783913		0.127296		
24.020659	1.783823		0.127397		
24.006758	1.783712		0.127497		
23.992874	1.783602		0.127596		
23.979005	1.783512		0.127696		
23.965152	1.783442		0.127795		
23.951315	1.783392		0.127893		
23.937495	1.783346		0.127991		
23.92369	1.78328		0.128089		
23.909901	1.783194		0.128187		
23.896128	1.783087		0.128284		
23.882371	1.782971		0.12838		
