Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/67"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
4120.1167	0.000116		
4120.2373	7.8E-5		
4120.3578	3.8E-5		
4120.4783	4.0E-6		
4120.5989	-2.0E-5		
4120.7194	-2.8E-5		
4120.8399	-2.2E-5		
4120.9605	-3.0E-6		
4121.081	2.2E-5		
4121.2015	5.1E-5		
4121.3221	7.8E-5		
4121.4426	0.0001		
4121.5631	0.000116		
4121.6837	0.000126		
4121.8042	0.000129		
4121.9247	0.000126		
4122.0452	0.000117		
4122.1658	0.000103		
4122.2863	8.5E-5		
4122.4068	6.5E-5		
4122.5274	4.6E-5		
4122.6479	3.0E-5		
4122.7684	2.0E-5		
4122.889	1.6E-5		
4123.0095	2.0E-5		
4123.13	2.9E-5		
4123.2506	4.1E-5		
4123.3711	5.4E-5		
4123.4916	6.5E-5		
4123.6122	7.0E-5		
4123.7327	6.9E-5		
4123.8532	6.3E-5		
4123.9737	5.3E-5		
4124.0943	4.0E-5		
4124.2148	2.8E-5		
4124.3353	1.7E-5		
4124.4559	7.0E-6		
4124.5764	0		
4124.6969	-7.0E-6		
4124.8175	-1.3E-5		
4124.938	-1.8E-5		
4125.0585	-2.2E-5		
4125.1791	-2.4E-5		
4125.2996	-2.4E-5		
4125.4201	-2.3E-5		
4125.5407	-2.0E-5		
4125.6612	-1.6E-5		
4125.7817	-1.0E-5		
4125.9022	-2.0E-6		
4126.0228	1.2E-5		
4126.1433	3.1E-5		
4126.2638	5.3E-5		
4126.3844	7.6E-5		
4126.5049	9.5E-5		
4126.6254	0.000105		
4126.746	0.000103		
4126.8665	8.9E-5		
4126.987	6.6E-5		
4127.1076	4.0E-5		
4127.2281	1.6E-5		
4127.3486	-3.0E-6		
4127.4691	-1.4E-5		
4127.5897	-2.0E-5		
4127.7102	-2.1E-5		
4127.8307	-2.2E-5		
4127.9513	-2.2E-5		
4128.0718	-1.8E-5		
4128.1923	-8.0E-6		
4128.3129	1.1E-5		
4128.4334	3.8E-5		
4128.5539	7.1E-5		
4128.6745	0.000105		
4128.795	0.000132		
4128.9155	0.000149		
4129.0361	0.000153		
4129.1566	0.000147		
4129.2771	0.000135		
4129.3976	0.000122		
4129.5182	0.000111		
4129.6387	0.000104		
4129.7592	9.9E-5		
4129.8798	9.5E-5		
4130.0003	8.8E-5		
4130.1208	7.6E-5		
4130.2414	5.9E-5		
4130.3619	3.8E-5		
4130.4824	1.6E-5		
4130.603	-6.0E-6		
4130.7235	-2.3E-5		
4130.844	-3.5E-5		
4130.9646	-3.7E-5		
4131.0851	-3.1E-5		
4131.2056	-1.7E-5		
4131.3261	3.0E-6		
4131.4467	2.4E-5		
4131.5672	4.3E-5		
4131.6877	5.5E-5		
4131.8083	6.2E-5		
4131.9288	6.5E-5		
4132.0493	6.7E-5		
4132.1699	7.4E-5		
4132.2904	8.8E-5		
4132.4109	0.000106		
4132.5315	0.000125		
4132.652	0.00014		
4132.7725	0.000143		
4132.8931	0.000134		
4133.0136	0.000115		
4133.1341	9.0E-5		
4133.2546	6.6E-5		
4133.3752	5.0E-5		
4133.4957	4.4E-5		
4133.6162	4.7E-5		
4133.7368	5.5E-5		
4133.8573	6.4E-5		
4133.9778	7.1E-5		
4134.0984	7.5E-5		
4134.2189	7.7E-5		
4134.3394	7.9E-5		
4134.46	8.0E-5		
4134.5805	7.9E-5		
4134.701	7.5E-5		
4134.8216	6.5E-5		
4134.9421	4.9E-5		
4135.0626	2.9E-5		
4135.1831	1.2E-5		
4135.3037	1.0E-6		
4135.4242	1.0E-6		
4135.5447	1.3E-5		
4135.6653	3.3E-5		
4135.7858	5.6E-5		
4135.9063	7.6E-5		
4136.0269	8.7E-5		
4136.1474	9.1E-5		
4136.2679	9.0E-5		
4136.3885	8.8E-5		
4136.509	9.1E-5		
4136.6295	9.9E-5		
4136.75	0.000111		
4136.8706	0.000125		
4136.9911	0.000137		
4137.1116	0.000144		
4137.2322	0.000144		
4137.3527	0.000139		
4137.4732	0.000132		
4137.5938	0.000125		
4137.7143	0.000122		
4137.8348	0.000123		
4137.9554	0.00013		
4138.0759	0.000142		
4138.1964	0.000158		
4138.317	0.000179		
4138.4375	0.000202		
4138.558	0.000226		
4138.6785	0.000247		
4138.7991	0.000263		
4138.9196	0.000272		
4139.0401	0.000275		
4139.1607	0.000273		
4139.2812	0.00027		
4139.4017	0.000271		
4139.5223	0.000276		
4139.6428	0.000286		
4139.7633	0.000297		
4139.8839	0.000306		
4140.0044	0.000307		
4140.1249	0.000299		
4140.2455	0.000284		
4140.366	0.000264		
4140.4865	0.000246		
4140.607	0.000235		
4140.7276	0.000233		
4140.8481	0.000238		
4140.9686	0.000246		
4141.0892	0.000252		
4141.2097	0.000252		
4141.3302	0.000245		
4141.4508	0.000232		
4141.5713	0.000218		
4141.6918	0.000208		
4141.8124	0.000207		
4141.9329	0.000216		
4142.0534	0.000232		
4142.174	0.000253		
4142.2945	0.000273		
4142.415	0.000288		
4142.5355	0.000296		
4142.6561	0.000297		
4142.7766	0.000293		
4142.8971	0.000287		
4143.0177	0.000282		
4143.1382	0.000278		
4143.2587	0.000276		
4143.3793	0.000275		
4143.4998	0.000273		
4143.6203	0.000267		
4143.7409	0.000257		
4143.8614	0.000243		
4143.9819	0.000225		
4144.1024	0.000207		
4144.223	0.000191		
4144.3435	0.000182		
4144.464	0.000182		
4144.5846	0.000192		
4144.7051	0.00021		
4144.8256	0.000233		
4144.9462	0.000255		
4145.0667	0.000272		
4145.1872	0.000278		
4145.3078	0.000273		
4145.4283	0.000256		
4145.5488	0.000233		
4145.6694	0.000208		
4145.7899	0.000187		
4145.9104	0.000175		
4146.0309	0.000174		
4146.1515	0.000183		
4146.272	0.000199		
4146.3925	0.000217		
4146.5131	0.000233		
4146.6336	0.000243		
4146.7541	0.000244		
4146.8747	0.000238		
4146.9952	0.000226		
4147.1157	0.000211		
4147.2363	0.000197		
4147.3568	0.000187		
4147.4773	0.000184		
4147.5979	0.000186		
4147.7184	0.000193		
4147.8389	0.000201		
4147.9594	0.000208		
4148.08	0.000209		
4148.2005	0.000204		
4148.321	0.000192		
4148.4416	0.000174		
4148.5621	0.000153		
4148.6826	0.000133		
4148.8032	0.000117		
4148.9237	0.000108		
4149.0442	0.000106		
4149.1648	0.000113		
4149.2853	0.000126		
4149.4058	0.000144		
4149.5264	0.000164		
4149.6469	0.000185		
4149.7674	0.000205		
4149.8879	0.000225		
4150.0085	0.000242		
4150.129	0.000257		
4150.2495	0.000269		
4150.3701	0.000276		
4150.4906	0.000276		
4150.6111	0.00027		
4150.7317	0.000259		
4150.8522	0.000246		
4150.9727	0.000236		
4151.0933	0.000233		
4151.2138	0.000241		
4151.3343	0.000259		
4151.4549	0.000283		
4151.5754	0.000308		
4151.6959	0.000326		
4151.8164	0.000332		
4151.937	0.000322		
4152.0575	0.0003		
4152.178	0.000272		
4152.2986	0.000247		
4152.4191	0.000235		
4152.5396	0.000238		
4152.6602	0.000257		
4152.7807	0.000288		
4152.9012	0.000324		
