Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:CH4 (93:7)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/193"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	9.0E-5		
0.95	9.0E-5		
0.9	0.0001		
0.85	0.000115		
0.8	0.00014		
0.75	0.00017		
0.7	0.00023		
0.65	0.00031		
0.6	0.0005		
0.55	0.0008		
0.5	0.0014		
0.45	0.004		
0.4	0.0105		
