Reference:	"He et al. (2024)"
DOI:	"doi:https://doi.org/10.1038/s41550-023-02140-4"
Sample Type:	"Gas Tholin"
Composition:	"H2O:He:CH4:CO2:N2:H2 (0.56:0.147:0.11:0.1:0.064:0.019)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/75"
n₁ Error Units:	Uncertainties on n values of 3-4% from 0.4 to 28.6 μm.
k₁ Error Units:	Uncertainties on k values of 1-4% at wavelengths > 2.9 μm and up to 9% for wavelengths between 0.4 to 2.9 μm.
T₁ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.08% in mass of tholin powder
T₁ Error Units:	Not Applicable
T₂ Caption:	Transmission spectrum of a tholin-KBr pellet made with 0.38% in mass of tholin powder
T₂ Error Units:	Not Applicable
T₃ Caption:	Transmission spectrum of a tholin-KBr pellet made with 1.90% in mass of tholin powder
T₃ Error Units:	Not Applicable
R₁ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 15°
R₁ Error Units:	Not Applicable
R₂ Caption:	Reflection spectrum of a tholin sample analyzed with an incidence angle of 45°
R₂ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavelength (µm)"	"T₁"	"DT₁  (+/-)"	"T₂"	"DT₂  (+/-)"	"T₃"	"DT₃  (+/-)"		"Wavenumber (cm⁻¹)"	"R₁"	"DR₁  (+/-)"	"R₂"	"DR₂  (+/-)"	
27.580872	1.6356121	3.775118912	0.077898445	1.562657804		27.580872	0.966047552		0.854237456		0.426043477			9025.681640613	0.073518137		0.072826219		
27.544244	1.635868	3.7752609	0.077861928	1.579663611		27.544244	0.966067769		0.855218715		0.425262498			9026.64592284	0.073497277		0.072842412		
27.5077132	1.6361488	3.775398706	0.077785226	1.600716204		27.5077132	0.966134821		0.856808681		0.424506892			9027.610205066	0.073476761		0.072859311		
27.4712792	1.6364598	3.775532581	0.077759364	1.608650368		27.4712792	0.966170431		0.858198265		0.423781312			9028.574487293	0.073456351		0.072876702		
27.4349415	1.6368105	3.775662827	0.077731936	1.641085455		27.4349415	0.966124177		0.859344596		0.422948807			9029.538769519	0.073435858		0.072894139		
27.3986998	1.6370959	3.775789737	0.077867128	1.669136346		27.3986998	0.966078078		0.860232572		0.421199522			9030.503051746	0.073415252		0.072911159		
27.3625538	1.6373219	3.775913524	0.077861051	1.718995901		27.3625538	0.966092386		0.861037712		0.419776699			9031.467333972	0.07339468		0.072927568		
27.326503	1.637601	3.776034297	0.077896819	1.748580824		27.326503	0.966117376		0.861933857		0.418411009			9032.431616199	0.073374362		0.072943577		
27.2905471	1.6378301	3.776152096	0.077980009	1.768205847		27.2905471	0.966051712		0.863417813		0.41719316			9033.395898426	0.073354422		0.07295967		
27.2546856	1.6380704	3.77626696	0.077970944	1.786650553		27.2546856	0.966116623		0.865300868		0.416186301			9034.360180652	0.073334762		0.072976288		
27.2189183	1.6383298	3.776378992	0.078055582	1.771374807		27.2189183	0.966070198		0.866880901		0.415471957			9035.324462879	0.073315098		0.07299356		
27.1832448	1.6385722	3.776488403	0.078109432	1.746447793		27.1832448	0.966022496		0.868692396		0.415096502			9036.288745105	0.073295129		0.073011251		
27.1476646	1.6387632	3.776595405	0.078239762	1.734454502		27.1476646	0.965983087		0.870560199		0.414075272			9037.253027332	0.073274724		0.07302895		
27.1121775	1.6389547	3.77670017	0.078228601	1.752939147		27.1121775	0.96597842		0.871928059		0.413281364			9038.217309558	0.07325396		0.073046314		
27.076783	1.6392233	3.776802807	0.078291898	1.747571788		27.076783	0.965944791		0.873294255		0.412526878			9039.181591785	0.073232981		0.073063224		
27.0414808	1.6394589	3.776903354	0.078418217	1.733858036		27.0414808	0.965849834		0.874875952		0.411681106			9040.145874011	0.07321179		0.073079757		
27.0062705	1.6396555	3.777001814	0.078528716	1.720850884		27.0062705	0.965751521		0.876126648		0.410917292			9041.110156238	0.073190181		0.07309608		
26.9711518	1.639895	3.777098228	0.078616051	1.720378583		26.9711518	0.965649894		0.876936216		0.41007938			9042.074438465	0.073167879		0.073112349		
26.9361244	1.6400933	3.777192711	0.078846521	1.655724872		26.9361244	0.965574639		0.877363976		0.409508102			9043.038720691	0.073144813		0.073128696		
26.9011878	1.6402297	3.777285403	0.078992485	1.615429983		26.9011878	0.965385619		0.878171038		0.409170865			9044.003002918	0.073121286		0.073145234		
26.8663417	1.6403531	3.77737646	0.07918779	1.577500175		26.8663417	0.965168967		0.878196256		0.408598261			9044.967285144	0.073097887		0.073162039		
26.8315857	1.6404775	3.777465961	0.079337012	1.564375509		26.8315857	0.964952823		0.87854803		0.407878856			9045.931567371	0.07307519		0.073179096		
26.7969196	1.6404826	3.777553908	0.079637163	1.509486283		26.7969196	0.964724975		0.878298929		0.407089422			9046.895849597	0.073053445		0.073196285		
26.7623429	1.6404564	3.777640282	0.079657005	1.517338149		26.7623429	0.964685619		0.877894086		0.406357557			9047.860131824	0.073032488		0.073213427		
26.7278554	1.6404834	3.777725079	0.079816415	1.493761919		26.7278554	0.964496712		0.877793824		0.405739618			9048.824414051	0.073011926		0.073230394		
26.6934566	1.6404115	3.77780837	0.07989961	1.520776135		26.6934566	0.964396712		0.877913891		0.40446685			9049.788696277	0.072991414		0.073247189		
26.6591462	1.6404032	3.777890289	0.079843076	1.572618324		26.6591462	0.964357026		0.878320313		0.403426561			9050.752978504	0.072970848		0.073263918		
26.624924	1.6404513	3.777970996	0.079872089	1.596249885		26.624924	0.964313497		0.878460411		0.40238927			9051.71726073	0.072950334		0.073280691		
26.5907894	1.6404817	3.778050616	0.079864627	1.631440046		26.5907894	0.964267118		0.878462605		0.401383956			9052.681542957	0.072930019		0.073297527		
26.5567423	1.6405629	3.778129231	0.079837333	1.662512555		26.5567423	0.964227967		0.877846877		0.400549022			9053.645825183	0.072909941		0.073314346		
26.5227823	1.6406521	3.778206803	0.079889084	1.653436563		26.5227823	0.96418517		0.877209665		0.399921102			9054.61010741	0.072890004		0.073331052		
26.488909	1.6406712	3.778283267	0.079946366	1.633935868		26.488909	0.964146185		0.87600273		0.399426892			9055.574389636	0.072870061		0.073347623		
26.4551221	1.6406673	3.77835859	0.079917347	1.6265899		26.4551221	0.964196712		0.874728142		0.399010285			9056.538671863	0.072849999		0.073364115		
26.4214213	1.6407083	3.778432821	0.079836799	1.635744799		26.4214213	0.964235282		0.873281878		0.398651945			9057.50295409	0.072829764		0.073380586		
26.3878063	1.6408366	3.778506067	0.079728629	1.649167776		26.3878063	0.964342859		0.87169342		0.398246027			9058.467236316	0.072809319		0.073397006		
26.3542767	1.6410235	3.778578391	0.079704993	1.660363286		26.3542767	0.964391342		0.87009878		0.397557032			9059.431518543	0.072788636		0.073413242		
26.3208322	1.6412082	3.778649785	0.079734338	1.691919608		26.3208322	0.964357912		0.868592178		0.396386542			9060.395800769	0.072767719		0.073429137		
26.2874724	1.6413255	3.778720201	0.07983253	1.675731272		26.2874724	0.964291109		0.867542007		0.395711007			9061.360082996	0.072746655		0.07344462		
26.2541972	1.6414318	3.778789609	0.079826156	1.696616511		26.2541972	0.964259749		0.866757157		0.394907922			9062.324365222	0.072725609		0.073459744		
26.221006	1.6415697	3.778858005	0.079884221	1.701334027		26.221006	0.96420703		0.866088336		0.394072367			9063.288647449	0.072704745		0.073474636		
26.1878987	1.641674	3.778925453	0.079937323	1.703376265		26.1878987	0.964174286		0.865431728		0.393282111			9064.252929676	0.07268414		0.073489402		
26.1548749	1.6417913	3.778992048	0.07995419	1.727739031		26.1548749	0.964137913		0.864694408		0.39231076			9065.217211902	0.072663745		0.073504073		
26.1219342	1.6419546	3.779057858	0.079989369	1.744520394		26.1219342	0.964075791		0.863716199		0.391408933			9066.181494129	0.072643439		0.073518643		
