Reference:	"Gerakines and Hudson (2020)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/abad39"
Sample Type:	"Ice"
Composition:	"CH3OH (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/54"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
510.8110477	1.497032615		-0.003964496			510.8110477	-0.00019		
510.9315789	1.497599196		-0.003595888			510.9315789	-0.000127999		
511.0521101	1.497966448		-0.002806697			511.0521101	0		
511.1726412	1.498073366		-0.001795316			511.1726412	0.000162		
511.2931724	1.497834178		-0.000589398			511.2931724	0.000353001		
511.4137036	1.497155104		0.00064612			511.4137036	0.000546001		
511.5342347	1.496035778		0.001717505			511.5342347	0.000710001		
511.6547659	1.494581181		0.002488928			511.6547659	0.000824		
511.7752971	1.492871878		0.002837163			511.7752971	0.000869		
511.8958282	1.491103743		0.002702992			511.8958282	0.000837		
512.0163594	1.489394759		0.002080598			512.0163594	0.000727999		
512.1368905	1.487939735		0.001012248			512.1368905	0.000549999		
512.2574217	1.486834419		-0.000410846			512.2574217	0.000317999		
512.3779529	1.486226956		-0.002047884			512.3779529	5.4998E-5		
512.498484	1.486117709		-0.003720639			512.498484	-0.000211		
512.6190152	1.486528956		-0.005245654			512.6190152	-0.000451		
512.7395464	1.487310218		-0.006453563			512.7395464	-0.000639		
512.8600775	1.488358336		-0.007253386			512.8600775	-0.000761		
512.9806087	1.48945287		-0.007588958			512.9806087	-0.000809		
513.1011399	1.490462289		-0.00752014			513.1011399	-0.000793		
513.221671	1.491233047		-0.007118102			513.221671	-0.000725		
513.3422022	1.491708842		-0.006512851			513.3422022	-0.000626		
513.4627333	1.491839264		-0.005821509			513.4627333	-0.000515		
513.5832645	1.491648717		-0.005150932			513.5832645	-0.000409		
513.7037957	1.49112541		-0.004619366			513.7037957	-0.000327		
513.8243268	1.490369999		-0.004336643			513.8243268	-0.000286		
513.944858	1.489445877		-0.004386619			513.944858	-0.000299		
514.0653892	1.488532195		-0.004825933			514.0653892	-0.000374		
514.1859203	1.487757242		-0.005621468			514.1859203	-0.000505001		
514.3064515	1.487283318		-0.006684212			514.3064515	-0.000677001		
514.4269827	1.487157113		-0.007858126			514.4269827	-0.000865001		
514.5475138	1.487390542		-0.008973518			514.5475138	-0.001042001		
514.668045	1.487838027		-0.009900211			514.668045	-0.001188		
514.7885761	1.488368311		-0.010621874			514.7885761	-0.001301		
514.9091073	1.488829003		-0.011221867			514.9091073	-0.001395		
515.0296385	1.489215629		-0.011856543			515.0296385	-0.001495001		
515.1501696	1.489603953		-0.0126717			515.1501696	-0.001624001		
515.2707008	1.490218262		-0.013704509			515.2707008	-0.001787001		
515.391232	1.491239677		-0.014859367			515.391232	-0.001968001		
515.5117631	1.492841083		-0.015884812			515.5117631	-0.002126		
515.6322943	1.494948075		-0.01645585			515.6322943	-0.002209		
515.7528255	1.497367403		-0.016302877			515.7528255	-0.002173999		
515.8733566	1.499702393		-0.015301069			515.8733566	-0.002001999		
515.9938878	1.501601749		-0.01354834			515.9938878	-0.001709998		
516.114419	1.502745951		-0.01130679			516.114419	-0.001341997		
516.2349501	1.503045486		-0.008972238			516.2349501	-0.000963		
516.3554813	1.502589307		-0.006908832			516.3554813	-0.000631999		
516.4760124	1.501642825		-0.005352813			516.4760124	-0.000386		
516.5965436	1.500493094		-0.004401187			516.5965436	-0.000239		
516.7170748	1.499457181		-0.003954892			516.7170748	-0.000173		
516.8376059	1.498654637		-0.003820662			516.8376059	-0.000156		
516.9581371	1.498148476		-0.00379639			516.9581371	-0.000155		
517.0786683	1.497833383		-0.003710837			517.0786683	-0.000143		
517.1991994	1.497595587		-0.003491684			517.1991994	-0.000109		
517.3197306	1.497276022		-0.003157976			517.3197306	-5.7E-5		
517.4402618	1.49680924		-0.002794086			517.4402618	-1.0E-6		
517.5607929	1.496149486		-0.002522324			517.5607929	3.9E-5		
517.6813241	1.495368666		-0.002438433			517.6813241	4.8E-5		
517.8018552	1.494515014		-0.002625048			517.8018552	1.3E-5		
517.9223864	1.493748405		-0.003119219			517.9223864	-7.1E-5		
518.0429176	1.493172513		-0.003887376			518.0429176	-0.000198001		
518.1634487	1.492936305		-0.004841214			518.1634487	-0.000353001		
518.2839799	1.493078207		-0.005826168			518.2839799	-0.000511001		
518.4045111	1.493616372		-0.006680986			518.4045111	-0.000646		
518.5250422	1.4944486		-0.007241071			518.5250422	-0.000732		
518.6455734	1.495429291		-0.007396992			518.6455734	-0.000752		
518.7661046	1.496344462		-0.007148821			518.7661046	-0.000707		
518.8866357	1.497047767		-0.006566524			518.8866357	-0.000608999		
519.0071669	1.497398311		-0.005824543			519.0071669	-0.000486999		
519.127698	1.497440607		-0.005103143			519.127698	-0.00037		
519.2482292	1.497236851		-0.004533804			519.2482292	-0.000279		
519.3687604	1.496957015		-0.004165629			519.3687604	-0.000221		
519.4892915	1.496697764		-0.003958818			519.4892915	-0.000189		
519.6098227	1.496553079		-0.003799387			519.6098227	-0.000164		
519.7303539	1.496447027		-0.003579626			519.7303539	-0.000129		
519.850885	1.49631829		-0.003254122			519.850885	-7.7E-5		
519.9714162	1.496013716		-0.002854339			519.9714162	-1.4E-5		
520.0919474	1.495509718		-0.002502835			520.0919474	4.0E-5		
520.2124785	1.494788376		-0.002316292			520.2124785	6.6E-5		
520.3330097	1.493973703		-0.002422987			520.3330097	4.4E-5		
520.4535408	1.493198351		-0.002840358			520.4535408	-2.8001E-5		
520.574072	1.492613044		-0.003512044			520.574072	-0.00014		
520.6946032	1.492265402		-0.004328176			520.6946032	-0.000274		
520.8151343	1.492185987		-0.005171926			520.8151343	-0.000411		
520.9356655	1.492283224		-0.005953281			520.9356655	-0.000537001		
521.0561967	1.492501685		-0.006664053			521.0561967	-0.000651001		
521.1767278	1.492758701		-0.007338487			521.1767278	-0.000759001		
521.297259	1.493082392		-0.008057662			521.297259	-0.000874		
521.4177902	1.493516573		-0.008859823			521.4177902	-0.001002		
521.5383213	1.494174908		-0.009754438			521.5383213	-0.001144		
521.6588525	1.495151633		-0.010682453			521.6588525	-0.001290001		
521.7793837	1.496549392		-0.011511477			521.7793837	-0.001418001		
521.8999148	1.498360634		-0.012081923			521.8999148	-0.001502		
522.020446	1.500587133		-0.012217484			522.020446	-0.001513		
522.1409771	1.503095268		-0.011714797			522.1409771	-0.001418		
522.2615083	1.5057177		-0.01041964			522.2615083	-0.001191999		
522.3820395	1.508170818		-0.008210402			522.3820395	-0.000815998		
522.5025706	1.510126512		-0.005065012			522.5025706	-0.000287997		
522.6231018	1.511173355		-0.001111473			522.6231018	0.000368005		
522.743633	1.510980534		0.003342774			522.743633	0.001098006		
522.8641641	1.509286592		0.007814422			522.8641641	0.001819001		
522.9846953	1.506118048		0.011694989			522.9846953	0.002430001		
523.1052265	1.501730033		0.014410187			523.1052265	0.002839001		
523.2257576	1.496680854		0.015524479			523.2257576	0.002980999		
523.3462888	1.491651987		0.014897104			523.3462888	0.002840998		
523.4668199	1.487366409		0.012728629			523.4668199	0.002458996		
523.5873511	1.484307553		0.009520982			523.5873511	0.00192		
523.7078823	1.482718198		0.005921576			523.7078823	0.001328999		
523.8284134	1.482442614		0.002591575			523.8284134	0.000789999		
523.9489446	1.483104941		-3.3246E-5			523.9489446	0.000369999		
524.0694758	1.484176001		-0.001759559			524.0694758	9.6999E-5		
524.1900069	1.485199826		-0.002709524			524.1900069	-5.1001E-5		
524.3105381	1.485893271		-0.003159456			524.3105381	-0.00012		
524.4310693	1.486198256		-0.003422926			524.4310693	-0.000161		
524.5516004	1.486195375		-0.003737216			524.5516004	-0.000212		
524.6721316	1.486068987		-0.004201133			524.6721316	-0.000288001		
524.7926627	1.485934532		-0.004781614			524.7926627	-0.000383001		
524.9131939	1.485845105		-0.005400305			524.9131939	-0.000484001		
525.0337251	1.485735912		-0.006005752			525.0337251	-0.000583		
525.1542562	1.485545793		-0.006632938			525.1542562	-0.000686		
525.2747874	1.48522544		-0.007391116			525.2747874	-0.000811001		
525.3953186	1.48485329		-0.008424353			525.3953186	-0.000981001		
525.5158497	1.48458724		-0.009823458			525.5158497	-0.001210002		
525.6363809	1.484661969		-0.011557696			525.6363809	-0.001492002		
525.7569121	1.485252984		-0.013476731			525.7569121	-0.001802		
525.8774432	1.48646683		-0.015317604			525.8774432	-0.002097		
525.9979744	1.488214118		-0.016819528			525.9979744	-0.002335001		
526.1185055	1.490342929		-0.017783784			526.1185055	-0.002484		
526.2390367	1.492576972		-0.018120383			526.2390367	-0.00253		
526.3595679	1.494698373		-0.017881546			526.3595679	-0.002481999		
526.480099	1.496517641		-0.01719822			526.480099	-0.002362		
526.6006302	1.497980303		-0.016239857			526.6006302	-0.002198		
526.7211614	1.499060514		-0.015151223			526.7211614	-0.002013999		
526.8416925	1.499826198		-0.014048917			526.8416925	-0.001828999		
526.9622237	1.500307948		-0.012987704			526.9622237	-0.001651999		
527.0827549	1.500566571		-0.012029493			527.0827549	-0.001492999		
527.203286	1.500642243		-0.011211487			527.203286	-0.001358		
527.3238172	1.500605318		-0.010565978			527.3238172	-0.001252		
527.4443483	1.500505794		-0.010124791			527.4443483	-0.00118		
527.5648795	1.500466692		-0.009891926			527.5648795	-0.001142		
527.6854107	1.500560495		-0.009815165			527.6854107	-0.001129		
527.8059418	1.500894146		-0.009819196			527.8059418	-0.001128		
527.926473	1.501495674		-0.009753488			527.926473	-0.001114		
528.0470042	1.502350269		-0.009466486			528.0470042	-0.001062		
528.1675353	1.503333163		-0.00880947			528.1675353	-0.000948		
528.2880665	1.504292348		-0.00770553			528.2880665	-0.000759999		
528.4085977	1.505004998		-0.006123061			528.4085977	-0.000493998		
528.5291288	1.505244372		-0.00415581			528.5291288	-0.000166998		
528.64966	1.504819895		-0.00200604			528.64966	0.000186		
528.7701912	1.503657081		4.7629E-5			528.7701912	0.000518		
528.8907223	1.501786818		0.001678696			528.8907223	0.000775		
529.0112535	1.499441646		0.002598093			529.0112535	0.000911		
529.1317846	1.496941605		0.002650052			529.1317846	0.000902999		
529.2523158	1.494695475		0.001844999			529.2523158	0.000755998		
529.372847	1.49303652		0.000405648			529.372847	0.000509		
529.4933781	1.492168323		-0.001303112			529.4933781	0.000223		
529.6139093	1.492049708		-0.00286314			529.6139093	-3.4E-5		
529.7344405	1.492446704		-0.003941915			529.7344405	-0.000209		
529.8549716	1.4929616		-0.004403948			529.8549716	-0.000282		
529.9755028	1.493230229		-0.004346702			529.9755028	-0.000271		
530.096034	1.492976045		-0.004058355			530.096034	-0.000225		
530.2165651	1.492168653		-0.003926418			530.2165651	-0.000208		
530.3370963	1.490971368		-0.004297324			530.3370963	-0.000276		
530.4576274	1.489759945		-0.005355473			530.4576274	-0.000457001		
530.5781586	1.488901528		-0.007040719			530.5781586	-0.000739002		
530.6986898	1.488705134		-0.009118372			530.6986898	-0.001082002		
530.8192209	1.489279614		-0.011224213			530.8192209	-0.001426002		
530.9397521	1.490553996		-0.013001711			530.9397521	-0.001713		
531.0602833	1.492261758		-0.014206739			531.0602833	-0.001904		
531.1808144	1.494122749		-0.014778901			531.1808144	-0.00199		
531.3013456	1.495870261		-0.014785638			531.3013456	-0.001983		
531.4218768	1.49736781		-0.014387731			531.4218768	-0.001909999		
531.5424079	1.498550156		-0.013740664			531.5424079	-0.001796999		
