Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/106"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
279.7	1.2488		0.16265			164.93	96.425003052		
281.6	1.2511		0.15486			165.89	96.364997864		
283.6	1.2551		0.14344			166.85	96.376998901		
285.5	1.2581		0.13858			167.82	96.304000854		
287.4	1.2628		0.12741			168.78	96.220001221		
289.3	1.2693		0.12345			169.75	96.244003296		
291.3	1.2665		0.1324			170.71	96.158996582		
293.2	1.2647		0.10832			171.68	96.194999695		
295.1	1.27		0.10389			172.64	95.977996826		
297.1	1.2739		0.094448			173.61	96.050003052		
299	1.2774		0.090349			174.57	95.90599823		
300.9	1.2805		0.081268			175.53	96.038002014		
302.9	1.2852		0.073981			176.5	95.833000183		
304.8	1.2895		0.067668			177.46	95.857002258		
306.7	1.2946		0.060647			178.43	95.664001465		
308.6	1.2991		0.05616			179.39	95.495002747		
310.6	1.3049		0.047045			180.36	95.362998962		
312.5	1.3103		0.045844			181.32	95.53099823		
314.4	1.3157		0.037042			182.29	95.495002747		
316.4	1.3215		0.035951			183.25	95.410003662		
318.3	1.3263		0.029684			184.22	95.398002625		
320.2	1.3322		0.025739			185.18	95.26499939		
322.1	1.3378		0.021876			186.14	95.277000427		
324.1	1.3438		0.017373			187.11	95.120002747		
326	1.3496		0.015161			188.07	95.168998718		
327.9	1.3557		0.010112			189.04	95.024002075		
329.9	1.3624		0.007957			190	95.047996521		
331.8	1.3688		0.005152			190.97	94.794998169		
333.7	1.3758		0.002409			191.93	94.805999756		
335.6	1.3832		0.00107			192.9	94.769996643		
