Reference:	"Clapp et al. (1995)"
DOI:	"doi:https://doi.org/10.1021/j100017a010"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"190K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/5"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
3290.01	1.003			3290.01	0.60197		
3297.72	0.991			3297.72	0.56331		
3307.37	0.986			3307.37	0.52027		
3315.08	0.982			3315.08	0.49433		
3322.79	0.981			3322.79	0.47051		
3330.51	0.98			3330.51	0.45112		
3338.22	0.975			3338.22	0.43502		
3345.94	0.973			3345.94	0.41776		
3353.65	0.965			3353.65	0.40716		
3361.37	0.959			3361.37	0.39019		
3369.08	0.951			3369.08	0.37892		
3376.79	0.941			3376.79	0.36233		
3384.51	0.93			3384.51	0.34921		
3392.22	0.919			3392.22	0.32671		
3399.94	0.908			3399.94	0.30663		
3407.65	0.901			3407.65	0.28144		
3423.08	0.891			3423.08	0.22814		
3430.79	0.895			3430.79	0.19901		
3438.51	0.9			3438.51	0.17335		
3446.22	0.909			3446.22	0.14789		
3453.94	0.923			3453.94	0.12385		
3461.65	0.938			3461.65	0.10948		
3469.37	0.95			3469.37	0.0906		
3477.08	0.0964			3477.08	0.08155		
3484.8	0.978			3484.8	0.06912		
3490.58	0.986			3490.58	0.06383		
3500.22	1.001			3500.22	0.05303		
3521.44	1.029			3521.44	0.0363		
3540.72	1.051			3540.72	0.02372		
3560.01	1.073			3560.01	0.01657		
3581.22	1.094			3581.22	0.00972		
3600.51	1.11			3600.51	0.00618		
3641.15	1.138			3641.15	0.00057		
3660.44	1.15			3660.44	0.00063		
3681.65	1.16			3681.65	0.00089		
3700.94	1.168			3700.94	0.00202		
3720.23	1.175			3720.23	0.00237		
3741.44	1.182			3741.44	0.00158		
3760.73	1.187			3760.73	0.0019		
3780.01	1.192			3780.01	0.00228		
3801.23	1.198			3801.23	0.00055		
3820.51	1.202			3820.51	0.00154		
3841.73	1.207			3841.73	0.00041		
3861.01	1.21			3861.01	0.00154		
3880.3	1.214			3880.3	0.00071		
3901.51	1.218			3901.51	0.00059		
3920.8	1.221			3920.8	0.00097		
3940.08	1.224			3940.08	0.00166		
3961.3	1.226			3961.3	0.0009		
3980.58	1.23			3980.58	0.00079		
4000	1.232			4000	0.00177		
