Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"Ar:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/279"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.47232	1.51946	0.00387		0.53084	0.000154	0.000176	
1.47083	1.51947	0.00386		0.5301	0.000159	0.00018	
1.46933	1.51948	0.00386		0.52936	0.000163	0.000185	
1.46783	1.51948	0.00386		0.52862	0.000168	0.000189	
1.46633	1.51949	0.00386		0.52789	0.000173	0.000193	
1.46483	1.5195	0.00386		0.52715	0.000178	0.000198	
1.46333	1.5195	0.00386		0.52641	0.000183	0.000202	
1.46184	1.51951	0.00386		0.52567	0.000188	0.000207	
1.46034	1.51952	0.00386		0.52493	0.000193	0.000211	
1.45884	1.51953	0.00386		0.52419	0.000199	0.000216	
1.45734	1.51953	0.00387		0.52345	0.000204	0.00022	
1.45584	1.51954	0.00386		0.52271	0.00021	0.000225	
1.45434	1.51955	0.00386		0.52197	0.000216	0.00023	
1.45284	1.51956	0.00386		0.52123	0.000222	0.000234	
1.45133	1.51956	0.00386		0.52049	0.000228	0.000239	
1.44983	1.51957	0.00386		0.51975	0.000234	0.000244	
1.44833	1.51958	0.00386		0.51901	0.00024	0.000248	
1.44683	1.51958	0.00386		0.51827	0.000247	0.000253	
1.44533	1.51959	0.00386		0.51753	0.000254	0.000257	
1.44382	1.5196	0.00386		0.51679	0.00026	0.000262	
1.44232	1.51961	0.00386		0.51604	0.000268	0.000267	
1.44082	1.51961	0.00386		0.5153	0.000275	0.000271	
1.43931	1.51962	0.00386		0.51456	0.000283	0.000275	
1.43781	1.51963	0.00386		0.51382	0.00029	0.00028	
1.43631	1.51963	0.00386		0.51308	0.000298	0.000284	
1.4348	1.51964	0.00386		0.51234	0.000306	0.000288	
1.4333	1.51965	0.00386		0.5116	0.000315	0.000293	
1.43179	1.51966	0.00386		0.51086	0.000323	0.000297	
1.43029	1.51967	0.00386		0.51012	0.000332	0.000301	
1.42878	1.51967	0.00386		0.50937	0.000341	0.000305	
1.42728	1.51968	0.00386		0.50863	0.00035	0.000309	
1.42577	1.51969	0.00386		0.50789	0.00036	0.000313	
1.42427	1.51969	0.00386		0.50715	0.000369	0.000317	
1.42276	1.5197	0.00386		0.50641	0.000379	0.000321	
1.42125	1.51971	0.00386		0.50567	0.000389	0.000325	
1.41974	1.51972	0.00386		0.50492	0.0004	0.000328	
1.41824	1.51973	0.00386		0.50418	0.00041	0.000332	
