Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"25K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/242"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
16.073398	1.5673665		0.251808		
16.048505	1.5669863		0.253435		
16.02369	1.56648		0.254903		
15.998951	1.5660457		0.256163		
15.974288	1.5656992		0.257623		
15.949701	1.5652218		0.259323		
15.92519	1.5646424		0.260744		
15.900754	1.5641579		0.262062		
15.876393	1.5637486		0.26354		
15.852106	1.5631986		0.265297		
15.827894	1.5625387		0.266717		
15.803755	1.5620205		0.267999		
15.77969	1.5615411		0.269619		
15.755699	1.5609119		0.271292		
15.73178	1.5602097		0.272765		
15.707933	1.5596446		0.274036		
15.684159	1.5591295		0.275705		
15.660456	1.5584254		0.277454		
15.636825	1.5576953		0.278843		
15.613266	1.55709		0.280313		
15.589777	1.5564535		0.282027		
15.566359	1.5556492		0.283785		
15.543011	1.5547993		0.285244		
15.519733	1.5540878		0.28663		
15.496524	1.5534092		0.28831		
15.473385	1.5525651		0.290106		
15.450315	1.5516713		0.291583		
15.427314	1.5509004		0.293065		
15.404381	1.5500805		0.294876		
15.381516	1.5491047		0.296577		
15.358718	1.5481292		0.298079		
15.335989	1.5472536		0.299576		
15.313326	1.5463427		0.301353		
15.29073	1.5452738		0.303086		
15.268201	1.5442174		0.304533		
15.245739	1.5432512		0.306103		
15.223342	1.5422292		0.307837		
15.201011	1.5410768		0.309557		
15.178745	1.5399223		0.311025		
15.156545	1.5388667		0.312548		
15.134409	1.5377265		0.314359		
15.112338	1.5364409		0.31598		
15.090331	1.5352193		0.317369		
15.068388	1.5340716		0.318945		
15.046509	1.5328121		0.320675		
15.024693	1.5314528		0.322208		
15.002941	1.5301136		0.323623		
14.981251	1.528954		0.324833		
14.959624	1.5278328		0.326576		
14.938059	1.5265108		0.328309		
14.916557	1.5251304		0.329839		
14.895116	1.5237648		0.33141		
14.873737	1.5223288		0.333052		
14.852419	1.5208279		0.334559		
14.831162	1.5194033		0.335906		
14.809966	1.5179857		0.33752		
14.78883	1.516459		0.339067		
14.767755	1.5149385		0.340453		
14.74674	1.5134831		0.341874		
14.725784	1.5120003		0.34345		
14.704888	1.5104029		0.345048		
14.684051	1.5087694		0.346458		
14.663273	1.5071952		0.347857		
14.642553	1.5055682		0.349458		
14.621893	1.5038171		0.350957		
14.60129	1.5020975		0.352223		
14.580745	1.5004638		0.353593		
14.560258	1.4987463		0.355171		
14.539829	1.4969125		0.356591		
14.519457	1.4951036		0.357863		
14.499142	1.4933467		0.359194		
14.478883	1.4915122		0.360689		
14.458682	1.4895737		0.36203		
14.438536	1.4876808		0.36319		
14.418447	1.485862		0.364447		
14.398413	1.4839411		0.36592		
14.378435	1.4819163		0.367149		
14.358512	1.4799573		0.368254		
14.338645	1.4780478		0.369477		
14.318832	1.4760258		0.370865		
14.299074	1.4739071		0.372011		
14.27937	1.471877		0.372995		
14.259721	1.4698862		0.37419		
14.240126	1.4677803		0.375439		
14.220584	1.4656115		0.376496		
14.201096	1.4635039		0.37745		
14.181662	1.4614291		0.37852		
14.16228	1.4592528		0.379692		
14.142951	1.4570319		0.380615		
14.123676	1.4548829		0.381524		
14.104452	1.4527087		0.382586		
14.085281	1.4504245		0.38361		
14.066162	1.4481285		0.38442		
14.047094	1.4459064		0.385211		
14.028079	1.4436776		0.386126		
14.009114	1.441364		0.387028		
13.990201	1.4390244		0.387771		
13.971339	1.4367522		0.388435		
13.952528	1.4344889		0.389249		
13.933767	1.4321255		0.390076		
13.915057	1.4297324		0.390694		
13.896397	1.4274374		0.391227		
13.877787	1.4251221		0.392018		
13.859226	1.4226944		0.392676		
13.840716	1.4202948		0.393147		
13.822254	1.4179586		0.39367		
13.803842	1.4155728		0.394297		
13.785479	1.413142		0.394759		
13.767164	1.4107834		0.395126		
13.748899	1.4084208		0.395685		
13.730681	1.4059869		0.396144		
13.712512	1.4035304		0.396556		
13.694391	1.4011011		0.396844		
13.676317	1.3986981		0.3972		
13.658292	1.3962602		0.397552		
13.640313	1.393799		0.397831		
13.622382	1.3913727		0.398016		
13.604498	1.3889661		0.398278		
13.586661	1.3864983		0.398562		
13.568871	1.384008		0.398682		
13.551127	1.381608		0.3987		
13.53343	1.3792105		0.398938		
13.515778	1.3767301		0.399072		
13.498173	1.3742766		0.399062		
13.480614	1.3718691		0.3991		
13.4631	1.369432		0.399183		
13.445631	1.3669667		0.399175		
13.428208	1.3645196		0.399113		
13.41083	1.3620924		0.399045		
13.393497	1.3596566		0.398991		
13.376209	1.3571856		0.398914		
13.358965	1.3547226		0.398708		
13.341765	1.3523241		0.398468		
13.32461	1.3499237		0.39834		
13.307499	1.3474719		0.398147		
13.290432	1.3450361		0.397833		
13.273408	1.3426782		0.397476		
13.256429	1.3402944		0.397312		
13.239492	1.3378574		0.396962		
13.222599	1.3354794		0.396542		
13.205748	1.333135		0.396186		
13.188941	1.3307517		0.395862		
13.172176	1.328351		0.395416		
13.155454	1.3260051		0.394902		
13.138775	1.3236819		0.394467		
13.122137	1.3213348		0.394002		
13.105542	1.318993		0.393473		
13.088988	1.3166794		0.392918		
13.072477	1.3143853		0.39237		
13.056006	1.3120649		0.391859		
13.039578	1.3097354		0.391227		
13.023191	1.3074613		0.390548		
13.006844	1.3052084		0.389941		
12.990539	1.3029044		0.389353		
12.974275	1.3006112		0.388577		
12.958051	1.2984055		0.387802		
12.941868	1.2961941		0.387165		
12.925725	1.2939332		0.386441		
12.909622	1.2917139		0.385598		
12.89356	1.2895388		0.384826		
12.877537	1.2873422		0.384074		
12.861555	1.2851213		0.383269		
12.845611	1.2829415		0.382348		
12.829708	1.2807991		0.381509		
12.813843	1.2786334		0.380666		
12.798018	1.2764563		0.379764		
12.782232	1.2743149		0.378782		
12.766485	1.2722149		0.37783		
12.750776	1.2700893		0.376934		
12.735106	1.267952		0.375911		
12.719475	1.2658726		0.374836		
12.703882	1.2638089		0.373838		
12.688327	1.2617443		0.372758		
12.67281	1.2597035		0.371673		
12.657331	1.2577078		0.37052		
12.64189	1.2557299		0.369465		
12.626486	1.253726		0.368364		
12.61112	1.2517434		0.367185		
12.595791	1.2498117		0.365989		
12.5805	1.2479037		0.364839		
12.565245	1.2459717		0.363708		
12.550028	1.2440644		0.362443		
12.534847	1.242194		0.361256		
12.519703	1.240318		0.360037		
12.504596	1.2384544		0.35879		
12.489525	1.2366166		0.357505		
12.47449	1.2348372		0.35618		
12.459491	1.2330588		0.35499		
12.444529	1.2312469		0.353706		
12.429602	1.2294917		0.352327		
12.414711	1.2277902		0.351032		
12.399856	1.226063		0.349795		
12.385036	1.2243117		0.348483		
12.370252	1.2225974		0.347098		
12.355503	1.2209355		0.345731		
12.340789	1.2192628		0.344446		
12.32611	1.2175824		0.343055		
12.311465	1.2159559		0.34164		
12.296856	1.2143438		0.340305		
12.282281	1.2127214		0.338929		
12.267741	1.2111053		0.337547		
12.253235	1.2095096		0.336121		
12.238764	1.2079344		0.334723		
12.224326	1.2063418		0.333342		
12.209923	1.2047415		0.331887		
12.195553	1.2031962		0.33035		
12.181218	1.2016892		0.328895		
12.166916	1.2001695		0.327433		
12.152647	1.1986697		0.3259		
12.138412	1.1972176		0.324369		
12.12421	1.1957714		0.3229		
12.110042	1.1943135		0.321386		
12.095906	1.1928869		0.319816		
12.081804	1.1914997		0.318263		
12.067734	1.1901415		0.316711		
12.053697	1.1887728		0.315229		
12.039693	1.1874049		0.313644		
12.025721	1.18609		0.312058		
12.011781	1.1847828		0.31055		
11.997874	1.1834486		0.309022		
11.983999	1.1821251		0.307421		
11.970156	1.1808542		0.30579		
11.956345	1.1796055		0.304233		
11.942566	1.1783477		0.302658		
11.928819	1.1771032		0.301053		
11.915103	1.175879		0.29945		
11.901418	1.1746582		0.297859		
11.887765	1.1734397		0.296233		
11.874144	1.1722718		0.294537		
11.860553	1.1711477		0.292925		
11.846994	1.169995		0.291369		
11.833465	1.168822		0.289737		
11.819968	1.167683		0.288054		
11.806501	1.1665849		0.286387		
11.793065	1.1654887		0.284766		
11.779659	1.1643891		0.283101		
11.766284	1.1633214		0.281404		
11.752939	1.1622792		0.27974		
11.739625	1.1612279		0.278098		
11.72634	1.1601833		0.276392		
11.713086	1.1591853		0.274667		
11.699861	1.1581985		0.273022		
11.686667	1.1571858		0.27136		
11.673502	1.1561836		0.269629		
11.660366	1.1552208		0.267885		
11.647261	1.1542851		0.266163		
11.634184	1.1533407		0.264474		
11.621137	1.1524111		0.262697		
11.608119	1.1515273		0.260941		
11.595131	1.1506458		0.259234		
11.582171	1.1497566		0.257489		
11.56924	1.1488957		0.255701		
11.556338	1.1480733		0.253925		
11.543465	1.1472587		0.252193		
11.530621	1.1464284		0.250451		
11.517805	1.1456251		0.248624		
11.505017	1.1448725		0.246827		
11.492258	1.1441252		0.245082		
11.479528	1.1433738		0.243307		
11.466825	1.1426403		0.241515		
11.45415	1.1419362		0.239713		
11.441504	1.1412364		0.237964		
11.428885	1.1405264		0.236177		
11.416294	1.1398491		0.234335		
11.403731	1.1392071		0.232533		
11.391195	1.1385617		0.230758		
11.378687	1.1379175		0.228939		
11.366207	1.1373088		0.227088		
11.353754	1.1367362		0.225266		
11.341328	1.1361503		0.223505		
11.328929	1.1355641		0.221651		
11.316557	1.1350216		0.219797		
11.304212	1.1345054		0.217968		
11.291894	1.1339954		0.216159		
11.279603	1.1334714		0.214362		
11.267339	1.1329701		0.212472		
11.255102	1.1325108		0.210627		
11.24289	1.1320505		0.208806		
11.230706	1.1316008		0.206935		
11.218548	1.1311928		0.205052		
11.206416	1.130799		0.203231		
11.19431	1.1303988		0.201387		
11.18223	1.1300203		0.199509		
11.170177	1.129671		0.197644		
11.158149	1.1293332		0.195799		
11.146147	1.1289872		0.193963		
11.134171	1.1286606		0.19205		
11.122221	1.1283848		0.190146		
11.110297	1.1281209		0.188301		
11.098397	1.1278517		0.186427		
11.086524	1.1276131		0.18451		
11.074676	1.1274184		0.182611		
11.062853	1.127223		0.180778		
11.051055	1.1270231		0.178885		
11.039282	1.1268647		0.176962		
11.027535	1.1267416		0.175079		
11.015812	1.1266119		0.173235		
11.004115	1.126497		0.171315		
10.992442	1.1264158		0.169432		
10.980794	1.1263534		0.167537		
10.96917	1.1263075		0.165664		
10.957571	1.1262655		0.163789		
10.945997	1.1262558		0.161862		
10.934447	1.1262803		0.159986		
10.922921	1.1263047		0.158124		
10.91142	1.1263417		0.156224		
10.899943	1.1264268		0.154299		
10.88849	1.1265311		0.152459		
10.877061	1.12662		0.150601		
10.865656	1.1267374		0.148675		
10.854275	1.1269144		0.146757		
10.842918	1.1271122		0.144915		
10.831584	1.1272976		0.143071		
10.820274	1.127511		0.141161		
10.808988	1.127774		0.139282		
10.797725	1.1280529		0.137447		
10.786486	1.128328		0.135618		
10.77527	1.1286304		0.133731		
10.764077	1.1289809		0.131871		
10.752908	1.1293524		0.130052		
10.741762	1.1297238		0.128251		
10.730639	1.1301165		0.126406		
10.719538	1.1305476		0.124583		
10.708461	1.1309971		0.122788		
10.697407	1.1314586		0.120993		
10.686375	1.1319554		0.119172		
10.675367	1.1324895		0.117396		
10.66438	1.1330279		0.115664		
10.653417	1.1335636		0.113916		
10.642476	1.1341476		0.112104		
10.631557	1.1347757		0.110384		
10.620661	1.1353973		0.108688		
10.609787	1.1360438		0.106939		
10.598935	1.1367392		0.105225		
10.588106	1.1374539		0.103564		
10.577299	1.1381662		0.101925		
10.566513	1.1389024		0.100245		
10.55575	1.139683		0.098599		
10.545008	1.1404779		0.09701		
10.534289	1.1412732		0.095427		
10.523591	1.1420891		0.093828		
10.512915	1.1429551		0.092225		
10.50226	1.1438449		0.090721		
10.491627	1.1447151		0.089241		
10.481016	1.1456101		0.087694		
10.470426	1.1465569		0.086204		
10.459857	1.1475061		0.084793		
10.44931	1.148445		0.083372		
10.438784	1.1494203		0.081918		
10.428279	1.1504309		0.080543		
10.417795	1.1514339		0.079219		
10.407333	1.1524375		0.077878		
10.396891	1.153473		0.076539		
10.38647	1.154532		0.075262		
10.37607	1.1555874		0.074027		
10.365691	1.1566459		0.072789		
10.355333	1.1577233		0.071572		
10.344995	1.1588182		0.070387		
10.334678	1.1599146		0.069254		
10.324382	1.1609987		0.06814		
10.314106	1.1621113		0.06698		
10.30385	1.1632535		0.065921		
10.293615	1.164366		0.064926		
10.2834	1.1654656		0.063888		
10.273206	1.1665983		0.062852		
10.263031	1.1677465		0.061895		
10.252877	1.1688645		0.060997		
10.242743	1.1699797		0.060038		
10.232629	1.1711239		0.059126		
10.222535	1.1722562		0.058287		
10.21246	1.1733721		0.05743		
10.202406	1.1744983		0.056582		
10.192371	1.1756386		0.055761		
10.182356	1.1767717		0.055		
10.172361	1.1778906		0.054239		
10.162385	1.1790086		0.053492		
10.152429	1.1801442		0.052738		
10.142492	1.1812804		0.052072		
10.132575	1.1823838		0.051424		
10.122677	1.1834947		0.050725		
10.112798	1.1846289		0.050092		
10.102939	1.1857379		0.04953		
10.093099	1.1868198		0.048943		
10.083278	1.1879164		0.048342		
10.073476	1.1890239		0.047803		
10.063693	1.190093		0.047334		
10.053929	1.191143		0.046795		
10.044185	1.1922195		0.046271		
10.034458	1.1932951		0.045819		
10.024751	1.1943419		0.045393		
10.015063	1.1953705		0.044958		
10.005393	1.1964072		0.044515		
9.995742	1.1974388		0.044139		
9.9861095	1.1984369		0.043781		
9.9764955	1.1994221		0.043391		
9.9669001	1.2004331		0.042989		
9.9573231	1.2014334		0.042702		
9.9477644	1.2023889		0.042398		
9.9382242	1.2033405		0.042063		
9.9287021	1.2043064		0.04175		
9.9191984	1.2052467		0.041517		
9.9097128	1.2061527		0.041245		
9.9002453	1.2070653		0.040956		
9.8907959	1.2079838		0.040708		
9.8813645	1.2088735		0.040511		
9.8719511	1.2097261		0.040296		
9.8625556	1.2105808		0.040035		
9.8531779	1.2114498		0.039809		
9.8438181	1.2122994		0.03963		
9.8344761	1.213114		0.039448		
9.8251518	1.2139384		0.0392		
9.8158451	1.2147766		0.039029		
9.806556	1.2155743		0.0389		
9.7972845	1.2163402		0.038724		
9.7880306	1.217127		0.038503		
9.7787941	1.2179224		0.038361		
9.769575	1.2186767		0.038247		
9.7603732	1.2194152		0.038069		
9.7511888	1.2201718		0.037897		
9.7420217	1.2209296		0.037765		
9.7328718	1.2216483		0.037682		
9.723739	1.22235		0.037516		
9.7146234	1.2230735		0.037363		
9.7055248	1.223794		0.037251		
9.6964433	1.2244869		0.037159		
9.6873788	1.2251658		0.037027		
9.6783311	1.2258664		0.036877		
9.6693004	1.2265642		0.036808		
9.6602865	1.2272155		0.03675		
9.6512894	1.2278634		0.036607		
9.6423091	1.2285369		0.0365		
9.6333454	1.2291872		0.036455		
9.6243984	1.2297978		0.036381		
9.615468	1.2304341		0.036217		
9.6065541	1.2310943		0.036155		
9.5976568	1.2317137		0.036126		
9.5887759	1.2323068		0.036049		
9.5799115	1.2329159		0.03594		
9.5710634	1.2335356		0.035877		
9.5622316	1.2341336		0.035841		
9.5534162	1.2347114		0.035785		
9.5446169	1.2352959		0.035704		
9.5358339	1.2358898		0.035653		
9.527067	1.2364602		0.035647		
9.5183162	1.2369939		0.035625		
9.5095815	1.237537		0.035529		
9.5008628	1.2381034		0.035483		
9.4921601	1.2386379		0.035496		
9.4834733	1.2391435		0.035446		
9.4748024	1.2396732		0.035359		
9.4661473	1.2402146		0.035338		
9.457508	1.2407089		0.035363		
9.4488845	1.2411929		0.035273		
9.4402767	1.241713		0.035209		
9.4316846	1.2422219		0.035209		
9.4231081	1.2426982		0.035195		
9.4145471	1.2431698		0.035141		
9.4060017	1.2436619		0.035077		
9.3974719	1.2441523		0.03507		
9.3889574	1.2446074		0.035073		
9.3804584	1.2450534		0.035012		
9.3719748	1.2455296		0.034937		
9.3635064	1.2460138		0.034926		
9.3550534	1.2464589		0.034949		
9.3466156	1.2468878		0.034897		
9.3381931	1.2473446		0.034837		
9.3297857	1.2477954		0.03485		
9.3213934	1.2482045		0.034854		
9.3130162	1.2486255		0.034764		
9.3046541	1.24908		0.034728		
9.2963069	1.2495035		0.034762		
9.2879747	1.2498973		0.034727		
9.2796575	1.2503097		0.034664		
9.2713551	1.2507423		0.034624		
9.2630676	1.2511555		0.034641		
9.2547948	1.2515388		0.03462		
9.2465369	1.2519463		0.034537		
9.2382936	1.2523679		0.034535		
9.2300651	1.2527574		0.034543		
9.2218511	1.2531338		0.034507		
9.2136518	1.2535297		0.034448		
9.2054671	1.2539346		0.034435		
9.1972969	1.2543146		0.034445		
9.1891412	1.254677		0.034415		
9.1809999	1.2550658		0.034339		
9.172873	1.2554717		0.034334		
