Reference:	"Khare et al. (1987)"
Sample Type:	"Gas Tholin"
Composition:	"H2:CH4 (93:7)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/192"
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	0.00017		
0.95	0.00023		
0.9	0.0002		
0.85	0.00022		
0.8	0.00026		
0.75	0.00033		
0.7	0.00042		
0.65	0.00058		
0.6	0.0007		
0.55	0.00088		
0.5	0.0027		
0.45	0.0064		
0.4	0.016		
