Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/277"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1.44022	1.638185	0.0109874	0.0093453	0.002461	
1.43871	1.638227	0.0109849	0.009344	0.002459	
1.43719	1.638271	0.010981	0.0093426	0.002457	
1.43567	1.638316	0.0109794	0.0093412	0.002456	
1.43416	1.638357	0.0109734	0.0093399	0.002454	
1.43264	1.638404	0.0109698	0.0093385	0.002453	
1.43112	1.638448	0.0109681	0.0093372	0.002451	
1.4296	1.638493	0.0109622	0.0093358	0.002449	
1.42808	1.638538	0.0109596	0.0093345	0.002448	
1.42657	1.638582	0.0109578	0.0093331	0.002446	
1.42505	1.638627	0.0109519	0.0093318	0.002445	
1.42353	1.638674	0.0109483	0.0093305	0.002443	
1.42201	1.638719	0.0109455	0.0093291	0.002441	
1.42049	1.638766	0.010943	0.0093278	0.00244	
1.41897	1.638809	0.010938	0.0093265	0.002438	
1.41745	1.638856	0.0109344	0.0093252	0.002436	
1.41593	1.638901	0.0109316	0.0093239	0.002435	
1.41441	1.638948	0.010928	0.0093225	0.002433	
1.41289	1.638994	0.010924	0.0093212	0.002431	
1.41137	1.63904	0.010919	0.0093199	0.00243	
1.40985	1.639087	0.0109154	0.0093186	0.002428	
1.40832	1.639135	0.0109112	0.0093173	0.002427	
1.4068	1.63918	0.0109084	0.009316	0.002425	
1.40528	1.639229	0.0109065	0.0093147	0.002423	
1.40376	1.639276	0.0109029	0.0093134	0.002422	
1.40224	1.639323	0.0108988	0.0093121	0.00242	
1.40071	1.639371	0.0108951	0.0093109	0.002418	
1.39919	1.639417	0.0108885	0.0093096	0.002417	
1.39767	1.639465	0.0108847	0.0093083	0.002415	
1.39614	1.639513	0.0108826	0.009307	0.002413	
1.39462	1.63956	0.010879	0.0093058	0.002411	
1.39309	1.639608	0.0108748	0.0093045	0.00241	
1.39157	1.639658	0.0108712	0.0093033	0.002408	
1.39005	1.639706	0.0108695	0.009302	0.002406	
