Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2409.7795	0.00119		-0.0016		0.00607		0.00906		0.01448		
2409.9001	0.0012		-0.00161		0.00608		0.00906		0.01448		
2410.0206	0.00121		-0.00162		0.0061		0.00906		0.01448		
2410.1411	0.00121		-0.00163		0.00612		0.00906		0.01447		
2410.2617	0.00121		-0.00164		0.00612		0.00906		0.01446		
2410.3822	0.00121		-0.00164		0.00613		0.00907		0.01446		
2410.5027	0.0012		-0.00165		0.00612		0.00907		0.01445		
2410.6233	0.00119		-0.00164		0.00611		0.00908		0.01446		
2410.7438	0.00118		-0.00162		0.00611		0.00909		0.01448		
2410.8643	0.00119		-0.00159		0.00611		0.00911		0.01451		
2410.9848	0.0012		-0.00155		0.00613		0.00912		0.01455		
2411.1054	0.00121		-0.0015		0.00615		0.00914		0.01459		
2411.2259	0.00123		-0.00147		0.00618		0.00915		0.01462		
2411.3464	0.00125		-0.00144		0.00621		0.00916		0.01464		
2411.467	0.00126		-0.00144		0.00623		0.00916		0.01465		
2411.5875	0.00127		-0.00144		0.00623		0.00916		0.01465		
2411.708	0.00127		-0.00146		0.00623		0.00916		0.01464		
2411.8286	0.00127		-0.00148		0.00623		0.00916		0.01464		
2411.9491	0.00126		-0.0015		0.00622		0.00916		0.01464		
2412.0696	0.00125		-0.00151		0.00621		0.00917		0.01464		
2412.1902	0.00125		-0.00152		0.0062		0.00917		0.01463		
2412.3107	0.00124		-0.00153		0.00619		0.00917		0.01463		
2412.4312	0.00123		-0.00153		0.00619		0.00917		0.01463		
2412.5518	0.00123		-0.00154		0.0062		0.00917		0.01462		
2412.6723	0.00122		-0.00155		0.0062		0.00918		0.01462		
2412.7928	0.00122		-0.00156		0.00621		0.00918		0.01462		
2412.9133	0.00122		-0.00156		0.00623		0.0092		0.01463		
2413.0339	0.00124		-0.00155		0.00625		0.00922		0.01464		
2413.1544	0.00125		-0.00153		0.00628		0.00924		0.01466		
2413.2749	0.00127		-0.00151		0.0063		0.00926		0.01468		
2413.3955	0.00129		-0.00148		0.00632		0.00928		0.01469		
2413.516	0.00131		-0.00146		0.00634		0.00929		0.0147		
2413.6365	0.00132		-0.00145		0.00634		0.0093		0.01471		
2413.7571	0.00133		-0.00144		0.00635		0.0093		0.01472		
2413.8776	0.00133		-0.00144		0.00635		0.00931		0.01473		
2413.9981	0.00133		-0.00145		0.00635		0.00931		0.01474		
2414.1187	0.00133		-0.00145		0.00636		0.00932		0.01476		
2414.2392	0.00134		-0.00146		0.00637		0.00933		0.01476		
2414.3597	0.00135		-0.00146		0.00638		0.00935		0.01476		
2414.4802	0.00136		-0.00147		0.00639		0.00936		0.01475		
