Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"H2O:CH4 (20:1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/125"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
676.6	1.5629		0.28286			517.92	97		
678	1.5609		0.28497			518.89	97		
679.5	1.5591		0.28701			519.85	97.300003052		
680.9	1.5578		0.28896			520.82	97		
682.4	1.556		0.29335			521.78	96.900001526		
683.8	1.5534		0.29555			522.75	97		
685.3	1.5513		0.29767			523.71	96.900001526		
686.7	1.5497		0.29968			524.68	96.900001526		
688.1	1.5474		0.30416			525.64	97		
689.6	1.5441		0.30653			526.6	96.900001526		
691	1.5422		0.30627			527.57	96.900001526		
692.5	1.5406		0.31062			528.53	96.800003052		
693.9	1.538		0.31284			529.5	96.900001526		
695.4	1.536		0.31494			530.46	96.800003052		
696.8	1.533		0.31958			531.43	96.699996948		
698.3	1.5304		0.31948			532.39	96.699996948		
699.7	1.528		0.32401			533.36	96.599998474		
701.2	1.5242		0.32649			534.32	96.599998474		
702.6	1.5214		0.3264			535.29	96.599998474		
704.1	1.5199		0.32841			536.25	96.599998474		
705.5	1.5173		0.33302			537.21	96.5		
707	1.5133		0.33556			538.18	96.5		
708.4	1.5103		0.33551			539.14	96.5		
709.9	1.5082		0.33764			540.11	96.5		
711.3	1.5049		0.34241			541.07	96.5		
712.8	1.5011		0.34253			542.04	96.400001526		
714.2	1.4983		0.34484			543	96.400001526		
715.6	1.4946		0.34732			543.97	96.300003052		
717.1	1.4914		0.34732			544.93	96.099998474		
718.5	1.4888		0.34958			545.89	96.199996948		
720	1.4852		0.35204			546.86	96.099998474		
721.4	1.4822		0.352			547.82	96.199996948		
722.9	1.4797		0.35423			548.79	96.099998474		
724.3	1.4768		0.35657			549.75	96		
725.8	1.4734		0.359			550.72	96.099998474		
727.2	1.4693		0.36161			551.68	96		
728.7	1.4655		0.36174			552.65	96.099998474		
730.1	1.4618		0.36424			553.61	96		
731.6	1.4582		0.36434			554.57	95.900001526		
733	1.4545		0.36686			555.54	95.900001526		
734.5	1.4505		0.36704			556.5	95.800003052		
735.9	1.4476		0.36698			557.47	95.699996948		
737.3	1.4447		0.3693			558.43	95.699996948		
738.8	1.4406		0.37193			559.4	95.699996948		
740.2	1.4363		0.37219			560.36	95.599998474		
741.7	1.433		0.37221			561.33	95.5		
743.1	1.4293		0.37474			562.29	95.400001526		
744.6	1.4254		0.3749			563.26	95.400001526		
746	1.4208		0.37764			564.22	95.300003052		
747.5	1.4166		0.37543			565.18	95.300003052		
748.9	1.4127		0.37801			566.15	95.300003052		
750.4	1.409		0.3757			567.11	95.300003052		
751.8	1.4059		0.3781			568.08	95.199996948		
753.3	1.4015		0.37837			569.04	95.199996948		
754.7	1.3977		0.37852			570.01	95		
756.1	1.3939		0.37866			570.97	95		
757.6	1.3901		0.37879			571.94	95		
759	1.3864		0.37891			572.9	94.900001526		
760.5	1.3826		0.37902			573.86	94.900001526		
761.9	1.3789		0.37914			574.83	94.800003052		
763.4	1.3752		0.37925			575.79	94.699996948		
764.8	1.3715		0.37937			576.76	94.699996948		
766.3	1.3677		0.3795			577.72	94.599998474		
767.7	1.3638		0.37965			578.69	94.5		
769.2	1.3598		0.37984			579.65	94.599998474		
770.6	1.3552		0.38014			580.62	94.400001526		
772.1	1.3513		0.37786			581.58	94.300003052		
773.5	1.3481		0.37785			582.54	94.300003052		
775	1.3444		0.37796			583.51	94.199996948		
776.4	1.3401		0.37821			584.47	94.199996948		
777.9	1.3363		0.3759			585.44	94.199996948		
779.3	1.3332		0.37587			586.4	94.099998474		
780.7	1.3295		0.37597			587.37	94		
782.2	1.3251		0.37623			588.33	93.900001526		
783.6	1.3212		0.37394			589.3	93.900001526		
785.1	1.3178		0.37399			590.26	93.800003052		
786.5	1.3133		0.37427			591.22	93.800003052		
788	1.3088		0.37211			592.19	93.699996948		
789.4	1.3054		0.3697			593.15	93.599998474		
790.9	1.3019		0.36975			594.12	93.5		
792.3	1.2984		0.36738			595.08	93.599998474		
793.8	1.295		0.36742			596.05	93.400001526		
795.2	1.2913		0.36508			597.01	93.300003052		
796.7	1.2879		0.36512			597.98	93.300003052		
798.1	1.2843		0.36275			598.94	93.199996948		
799.5	1.2808		0.36282			599.91	93.099998474		
801	1.2771		0.36047			600.87	93		
802.5	1.2734		0.36058			601.83	93		
803.9	1.2691		0.35837			602.8	92.900001526		
805.3	1.2654		0.35601			603.76	92.900001526		
806.8	1.2625		0.35352			604.73	92.699996948		
808.2	1.2591		0.35354			605.69	92.699996948		
809.7	1.2551		0.35127			606.66	92.599998474		
811.1	1.2516		0.34889			607.62	92.5		
812.6	1.2487		0.34639			608.59	92.5		
814	1.245		0.34648			609.55	92.400001526		
815.5	1.2417		0.34165			610.51	92.300003052		
816.91	1.238999963		0.341540009			611.48	92.300003052		
818.36	1.235299945		0.33919999			612.44	92.199996948		
819.81	1.231999993		0.336789995			613.41	92		
821.25	1.228899956		0.33434999			614.37	92.099998474		
822.7	1.225900054		0.331880003			615.34	91.800003052		
824.15	1.223199964		0.329380006			616.3	91.900001526		
825.59	1.220800042		0.326799989			617.27	91.800003052		
827.04	1.217599988		0.326779991			618.23	91.699996948		
828.49	1.214699984		0.321929991			619.19	91.599998474		
829.93	1.212200046		0.321759999			620.16	91.5		
831.38	1.208799958		0.319389999			621.12	91.400001526		
